# ;;;;;;;;;;;;;;Nedladdat från datavärdskapet för luft, SMHI, http://www.smhi.se/datavardluft, 2023-12-03 17:54:11
# ;;;;;;;;;;;;;;Tidsangivelser i UTC+1, Svensk normaltid
#
#Stationsnamn;Nationell stationskod;Klassificering;Longitud;Latitud
#Farstanäs;37155;Rural-Regional Background;17.63234;59.098385
#
#Ämne;Ämnesbeskrivning;Enhet;Mäthöjd;Inlet-id
#precip_amount;precipitation amount;mm;2;-1
#precip_amount;precipitation_amount;mm;2;4257
#Ca++;calcium;mg.l-1;2;4263
#Cl-;chloride;mg.l-1;2;4260
#K+;potassium;mg.l-1;2;4266
#Mg++;magnesium;mg.l-1;2;4264
#Na+;sodium;mg.l-1;2;4265
#NH4+;ammonium;mgN.l-1;2;4262
#NO3-;nitrate;mgN.l-1;2;4261
#SO4--;sulphate;mgS.l-1;2;4259
#k;conductivity;uS.cm-1;2;4901
#pH;acidity(pH);pHunits;2;4258
#
Start;Slut;precip_amount (-1);precip_amount (4257);Ca++ (4263);Cl- (4260);K+ (4266);Mg++ (4264);Na+ (4265);NH4+ (4262);NO3- (4261);SO4-- (4259);k (4901);pH (4258)
2021-04-07 00:00;2021-05-03 00:00;;14.1;0.307;1.54;0.200;0.117;0.789;0.609;0.404;0.295;15.7;5.93
2021-05-03 00:00;2021-05-31 00:00;;143.8;0.117;0.196;0.461;0.0528;0.100;0.824;0.239;0.224;12.1;6.42
2021-05-31 00:00;2021-06-29 00:00;;71.9;0.229;0.187;0.364;0.0580;0.0963;0.154;0.202;0.190;7.20;5.67
2021-06-29 00:00;2021-08-03 00:00;;59.9;0.251;0.286;0.172;0.0679;0.145;0.336;0.219;0.228;8.60;5.68
2021-08-03 00:00;2021-09-06 00:00;;93.6;0.140;0.287;0.150;0.0314;0.105;0.0150;0.0817;0.0865;5.50;5.21
2021-09-06 00:00;2021-10-04 00:00;;40.6;0.270;0.451;0.248;0.0661;0.207;0.231;0.174;0.163;8.40;5.45
2021-10-04 00:00;2021-11-01 00:00;;43.4;0.187;0.508;0.116;0.0488;0.238;0.326;0.173;0.262;8.90;5.49
2021-11-01 00:00;2021-12-06 00:00;;39.0;0.0941;0.276;0.0571;0.0277;0.110;0.190;0.152;0.262;10.5;4.86
2021-12-06 00:00;2022-01-10 00:00;;46.2;0.108;0.741;0.117;0.0742;0.364;0.317;0.286;0.330;14.8;4.81
2022-01-10 00:00;2022-02-04 00:00;;31.0;0.160;0.760;0.0860;0.0400;0.400;0.0150;0.0940;0.0700;7.00;5.23
