"Utsatt område","Flyttyp","Relationsområde","2023"
"Hjällbo","Utflytt till annat område i Göteborg","Biskopsgården",35
"Hjällbo","Utflytt till annat område i Göteborg","Gårdsten",44
"Hjällbo","Utflytt till annat område i Göteborg","Hammarkullen",65
"Hjällbo","Utflytt till annat område i Göteborg","Hisings Backa",23
"Hjällbo","Utflytt till annat område i Göteborg","Hjällbo",0
"Hjällbo","Utflytt till annat område i Göteborg","Lövgärdet",39
"Hjällbo","Utflytt till annat område i Göteborg","Tynnered/Grevegården/Opaltorget",14
"Lövgärdet","Inflytt från annat område i Göteborg","Bergsjön",81
"Lövgärdet","Inflytt från annat område i Göteborg","Biskopsgården",48
"Lövgärdet","Inflytt från annat område i Göteborg","Gårdsten",78
"Lövgärdet","Inflytt från annat område i Göteborg","Hammarkullen",61
"Lövgärdet","Inflytt från annat område i Göteborg","Hisings Backa",32
"Lövgärdet","Inflytt från annat område i Göteborg","Hjällbo",39
"Lövgärdet","Inflytt från annat område i Göteborg","Lövgärdet",0
"Lövgärdet","Inflytt från annat område i Göteborg","Tynnered/Grevegården/Opaltorget",5
"Lövgärdet","Utflytt till annat område i Göteborg","Bergsjön",67
"Lövgärdet","Utflytt till annat område i Göteborg","Biskopsgården",61
"Lövgärdet","Utflytt till annat område i Göteborg","Gårdsten",80
"Lövgärdet","Utflytt till annat område i Göteborg","Hammarkullen",57
"Lövgärdet","Utflytt till annat område i Göteborg","Hisings Backa",54
"Lövgärdet","Utflytt till annat område i Göteborg","Hjällbo",46
"Lövgärdet","Utflytt till annat område i Göteborg","Lövgärdet",0
"Lövgärdet","Utflytt till annat område i Göteborg","Tynnered/Grevegården/Opaltorget",6
"Tynnered/Grevegården/Opaltorget","Inflytt från annat område i Göteborg","Bergsjön",55
"Tynnered/Grevegården/Opaltorget","Inflytt från annat område i Göteborg","Biskopsgården",86
"Tynnered/Grevegården/Opaltorget","Inflytt från annat område i Göteborg","Gårdsten",4
"Tynnered/Grevegården/Opaltorget","Inflytt från annat område i Göteborg","Hammarkullen",11
"Tynnered/Grevegården/Opaltorget","Inflytt från annat område i Göteborg","Hisings Backa",27
"Tynnered/Grevegården/Opaltorget","Inflytt från annat område i Göteborg","Hjällbo",14
"Tynnered/Grevegården/Opaltorget","Inflytt från annat område i Göteborg","Lövgärdet",6
"Tynnered/Grevegården/Opaltorget","Inflytt från annat område i Göteborg","Tynnered/Grevegården/Opaltorget",0
"Tynnered/Grevegården/Opaltorget","Utflytt till annat område i Göteborg","Bergsjön",40
"Tynnered/Grevegården/Opaltorget","Utflytt till annat område i Göteborg","Biskopsgården",58
"Tynnered/Grevegården/Opaltorget","Utflytt till annat område i Göteborg","Gårdsten",19
"Tynnered/Grevegården/Opaltorget","Utflytt till annat område i Göteborg","Hammarkullen",8
"Tynnered/Grevegården/Opaltorget","Utflytt till annat område i Göteborg","Hisings Backa",33
"Tynnered/Grevegården/Opaltorget","Utflytt till annat område i Göteborg","Hjällbo",3
"Tynnered/Grevegården/Opaltorget","Utflytt till annat område i Göteborg","Lövgärdet",5
"Tynnered/Grevegården/Opaltorget","Utflytt till annat område i Göteborg","Tynnered/Grevegården/Opaltorget",0
