Time (EDT)	Latitude	Longitude	Course	kts	mph	meters	Rate	Reporting Facility
Thu 18:55:24    Departure (LIS) @ Thursday 23:55:24 WEST			 FlightAware ADS-B (LIS / LPPT)
Thu 19:21:08	41.0748	-8.6355	↑ 348°	175	201	869	-30 Descending	 FlightAware ADS-B (OPO / LPPR)
Thu 19:21:38	41.0978	-8.6416	↑ 349°	170	196	846	-160 Descending	 FlightAware ADS-B (OPO / LPPR)
Thu 19:22:08	41.1209	-8.6478	↑ 349°	165	190	709	-270 Descending	 FlightAware ADS-B (OPO / LPPR)
Thu 19:22:39	41.1423	-8.6534	↑ 349°	147	169	572	-240 Descending	 FlightAware ADS-B (OPO / LPPR)
Thu 19:23:11	41.1624	-8.6584	↑ 350°	131	151	457	-219 Descending	 FlightAware ADS-B (LPMR)
Thu 19:23:27	41.1721	-8.6610	↑ 348°	128	147	396	-201 Descending	 FlightAware ADS-B (OPO / LPPR)
Thu 19:23:36	41.1772	-8.6625	↑ 348°	128	147	373	-172 Descending	 Surface and Near-Surface
Thu 19:23:43	41.1812	-8.6636	↑ 348°	127	146	351	-199 Descending	 FlightAware ADS-B (OPO / LPPR)
Thu 19:23:59	41.1901	-8.6658	↑ 350°	125	144	297	-200 Descending	 FlightAware ADS-B (LPMR)
Thu 19:24:15	41.1992	-8.6681	↑ 349°	126	145	244	-208 Descending	 FlightAware ADS-B (OPO / LPPR)
Thu 19:24:32	41.2090	-8.6706	↑ 349°	130	150	183	-222 Descending	 FlightAware ADS-B (OPO / LPPR)
Thu 19:24:48	41.2190	-8.6736	↑ 348°	130	150	122	-229 Descending	 FlightAware ADS-B (LPOV)
Thu 19:25:04	41.2291	-8.6763	↑ 349°	127	146	61	-229 Descending	 FlightAware ADS-B (OPO / LPPR)
Thu 19:25:20	41.2383	-8.6786	↑ 349°	127	146		 Level	 FlightAware ADS-B (OPO / LPPR)
Thu 19:25:52    Arrival (OPO) @ Friday 00:25:52 WEST			 FlightAware
