Område;Bebyggelsetyp;År;Åldersgrupp;Summa
11102 - Norra Johannes;Totalt;2033;0 år;117,8109211
11102 - Norra Johannes;Totalt;2033;1-5 år;394,6462838
11102 - Norra Johannes;Totalt;2033;6-9 år;230,5393688
11102 - Norra Johannes;Totalt;2033;10-12 år;178,1009158
11102 - Norra Johannes;Totalt;2033;13-15 år;184,7568757
11102 - Norra Johannes;Totalt;2033;16-18 år;224,1244551
11102 - Norra Johannes;Totalt;2033;19-24 år;591,5647139
11102 - Norra Johannes;Totalt;2033;25-44 år;3463,653059
11102 - Norra Johannes;Totalt;2033;45-64 år;2309,30058
11102 - Norra Johannes;Totalt;2033;65-79 år;1356,005673
11102 - Norra Johannes;Totalt;2033;80-w;699,2676568
11102 - Norra Johannes;Totalt;2034;0 år;115,0728535
11102 - Norra Johannes;Totalt;2034;1-5 år;391,129939
11102 - Norra Johannes;Totalt;2034;6-9 år;226,2537399
11102 - Norra Johannes;Totalt;2034;10-12 år;166,8009465
11102 - Norra Johannes;Totalt;2034;13-15 år;184,3007734
11102 - Norra Johannes;Totalt;2034;16-18 år;218,791504
11102 - Norra Johannes;Totalt;2034;19-24 år;579,4891039
11102 - Norra Johannes;Totalt;2034;25-44 år;3411,784166
11102 - Norra Johannes;Totalt;2034;45-64 år;2315,952799
11102 - Norra Johannes;Totalt;2034;65-79 år;1357,443558
11102 - Norra Johannes;Totalt;2034;80-w;712,1631291
11201 - Södra Adolf Fredrik;befintlig bebyggelse;2024;0 år;37
11201 - Södra Adolf Fredrik;befintlig bebyggelse;2024;1-5 år;161
11201 - Södra Adolf Fredrik;befintlig bebyggelse;2024;6-9 år;110
11201 - Södra Adolf Fredrik;befintlig bebyggelse;2024;10-12 år;84
11201 - Södra Adolf Fredrik;befintlig bebyggelse;2024;13-15 år;88
11201 - Södra Adolf Fredrik;befintlig bebyggelse;2024;16-18 år;117
11201 - Södra Adolf Fredrik;befintlig bebyggelse;2024;19-24 år;312
11201 - Södra Adolf Fredrik;befintlig bebyggelse;2024;25-44 år;1430
11201 - Södra Adolf Fredrik;befintlig bebyggelse;2024;45-64 år;1205
11201 - Södra Adolf Fredrik;befintlig bebyggelse;2024;65-79 år;612
11201 - Södra Adolf Fredrik;befintlig bebyggelse;2024;80-w;173
11201 - Södra Adolf Fredrik;befintlig bebyggelse;2025;0 år;45,49139491
11201 - Södra Adolf Fredrik;befintlig bebyggelse;2025;1-5 år;158,0549597
11201 - Södra Adolf Fredrik;befintlig bebyggelse;2025;6-9 år;103,8747477
11201 - Södra Adolf Fredrik;befintlig bebyggelse;2025;10-12 år;88,74806122
11201 - Södra Adolf Fredrik;befintlig bebyggelse;2025;13-15 år;94,64160447
11201 - Södra Adolf Fredrik;befintlig bebyggelse;2025;16-18 år;98,43541413
11201 - Södra Adolf Fredrik;befintlig bebyggelse;2025;19-24 år;295,6769166
11201 - Södra Adolf Fredrik;befintlig bebyggelse;2025;25-44 år;1426,771688
11201 - Södra Adolf Fredrik;befintlig bebyggelse;2025;45-64 år;1195,035328
11201 - Södra Adolf Fredrik;befintlig bebyggelse;2025;65-79 år;620,7876882
11201 - Södra Adolf Fredrik;befintlig bebyggelse;2025;80-w;178,7638492
11201 - Södra Adolf Fredrik;befintlig bebyggelse;2026;0 år;45,92414253
11201 - Södra Adolf Fredrik;befintlig bebyggelse;2026;1-5 år;167,0269871
11201 - Södra Adolf Fredrik;befintlig bebyggelse;2026;6-9 år;96,44215613
11201 - Södra Adolf Fredrik;befintlig bebyggelse;2026;10-12 år;87,67712989
11201 - Södra Adolf Fredrik;befintlig bebyggelse;2026;13-15 år;86,78803528
11201 - Södra Adolf Fredrik;befintlig bebyggelse;2026;16-18 år;100,0977729
11201 - Södra Adolf Fredrik;befintlig bebyggelse;2026;19-24 år;293,9923142
11201 - Södra Adolf Fredrik;befintlig bebyggelse;2026;25-44 år;1420,254575
11201 - Södra Adolf Fredrik;befintlig bebyggelse;2026;45-64 år;1177,647283
11201 - Södra Adolf Fredrik;befintlig bebyggelse;2026;65-79 år;620,2441039
11201 - Södra Adolf Fredrik;befintlig bebyggelse;2026;80-w;193,7925172
11201 - Södra Adolf Fredrik;befintlig bebyggelse;2027;0 år;47,05972523
11201 - Södra Adolf Fredrik;befintlig bebyggelse;2027;1-5 år;163,8018031
11201 - Södra Adolf Fredrik;befintlig bebyggelse;2027;6-9 år;104,4030396
11201 - Södra Adolf Fredrik;befintlig bebyggelse;2027;10-12 år;83,31856457
11201 - Södra Adolf Fredrik;befintlig bebyggelse;2027;13-15 år;89,41497832
11201 - Södra Adolf Fredrik;befintlig bebyggelse;2027;16-18 år;96,57525993
11201 - Södra Adolf Fredrik;befintlig bebyggelse;2027;19-24 år;291,3487265
11201 - Södra Adolf Fredrik;befintlig bebyggelse;2027;25-44 år;1411,268228
11201 - Södra Adolf Fredrik;befintlig bebyggelse;2027;45-64 år;1151,273284
11201 - Södra Adolf Fredrik;befintlig bebyggelse;2027;65-79 år;621,6989618
11201 - Södra Adolf Fredrik;befintlig bebyggelse;2027;80-w;213,3919697
11201 - Södra Adolf Fredrik;befintlig bebyggelse;2028;0 år;47,59281951
11201 - Södra Adolf Fredrik;befintlig bebyggelse;2028;1-5 år;167,202025
11201 - Södra Adolf Fredrik;befintlig bebyggelse;2028;6-9 år;102,7604691
11201 - Södra Adolf Fredrik;befintlig bebyggelse;2028;10-12 år;77,27983685
11201 - Södra Adolf Fredrik;befintlig bebyggelse;2028;13-15 år;93,17126686
11201 - Södra Adolf Fredrik;befintlig bebyggelse;2028;16-18 år;100,8776883
11201 - Södra Adolf Fredrik;befintlig bebyggelse;2028;19-24 år;283,0121726
11201 - Södra Adolf Fredrik;befintlig bebyggelse;2028;25-44 år;1400,767622
11201 - Södra Adolf Fredrik;befintlig bebyggelse;2028;45-64 år;1119,037848
11201 - Södra Adolf Fredrik;befintlig bebyggelse;2028;65-79 år;633,4243431
11201 - Södra Adolf Fredrik;befintlig bebyggelse;2028;80-w;227,5191101
11201 - Södra Adolf Fredrik;befintlig bebyggelse;2029;0 år;48,57952505
11201 - Södra Adolf Fredrik;befintlig bebyggelse;2029;1-5 år;168,5783629
11201 - Södra Adolf Fredrik;befintlig bebyggelse;2029;6-9 år;101,9125873
11201 - Södra Adolf Fredrik;befintlig bebyggelse;2029;10-12 år;74,95309759
11201 - Södra Adolf Fredrik;befintlig bebyggelse;2029;13-15 år;91,98513566
11201 - Södra Adolf Fredrik;befintlig bebyggelse;2029;16-18 år;95,92633347
11201 - Södra Adolf Fredrik;befintlig bebyggelse;2029;19-24 år;284,2122807
11201 - Södra Adolf Fredrik;befintlig bebyggelse;2029;25-44 år;1393,32622
11201 - Södra Adolf Fredrik;befintlig bebyggelse;2029;45-64 år;1093,69397
11201 - Södra Adolf Fredrik;befintlig bebyggelse;2029;65-79 år;638,4339763
11201 - Södra Adolf Fredrik;befintlig bebyggelse;2029;80-w;239,0271634
11201 - Södra Adolf Fredrik;befintlig bebyggelse;2030;0 år;49,0387933
11201 - Södra Adolf Fredrik;befintlig bebyggelse;2030;1-5 år;169,5920487
11201 - Södra Adolf Fredrik;befintlig bebyggelse;2030;6-9 år;103,8305948
11201 - Södra Adolf Fredrik;befintlig bebyggelse;2030;10-12 år;73,02619968
11201 - Södra Adolf Fredrik;befintlig bebyggelse;2030;13-15 år;87,775202
11201 - Södra Adolf Fredrik;befintlig bebyggelse;2030;16-18 år;98,16328405
11201 - Södra Adolf Fredrik;befintlig bebyggelse;2030;19-24 år;280,7065556
11201 - Södra Adolf Fredrik;befintlig bebyggelse;2030;25-44 år;1376,802223
11201 - Södra Adolf Fredrik;befintlig bebyggelse;2030;45-64 år;1065,429892
11201 - Södra Adolf Fredrik;befintlig bebyggelse;2030;65-79 år;646,8978776
11201 - Södra Adolf Fredrik;befintlig bebyggelse;2030;80-w;253,2597282
11201 - Södra Adolf Fredrik;befintlig bebyggelse;2031;0 år;49,14359993
11201 - Södra Adolf Fredrik;befintlig bebyggelse;2031;1-5 år;168,3816811
11201 - Södra Adolf Fredrik;befintlig bebyggelse;2031;6-9 år;99,89673247
11201 - Södra Adolf Fredrik;befintlig bebyggelse;2031;10-12 år;76,31587273
11201 - Södra Adolf Fredrik;befintlig bebyggelse;2031;13-15 år;81,81477811
11201 - Södra Adolf Fredrik;befintlig bebyggelse;2031;16-18 år;101,2521269
11201 - Södra Adolf Fredrik;befintlig bebyggelse;2031;19-24 år;276,5120691
11201 - Södra Adolf Fredrik;befintlig bebyggelse;2031;25-44 år;1362,327848
11201 - Södra Adolf Fredrik;befintlig bebyggelse;2031;45-64 år;1040,306742
11201 - Södra Adolf Fredrik;befintlig bebyggelse;2031;65-79 år;656,7378973
11201 - Södra Adolf Fredrik;befintlig bebyggelse;2031;80-w;261,1849604
11201 - Södra Adolf Fredrik;befintlig bebyggelse;2032;0 år;49,14797656
11201 - Södra Adolf Fredrik;befintlig bebyggelse;2032;1-5 år;167,1525684
11201 - Södra Adolf Fredrik;befintlig bebyggelse;2032;6-9 år;100,0379799
11201 - Södra Adolf Fredrik;befintlig bebyggelse;2032;10-12 år;74,63358822
11201 - Södra Adolf Fredrik;befintlig bebyggelse;2032;13-15 år;79,07778626
11201 - Södra Adolf Fredrik;befintlig bebyggelse;2032;16-18 år;99,91843213
11201 - Södra Adolf Fredrik;befintlig bebyggelse;2032;19-24 år;275,1468307
11201 - Södra Adolf Fredrik;befintlig bebyggelse;2032;25-44 år;1349,463427
11201 - Södra Adolf Fredrik;befintlig bebyggelse;2032;45-64 år;1014,406411
11201 - Södra Adolf Fredrik;befintlig bebyggelse;2032;65-79 år;663,1147758
11201 - Södra Adolf Fredrik;befintlig bebyggelse;2032;80-w;271,0159096
11201 - Södra Adolf Fredrik;befintlig bebyggelse;2033;0 år;49,21217549
11201 - Södra Adolf Fredrik;befintlig bebyggelse;2033;1-5 år;166,0474834
11201 - Södra Adolf Fredrik;befintlig bebyggelse;2033;6-9 år;99,67923181
11201 - Södra Adolf Fredrik;befintlig bebyggelse;2033;10-12 år;75,47203508
11201 - Södra Adolf Fredrik;befintlig bebyggelse;2033;13-15 år;77,16743885
11201 - Södra Adolf Fredrik;befintlig bebyggelse;2033;16-18 år;95,47310685
11201 - Södra Adolf Fredrik;befintlig bebyggelse;2033;19-24 år;273,2233161
11201 - Södra Adolf Fredrik;befintlig bebyggelse;2033;25-44 år;1334,638286
11201 - Södra Adolf Fredrik;befintlig bebyggelse;2033;45-64 år;1009,322315
11201 - Södra Adolf Fredrik;befintlig bebyggelse;2033;65-79 år;652,1759254
11201 - Södra Adolf Fredrik;befintlig bebyggelse;2033;80-w;280,8143037
11201 - Södra Adolf Fredrik;befintlig bebyggelse;2034;0 år;48,30497544
11201 - Södra Adolf Fredrik;befintlig bebyggelse;2034;1-5 år;165,3226795
11201 - Södra Adolf Fredrik;befintlig bebyggelse;2034;6-9 år;98,73451447
11201 - Södra Adolf Fredrik;befintlig bebyggelse;2034;10-12 år;71,07478639
11201 - Södra Adolf Fredrik;befintlig bebyggelse;2034;13-15 år;79,52553771
11201 - Södra Adolf Fredrik;befintlig bebyggelse;2034;16-18 år;89,75537784
11201 - Södra Adolf Fredrik;befintlig bebyggelse;2034;19-24 år;273,3086268
11201 - Södra Adolf Fredrik;befintlig bebyggelse;2034;25-44 år;1318,807091
11201 - Södra Adolf Fredrik;befintlig bebyggelse;2034;45-64 år;995,8816555
11201 - Södra Adolf Fredrik;befintlig bebyggelse;2034;65-79 år;653,9693046
11201 - Södra Adolf Fredrik;befintlig bebyggelse;2034;80-w;288,0117096
11201 - Södra Adolf Fredrik;nybyggnation;2024;0 år;0
11201 - Södra Adolf Fredrik;nybyggnation;2024;1-5 år;0
11201 - Södra Adolf Fredrik;nybyggnation;2024;6-9 år;0
11201 - Södra Adolf Fredrik;nybyggnation;2024;10-12 år;0
11201 - Södra Adolf Fredrik;nybyggnation;2024;13-15 år;0
11201 - Södra Adolf Fredrik;nybyggnation;2024;16-18 år;0
11201 - Södra Adolf Fredrik;nybyggnation;2024;19-24 år;0
11201 - Södra Adolf Fredrik;nybyggnation;2024;25-44 år;0
11201 - Södra Adolf Fredrik;nybyggnation;2024;45-64 år;0
11201 - Södra Adolf Fredrik;nybyggnation;2024;65-79 år;0
11201 - Södra Adolf Fredrik;nybyggnation;2024;80-w;0
11201 - Södra Adolf Fredrik;nybyggnation;2025;0 år;1,13352976
11201 - Södra Adolf Fredrik;nybyggnation;2025;1-5 år;3,31812896
11201 - Södra Adolf Fredrik;nybyggnation;2025;6-9 år;1,1583297
11201 - Södra Adolf Fredrik;nybyggnation;2025;10-12 år;0,6268608
11201 - Södra Adolf Fredrik;nybyggnation;2025;13-15 år;0,5810495
11201 - Södra Adolf Fredrik;nybyggnation;2025;16-18 år;0,68108047
11201 - Södra Adolf Fredrik;nybyggnation;2025;19-24 år;2,65444518
11201 - Södra Adolf Fredrik;nybyggnation;2025;25-44 år;18,78562408
11201 - Södra Adolf Fredrik;nybyggnation;2025;45-64 år;5,91487514
11201 - Södra Adolf Fredrik;nybyggnation;2025;65-79 år;1,40797221
11201 - Södra Adolf Fredrik;nybyggnation;2025;80-w;0,11810418
11201 - Södra Adolf Fredrik;nybyggnation;2026;0 år;1,33874883
11201 - Södra Adolf Fredrik;nybyggnation;2026;1-5 år;3,94201722
11201 - Södra Adolf Fredrik;nybyggnation;2026;6-9 år;1,36249063
11201 - Södra Adolf Fredrik;nybyggnation;2026;10-12 år;0,69663389
11201 - Södra Adolf Fredrik;nybyggnation;2026;13-15 år;0,62447371
11201 - Södra Adolf Fredrik;nybyggnation;2026;16-18 år;0,63975404
11201 - Södra Adolf Fredrik;nybyggnation;2026;19-24 år;2,04010632
11201 - Södra Adolf Fredrik;nybyggnation;2026;25-44 år;18,57646667
11201 - Södra Adolf Fredrik;nybyggnation;2026;45-64 år;6,67881088
11201 - Södra Adolf Fredrik;nybyggnation;2026;65-79 år;1,71535765
11201 - Södra Adolf Fredrik;nybyggnation;2026;80-w;0,15304058
11201 - Södra Adolf Fredrik;nybyggnation;2027;0 år;1,23112998
11201 - Södra Adolf Fredrik;nybyggnation;2027;1-5 år;4,52076424
11201 - Södra Adolf Fredrik;nybyggnation;2027;6-9 år;1,55392553
11201 - Södra Adolf Fredrik;nybyggnation;2027;10-12 år;0,76896922
11201 - Södra Adolf Fredrik;nybyggnation;2027;13-15 år;0,66561988
11201 - Södra Adolf Fredrik;nybyggnation;2027;16-18 år;0,63087276
11201 - Södra Adolf Fredrik;nybyggnation;2027;19-24 år;1,68924505
11201 - Södra Adolf Fredrik;nybyggnation;2027;25-44 år;18,06446899
11201 - Södra Adolf Fredrik;nybyggnation;2027;45-64 år;7,3161775
11201 - Södra Adolf Fredrik;nybyggnation;2027;65-79 år;2,011684
11201 - Södra Adolf Fredrik;nybyggnation;2027;80-w;0,18786762
11201 - Södra Adolf Fredrik;nybyggnation;2028;0 år;1,12234942
11201 - Södra Adolf Fredrik;nybyggnation;2028;1-5 år;4,80800578
11201 - Södra Adolf Fredrik;nybyggnation;2028;6-9 år;1,72839795
11201 - Södra Adolf Fredrik;nybyggnation;2028;10-12 år;0,84404852
11201 - Södra Adolf Fredrik;nybyggnation;2028;13-15 år;0,70003984
11201 - Södra Adolf Fredrik;nybyggnation;2028;16-18 år;0,63514562
11201 - Södra Adolf Fredrik;nybyggnation;2028;19-24 år;1,4774317
11201 - Södra Adolf Fredrik;nybyggnation;2028;25-44 år;17,35833182
11201 - Södra Adolf Fredrik;nybyggnation;2028;45-64 år;7,834415
11201 - Södra Adolf Fredrik;nybyggnation;2028;65-79 år;2,29346864
11201 - Södra Adolf Fredrik;nybyggnation;2028;80-w;0,22810207
11201 - Södra Adolf Fredrik;nybyggnation;2029;0 år;1,0655094
11201 - Södra Adolf Fredrik;nybyggnation;2029;1-5 år;4,85598215
11201 - Södra Adolf Fredrik;nybyggnation;2029;6-9 år;1,89545964
11201 - Södra Adolf Fredrik;nybyggnation;2029;10-12 år;0,90943898
11201 - Södra Adolf Fredrik;nybyggnation;2029;13-15 år;0,72806414
11201 - Södra Adolf Fredrik;nybyggnation;2029;16-18 år;0,64196602
11201 - Södra Adolf Fredrik;nybyggnation;2029;19-24 år;1,34694201
11201 - Södra Adolf Fredrik;nybyggnation;2029;25-44 år;16,49711852
11201 - Södra Adolf Fredrik;nybyggnation;2029;45-64 år;8,24840715
11201 - Södra Adolf Fredrik;nybyggnation;2029;65-79 år;2,55482558
11201 - Södra Adolf Fredrik;nybyggnation;2029;80-w;0,27131696
11201 - Södra Adolf Fredrik;nybyggnation;2030;0 år;1,00889025
11201 - Södra Adolf Fredrik;nybyggnation;2030;1-5 år;4,7652029
11201 - Södra Adolf Fredrik;nybyggnation;2030;6-9 år;2,08526487
11201 - Södra Adolf Fredrik;nybyggnation;2030;10-12 år;0,980351
11201 - Södra Adolf Fredrik;nybyggnation;2030;13-15 år;0,76463229
11201 - Södra Adolf Fredrik;nybyggnation;2030;16-18 år;0,65499343
11201 - Södra Adolf Fredrik;nybyggnation;2030;19-24 år;1,28029927
11201 - Södra Adolf Fredrik;nybyggnation;2030;25-44 år;15,7634636
11201 - Södra Adolf Fredrik;nybyggnation;2030;45-64 år;8,62672941
11201 - Södra Adolf Fredrik;nybyggnation;2030;65-79 år;2,80891827
11201 - Södra Adolf Fredrik;nybyggnation;2030;80-w;0,31898724
11201 - Södra Adolf Fredrik;nybyggnation;2031;0 år;0,93904679
11201 - Södra Adolf Fredrik;nybyggnation;2031;1-5 år;4,59131387
11201 - Södra Adolf Fredrik;nybyggnation;2031;6-9 år;2,25525436
11201 - Södra Adolf Fredrik;nybyggnation;2031;10-12 år;1,05189499
11201 - Södra Adolf Fredrik;nybyggnation;2031;13-15 år;0,80756664
11201 - Södra Adolf Fredrik;nybyggnation;2031;16-18 år;0,66773933
11201 - Södra Adolf Fredrik;nybyggnation;2031;19-24 år;1,24246578
11201 - Södra Adolf Fredrik;nybyggnation;2031;25-44 år;15,08625776
11201 - Södra Adolf Fredrik;nybyggnation;2031;45-64 år;8,95446933
11201 - Södra Adolf Fredrik;nybyggnation;2031;65-79 år;3,05268584
11201 - Södra Adolf Fredrik;nybyggnation;2031;80-w;0,37441694
11201 - Södra Adolf Fredrik;nybyggnation;2032;0 år;0,88274079
11201 - Södra Adolf Fredrik;nybyggnation;2032;1-5 år;4,33458575
11201 - Södra Adolf Fredrik;nybyggnation;2032;6-9 år;2,42515826
11201 - Södra Adolf Fredrik;nybyggnation;2032;10-12 år;1,12587253
11201 - Södra Adolf Fredrik;nybyggnation;2032;13-15 år;0,84931893
11201 - Södra Adolf Fredrik;nybyggnation;2032;16-18 år;0,6820374
11201 - Södra Adolf Fredrik;nybyggnation;2032;19-24 år;1,22318897
11201 - Södra Adolf Fredrik;nybyggnation;2032;25-44 år;14,5021888
11201 - Södra Adolf Fredrik;nybyggnation;2032;45-64 år;9,2457682
11201 - Södra Adolf Fredrik;nybyggnation;2032;65-79 år;3,28476319
11201 - Södra Adolf Fredrik;nybyggnation;2032;80-w;0,43654775
11201 - Södra Adolf Fredrik;nybyggnation;2033;0 år;0,84983766
11201 - Södra Adolf Fredrik;nybyggnation;2033;1-5 år;4,12264633
11201 - Södra Adolf Fredrik;nybyggnation;2033;6-9 år;2,4982528
11201 - Södra Adolf Fredrik;nybyggnation;2033;10-12 år;1,1970423
11201 - Södra Adolf Fredrik;nybyggnation;2033;13-15 år;0,89593118
11201 - Södra Adolf Fredrik;nybyggnation;2033;16-18 år;0,70319803
11201 - Södra Adolf Fredrik;nybyggnation;2033;19-24 år;1,21960917
11201 - Södra Adolf Fredrik;nybyggnation;2033;25-44 år;14,02100575
11201 - Södra Adolf Fredrik;nybyggnation;2033;45-64 år;9,5190265
11201 - Södra Adolf Fredrik;nybyggnation;2033;65-79 år;3,50101071
11201 - Södra Adolf Fredrik;nybyggnation;2033;80-w;0,50701126
11201 - Södra Adolf Fredrik;nybyggnation;2034;0 år;0,81383583
11201 - Södra Adolf Fredrik;nybyggnation;2034;1-5 år;3,95300497
11201 - Södra Adolf Fredrik;nybyggnation;2034;6-9 år;2,47419801
11201 - Södra Adolf Fredrik;nybyggnation;2034;10-12 år;1,28191982
11201 - Södra Adolf Fredrik;nybyggnation;2034;13-15 år;0,94318277
11201 - Södra Adolf Fredrik;nybyggnation;2034;16-18 år;0,72783951
11201 - Södra Adolf Fredrik;nybyggnation;2034;19-24 år;1,21518623
11201 - Södra Adolf Fredrik;nybyggnation;2034;25-44 år;13,57337116
11201 - Södra Adolf Fredrik;nybyggnation;2034;45-64 år;9,74107913
11201 - Södra Adolf Fredrik;nybyggnation;2034;65-79 år;3,70469683
11201 - Södra Adolf Fredrik;nybyggnation;2034;80-w;0,58466288
11201 - Södra Adolf Fredrik;Totalt;2024;0 år;37
11201 - Södra Adolf Fredrik;Totalt;2024;1-5 år;161
11201 - Södra Adolf Fredrik;Totalt;2024;6-9 år;110
11201 - Södra Adolf Fredrik;Totalt;2024;10-12 år;84
11201 - Södra Adolf Fredrik;Totalt;2024;13-15 år;88
11201 - Södra Adolf Fredrik;Totalt;2024;16-18 år;117
11201 - Södra Adolf Fredrik;Totalt;2024;19-24 år;312
11201 - Södra Adolf Fredrik;Totalt;2024;25-44 år;1430
11201 - Södra Adolf Fredrik;Totalt;2024;45-64 år;1205
11201 - Södra Adolf Fredrik;Totalt;2024;65-79 år;612
11201 - Södra Adolf Fredrik;Totalt;2024;80-w;173
11201 - Södra Adolf Fredrik;Totalt;2025;0 år;46,62492467
11201 - Södra Adolf Fredrik;Totalt;2025;1-5 år;161,3730887
11201 - Södra Adolf Fredrik;Totalt;2025;6-9 år;105,0330774
11201 - Södra Adolf Fredrik;Totalt;2025;10-12 år;89,37492202
11201 - Södra Adolf Fredrik;Totalt;2025;13-15 år;95,22265397
11201 - Södra Adolf Fredrik;Totalt;2025;16-18 år;99,1164946
11201 - Södra Adolf Fredrik;Totalt;2025;19-24 år;298,3313618
11201 - Södra Adolf Fredrik;Totalt;2025;25-44 år;1445,557312
11201 - Södra Adolf Fredrik;Totalt;2025;45-64 år;1200,950203
11201 - Södra Adolf Fredrik;Totalt;2025;65-79 år;622,1956604
11201 - Södra Adolf Fredrik;Totalt;2025;80-w;178,8819534
11201 - Södra Adolf Fredrik;Totalt;2026;0 år;47,26289136
11201 - Södra Adolf Fredrik;Totalt;2026;1-5 år;170,9690043
11201 - Södra Adolf Fredrik;Totalt;2026;6-9 år;97,80464676
11201 - Södra Adolf Fredrik;Totalt;2026;10-12 år;88,37376378
11201 - Södra Adolf Fredrik;Totalt;2026;13-15 år;87,41250899
11201 - Södra Adolf Fredrik;Totalt;2026;16-18 år;100,7375269
11201 - Södra Adolf Fredrik;Totalt;2026;19-24 år;296,0324205
11201 - Södra Adolf Fredrik;Totalt;2026;25-44 år;1438,831042
11201 - Södra Adolf Fredrik;Totalt;2026;45-64 år;1184,326094
11201 - Södra Adolf Fredrik;Totalt;2026;65-79 år;621,9594616
11201 - Södra Adolf Fredrik;Totalt;2026;80-w;193,9455577
11201 - Södra Adolf Fredrik;Totalt;2027;0 år;48,29085521
11201 - Södra Adolf Fredrik;Totalt;2027;1-5 år;168,3225673
11201 - Södra Adolf Fredrik;Totalt;2027;6-9 år;105,9569652
11201 - Södra Adolf Fredrik;Totalt;2027;10-12 år;84,08753379
11201 - Södra Adolf Fredrik;Totalt;2027;13-15 år;90,0805982
11201 - Södra Adolf Fredrik;Totalt;2027;16-18 år;97,20613269
11201 - Södra Adolf Fredrik;Totalt;2027;19-24 år;293,0379715
11201 - Södra Adolf Fredrik;Totalt;2027;25-44 år;1429,332697
11201 - Södra Adolf Fredrik;Totalt;2027;45-64 år;1158,589461
11201 - Södra Adolf Fredrik;Totalt;2027;65-79 år;623,7106458
11201 - Södra Adolf Fredrik;Totalt;2027;80-w;213,5798373
11201 - Södra Adolf Fredrik;Totalt;2028;0 år;48,71516893
11201 - Södra Adolf Fredrik;Totalt;2028;1-5 år;172,0100308
11201 - Södra Adolf Fredrik;Totalt;2028;6-9 år;104,488867
11201 - Södra Adolf Fredrik;Totalt;2028;10-12 år;78,12388537
11201 - Södra Adolf Fredrik;Totalt;2028;13-15 år;93,8713067
11201 - Södra Adolf Fredrik;Totalt;2028;16-18 år;101,5128339
11201 - Södra Adolf Fredrik;Totalt;2028;19-24 år;284,4896043
11201 - Södra Adolf Fredrik;Totalt;2028;25-44 år;1418,125953
11201 - Södra Adolf Fredrik;Totalt;2028;45-64 år;1126,872263
11201 - Södra Adolf Fredrik;Totalt;2028;65-79 år;635,7178118
11201 - Södra Adolf Fredrik;Totalt;2028;80-w;227,7472122
11201 - Södra Adolf Fredrik;Totalt;2029;0 år;49,64503445
11201 - Södra Adolf Fredrik;Totalt;2029;1-5 år;173,4343451
11201 - Södra Adolf Fredrik;Totalt;2029;6-9 år;103,808047
11201 - Södra Adolf Fredrik;Totalt;2029;10-12 år;75,86253657
11201 - Södra Adolf Fredrik;Totalt;2029;13-15 år;92,7131998
11201 - Södra Adolf Fredrik;Totalt;2029;16-18 år;96,56829949
11201 - Södra Adolf Fredrik;Totalt;2029;19-24 år;285,5592227
11201 - Södra Adolf Fredrik;Totalt;2029;25-44 år;1409,823339
11201 - Södra Adolf Fredrik;Totalt;2029;45-64 år;1101,942378
11201 - Södra Adolf Fredrik;Totalt;2029;65-79 år;640,9888018
11201 - Södra Adolf Fredrik;Totalt;2029;80-w;239,2984804
11201 - Södra Adolf Fredrik;Totalt;2030;0 år;50,04768355
11201 - Södra Adolf Fredrik;Totalt;2030;1-5 år;174,3572516
11201 - Södra Adolf Fredrik;Totalt;2030;6-9 år;105,9158597
11201 - Södra Adolf Fredrik;Totalt;2030;10-12 år;74,00655068
11201 - Södra Adolf Fredrik;Totalt;2030;13-15 år;88,53983429
11201 - Södra Adolf Fredrik;Totalt;2030;16-18 år;98,81827748
11201 - Södra Adolf Fredrik;Totalt;2030;19-24 år;281,9868549
11201 - Södra Adolf Fredrik;Totalt;2030;25-44 år;1392,565687
11201 - Södra Adolf Fredrik;Totalt;2030;45-64 år;1074,056621
11201 - Södra Adolf Fredrik;Totalt;2030;65-79 år;649,7067959
11201 - Södra Adolf Fredrik;Totalt;2030;80-w;253,5787155
11201 - Södra Adolf Fredrik;Totalt;2031;0 år;50,08264672
11201 - Södra Adolf Fredrik;Totalt;2031;1-5 år;172,9729949
11201 - Södra Adolf Fredrik;Totalt;2031;6-9 år;102,1519868
11201 - Södra Adolf Fredrik;Totalt;2031;10-12 år;77,36776772
11201 - Södra Adolf Fredrik;Totalt;2031;13-15 år;82,62234475
11201 - Södra Adolf Fredrik;Totalt;2031;16-18 år;101,9198662
11201 - Södra Adolf Fredrik;Totalt;2031;19-24 år;277,7545349
11201 - Södra Adolf Fredrik;Totalt;2031;25-44 år;1377,414106
11201 - Södra Adolf Fredrik;Totalt;2031;45-64 år;1049,261212
11201 - Södra Adolf Fredrik;Totalt;2031;65-79 år;659,7905832
11201 - Södra Adolf Fredrik;Totalt;2031;80-w;261,5593773
11201 - Södra Adolf Fredrik;Totalt;2032;0 år;50,03071735
11201 - Södra Adolf Fredrik;Totalt;2032;1-5 år;171,4871541
11201 - Södra Adolf Fredrik;Totalt;2032;6-9 år;102,4631381
11201 - Södra Adolf Fredrik;Totalt;2032;10-12 år;75,75946075
11201 - Södra Adolf Fredrik;Totalt;2032;13-15 år;79,92710519
11201 - Södra Adolf Fredrik;Totalt;2032;16-18 år;100,6004695
11201 - Södra Adolf Fredrik;Totalt;2032;19-24 år;276,3700197
11201 - Södra Adolf Fredrik;Totalt;2032;25-44 år;1363,965616
11201 - Södra Adolf Fredrik;Totalt;2032;45-64 år;1023,652179
