Område;Bebyggelsetyp;År;Åldersgrupp;Summa
0 - Hela staden;befintlig bebyggelse;2031;13-15 år;28129,12178
0 - Hela staden;befintlig bebyggelse;2031;16-18 år;30220,92752
0 - Hela staden;befintlig bebyggelse;2031;19-24 år;67087,03346
0 - Hela staden;befintlig bebyggelse;2031;25-44 år;302276,0239
0 - Hela staden;befintlig bebyggelse;2031;45-64 år;247379,6356
0 - Hela staden;befintlig bebyggelse;2031;65-79 år;131963,4628
0 - Hela staden;befintlig bebyggelse;2031;80-w;57497,19571
0 - Hela staden;befintlig bebyggelse;2032;0 år;10023,96424
0 - Hela staden;befintlig bebyggelse;2032;1-5 år;42313,97697
0 - Hela staden;befintlig bebyggelse;2032;6-9 år;31894,65324
0 - Hela staden;befintlig bebyggelse;2032;10-12 år;25889,881
0 - Hela staden;befintlig bebyggelse;2032;13-15 år;27157,05026
0 - Hela staden;befintlig bebyggelse;2032;16-18 år;29785,36251
0 - Hela staden;befintlig bebyggelse;2032;19-24 år;66677,59936
0 - Hela staden;befintlig bebyggelse;2032;25-44 år;298046,87
0 - Hela staden;befintlig bebyggelse;2032;45-64 år;247529,0489
0 - Hela staden;befintlig bebyggelse;2032;65-79 år;133583,3059
0 - Hela staden;befintlig bebyggelse;2032;80-w;59012,20585
0 - Hela staden;befintlig bebyggelse;2033;0 år;10002,96042
0 - Hela staden;befintlig bebyggelse;2033;1-5 år;41704,97511
0 - Hela staden;befintlig bebyggelse;2033;6-9 år;31093,59416
0 - Hela staden;befintlig bebyggelse;2033;10-12 år;24891,89179
0 - Hela staden;befintlig bebyggelse;2033;13-15 år;26501,81265
0 - Hela staden;befintlig bebyggelse;2033;16-18 år;28907,97901
0 - Hela staden;befintlig bebyggelse;2033;19-24 år;66046,39309
0 - Hela staden;befintlig bebyggelse;2033;25-44 år;293550,9947
0 - Hela staden;befintlig bebyggelse;2033;45-64 år;248570,7502
0 - Hela staden;befintlig bebyggelse;2033;65-79 år;134759,1818
0 - Hela staden;befintlig bebyggelse;2033;80-w;60513,85296
0 - Hela staden;befintlig bebyggelse;2034;0 år;9784,292773
0 - Hela staden;befintlig bebyggelse;2034;1-5 år;41303,01988
