Region;Brott;Period;År;Antal;/100 000 inv
Ale kommun;3-7 kap. Brott mot person;År;2020;..;..
Ale kommun;3-7 kap. Brott mot person;År;2021;..;..
Ale kommun;3-7 kap. Brott mot person;År;2022;..;..
Ale kommun;3 kap. Brott mot liv och hälsa;År;2020;176;553
Ale kommun;3 kap. Brott mot liv och hälsa;År;2021;145;454
Ale kommun;3 kap. Brott mot liv och hälsa;År;2022;156;483
Ale kommun;3-7 kap. Brott mot person;År;2020;..;..
Ale kommun;3-7 kap. Brott mot person;År;2021;..;..
Ale kommun;3-7 kap. Brott mot person;År;2022;..;..
Ale kommun;4 kap. Brott mot frihet och frid;År;2020;311;978
Ale kommun;4 kap. Brott mot frihet och frid;År;2021;342;1070
Ale kommun;4 kap. Brott mot frihet och frid;År;2022;335;1038
Ale kommun;3-7 kap. Brott mot person;År;2020;..;..
Ale kommun;3-7 kap. Brott mot person;År;2021;..;..
Ale kommun;3-7 kap. Brott mot person;År;2022;..;..
Ale kommun;5 kap. Ärekränkningsbrott;År;2020;20;63
Ale kommun;5 kap. Ärekränkningsbrott;År;2021;20;63
Ale kommun;5 kap. Ärekränkningsbrott;År;2022;27;84
Ale kommun;3-7 kap. Brott mot person;År;2020;..;..
Ale kommun;3-7 kap. Brott mot person;År;2021;..;..
Ale kommun;3-7 kap. Brott mot person;År;2022;..;..
Ale kommun;6 kap. Sexualbrott;År;2020;36;113
Ale kommun;6 kap. Sexualbrott;År;2021;35;110
Ale kommun;6 kap. Sexualbrott;År;2022;50;155
Ale kommun;3-7 kap. Brott mot person;År;2020;..;..
Ale kommun;3-7 kap. Brott mot person;År;2021;..;..
Ale kommun;3-7 kap. Brott mot person;År;2022;..;..
Ale kommun;7 kap. Brott mot familj;År;2020;8;25
Ale kommun;7 kap. Brott mot familj;År;2021;3;9
Ale kommun;7 kap. Brott mot familj;År;2022;3;9
Alingsås kommun;3-7 kap. Brott mot person;År;2020;..;..
Alingsås kommun;3-7 kap. Brott mot person;År;2021;..;..
Alingsås kommun;3-7 kap. Brott mot person;År;2022;..;..
Alingsås kommun;3 kap. Brott mot liv och hälsa;År;2020;203;488
Alingsås kommun;3 kap. Brott mot liv och hälsa;År;2021;239;573
Alingsås kommun;3 kap. Brott mot liv och hälsa;År;2022;236;562
Alingsås kommun;3-7 kap. Brott mot person;År;2020;..;..
Alingsås kommun;3-7 kap. Brott mot person;År;2021;..;..
Alingsås kommun;3-7 kap. Brott mot person;År;2022;..;..
Alingsås kommun;4 kap. Brott mot frihet och frid;År;2020;375;901
Alingsås kommun;4 kap. Brott mot frihet och frid;År;2021;408;977
Alingsås kommun;4 kap. Brott mot frihet och frid;År;2022;366;871
Alingsås kommun;3-7 kap. Brott mot person;År;2020;..;..
Alingsås kommun;3-7 kap. Brott mot person;År;2021;..;..
Alingsås kommun;3-7 kap. Brott mot person;År;2022;..;..
Alingsås kommun;5 kap. Ärekränkningsbrott;År;2020;28;67
Alingsås kommun;5 kap. Ärekränkningsbrott;År;2021;29;69
Alingsås kommun;5 kap. Ärekränkningsbrott;År;2022;38;90
Alingsås kommun;3-7 kap. Brott mot person;År;2020;..;..
Alingsås kommun;3-7 kap. Brott mot person;År;2021;..;..
Alingsås kommun;3-7 kap. Brott mot person;År;2022;..;..
Alingsås kommun;6 kap. Sexualbrott;År;2020;60;144
Alingsås kommun;6 kap. Sexualbrott;År;2021;83;199
Alingsås kommun;6 kap. Sexualbrott;År;2022;80;190
Alingsås kommun;3-7 kap. Brott mot person;År;2020;..;..
Alingsås kommun;3-7 kap. Brott mot person;År;2021;..;..
Alingsås kommun;3-7 kap. Brott mot person;År;2022;..;..
Alingsås kommun;7 kap. Brott mot familj;År;2020;4;10
Alingsås kommun;7 kap. Brott mot familj;År;2021;3;7
Alingsås kommun;7 kap. Brott mot familj;År;2022;9;21
Alvesta kommun;3-7 kap. Brott mot person;År;2020;..;..
Alvesta kommun;3-7 kap. Brott mot person;År;2021;..;..
Alvesta kommun;3-7 kap. Brott mot person;År;2022;..;..
Alvesta kommun;3 kap. Brott mot liv och hälsa;År;2020;160;791
Alvesta kommun;3 kap. Brott mot liv och hälsa;År;2021;131;647
Alvesta kommun;3 kap. Brott mot liv och hälsa;År;2022;127;626
Alvesta kommun;3-7 kap. Brott mot person;År;2020;..;..
Alvesta kommun;3-7 kap. Brott mot person;År;2021;..;..
Alvesta kommun;3-7 kap. Brott mot person;År;2022;..;..
Alvesta kommun;4 kap. Brott mot frihet och frid;År;2020;189;935
Alvesta kommun;4 kap. Brott mot frihet och frid;År;2021;186;918
Alvesta kommun;4 kap. Brott mot frihet och frid;År;2022;196;967
Alvesta kommun;3-7 kap. Brott mot person;År;2020;..;..
Alvesta kommun;3-7 kap. Brott mot person;År;2021;..;..
Alvesta kommun;3-7 kap. Brott mot person;År;2022;..;..
Alvesta kommun;5 kap. Ärekränkningsbrott;År;2020;12;59
Alvesta kommun;5 kap. Ärekränkningsbrott;År;2021;14;69
Alvesta kommun;5 kap. Ärekränkningsbrott;År;2022;9;44
Alvesta kommun;3-7 kap. Brott mot person;År;2020;..;..
Alvesta kommun;3-7 kap. Brott mot person;År;2021;..;..
Alvesta kommun;3-7 kap. Brott mot person;År;2022;..;..
Alvesta kommun;6 kap. Sexualbrott;År;2020;15;74
Alvesta kommun;6 kap. Sexualbrott;År;2021;30;148
Alvesta kommun;6 kap. Sexualbrott;År;2022;27;133
Alvesta kommun;3-7 kap. Brott mot person;År;2020;..;..
Alvesta kommun;3-7 kap. Brott mot person;År;2021;..;..
Alvesta kommun;3-7 kap. Brott mot person;År;2022;..;..
Alvesta kommun;7 kap. Brott mot familj;År;2020;3;15
Alvesta kommun;7 kap. Brott mot familj;År;2021;0;0
Alvesta kommun;7 kap. Brott mot familj;År;2022;1;5
Aneby kommun;3-7 kap. Brott mot person;År;2020;..;..
Aneby kommun;3-7 kap. Brott mot person;År;2021;..;..
Aneby kommun;3-7 kap. Brott mot person;År;2022;..;..
Aneby kommun;3 kap. Brott mot liv och hälsa;År;2020;33;485
Aneby kommun;3 kap. Brott mot liv och hälsa;År;2021;41;599
Aneby kommun;3 kap. Brott mot liv och hälsa;År;2022;34;496
Aneby kommun;3-7 kap. Brott mot person;År;2020;..;..
Aneby kommun;3-7 kap. Brott mot person;År;2021;..;..
Aneby kommun;3-7 kap. Brott mot person;År;2022;..;..
Aneby kommun;4 kap. Brott mot frihet och frid;År;2020;67;984
Aneby kommun;4 kap. Brott mot frihet och frid;År;2021;52;760
Aneby kommun;4 kap. Brott mot frihet och frid;År;2022;72;1050
Aneby kommun;3-7 kap. Brott mot person;År;2020;..;..
Aneby kommun;3-7 kap. Brott mot person;År;2021;..;..
Aneby kommun;3-7 kap. Brott mot person;År;2022;..;..
Aneby kommun;5 kap. Ärekränkningsbrott;År;2020;5;73
Aneby kommun;5 kap. Ärekränkningsbrott;År;2021;4;58
Aneby kommun;5 kap. Ärekränkningsbrott;År;2022;2;29
Aneby kommun;3-7 kap. Brott mot person;År;2020;..;..
Aneby kommun;3-7 kap. Brott mot person;År;2021;..;..
Aneby kommun;3-7 kap. Brott mot person;År;2022;..;..
Aneby kommun;6 kap. Sexualbrott;År;2020;16;235
Aneby kommun;6 kap. Sexualbrott;År;2021;15;219
Aneby kommun;6 kap. Sexualbrott;År;2022;17;248
Aneby kommun;3-7 kap. Brott mot person;År;2020;..;..
Aneby kommun;3-7 kap. Brott mot person;År;2021;..;..
Aneby kommun;3-7 kap. Brott mot person;År;2022;..;..
Aneby kommun;7 kap. Brott mot familj;År;2020;1;15
Aneby kommun;7 kap. Brott mot familj;År;2021;0;0
Aneby kommun;7 kap. Brott mot familj;År;2022;0;0
Arboga kommun;3-7 kap. Brott mot person;År;2020;..;..
Arboga kommun;3-7 kap. Brott mot person;År;2021;..;..
Arboga kommun;3-7 kap. Brott mot person;År;2022;..;..
Arboga kommun;3 kap. Brott mot liv och hälsa;År;2020;94;670
Arboga kommun;3 kap. Brott mot liv och hälsa;År;2021;80;569
Arboga kommun;3 kap. Brott mot liv och hälsa;År;2022;88;624
Arboga kommun;3-7 kap. Brott mot person;År;2020;..;..
Arboga kommun;3-7 kap. Brott mot person;År;2021;..;..
Arboga kommun;3-7 kap. Brott mot person;År;2022;..;..
Arboga kommun;4 kap. Brott mot frihet och frid;År;2020;163;1162
Arboga kommun;4 kap. Brott mot frihet och frid;År;2021;164;1167
Arboga kommun;4 kap. Brott mot frihet och frid;År;2022;131;930
Arboga kommun;3-7 kap. Brott mot person;År;2020;..;..
Arboga kommun;3-7 kap. Brott mot person;År;2021;..;..
Arboga kommun;3-7 kap. Brott mot person;År;2022;..;..
Arboga kommun;5 kap. Ärekränkningsbrott;År;2020;10;71
Arboga kommun;5 kap. Ärekränkningsbrott;År;2021;5;36
Arboga kommun;5 kap. Ärekränkningsbrott;År;2022;10;71
Arboga kommun;3-7 kap. Brott mot person;År;2020;..;..
Arboga kommun;3-7 kap. Brott mot person;År;2021;..;..
Arboga kommun;3-7 kap. Brott mot person;År;2022;..;..
Arboga kommun;6 kap. Sexualbrott;År;2020;20;143
Arboga kommun;6 kap. Sexualbrott;År;2021;15;107
Arboga kommun;6 kap. Sexualbrott;År;2022;34;241
Arboga kommun;3-7 kap. Brott mot person;År;2020;..;..
Arboga kommun;3-7 kap. Brott mot person;År;2021;..;..
Arboga kommun;3-7 kap. Brott mot person;År;2022;..;..
Arboga kommun;7 kap. Brott mot familj;År;2020;0;0
Arboga kommun;7 kap. Brott mot familj;År;2021;1;7
Arboga kommun;7 kap. Brott mot familj;År;2022;1;7
Arjeplog kommun;3-7 kap. Brott mot person;År;2020;..;..
Arjeplog kommun;3-7 kap. Brott mot person;År;2021;..;..
Arjeplog kommun;3-7 kap. Brott mot person;År;2022;..;..
Arjeplog kommun;3 kap. Brott mot liv och hälsa;År;2020;16;589
Arjeplog kommun;3 kap. Brott mot liv och hälsa;År;2021;10;369
Arjeplog kommun;3 kap. Brott mot liv och hälsa;År;2022;18;670
Arjeplog kommun;3-7 kap. Brott mot person;År;2020;..;..
Arjeplog kommun;3-7 kap. Brott mot person;År;2021;..;..
Arjeplog kommun;3-7 kap. Brott mot person;År;2022;..;..
Arjeplog kommun;4 kap. Brott mot frihet och frid;År;2020;28;1031
Arjeplog kommun;4 kap. Brott mot frihet och frid;År;2021;20;738
Arjeplog kommun;4 kap. Brott mot frihet och frid;År;2022;25;930
Arjeplog kommun;3-7 kap. Brott mot person;År;2020;..;..
Arjeplog kommun;3-7 kap. Brott mot person;År;2021;..;..
Arjeplog kommun;3-7 kap. Brott mot person;År;2022;..;..
Arjeplog kommun;5 kap. Ärekränkningsbrott;År;2020;2;74
Arjeplog kommun;5 kap. Ärekränkningsbrott;År;2021;2;74
Arjeplog kommun;5 kap. Ärekränkningsbrott;År;2022;2;74
Arjeplog kommun;3-7 kap. Brott mot person;År;2020;..;..
Arjeplog kommun;3-7 kap. Brott mot person;År;2021;..;..
Arjeplog kommun;3-7 kap. Brott mot person;År;2022;..;..
Arjeplog kommun;6 kap. Sexualbrott;År;2020;10;368
Arjeplog kommun;6 kap. Sexualbrott;År;2021;2;74
Arjeplog kommun;6 kap. Sexualbrott;År;2022;14;521
Arjeplog kommun;3-7 kap. Brott mot person;År;2020;..;..
Arjeplog kommun;3-7 kap. Brott mot person;År;2021;..;..
Arjeplog kommun;3-7 kap. Brott mot person;År;2022;..;..
Arjeplog kommun;7 kap. Brott mot familj;År;2020;0;0
Arjeplog kommun;7 kap. Brott mot familj;År;2021;0;0
Arjeplog kommun;7 kap. Brott mot familj;År;2022;0;0
Arvidsjaur kommun;3-7 kap. Brott mot person;År;2020;..;..
Arvidsjaur kommun;3-7 kap. Brott mot person;År;2021;..;..
Arvidsjaur kommun;3-7 kap. Brott mot person;År;2022;..;..
Arvidsjaur kommun;3 kap. Brott mot liv och hälsa;År;2020;26;423
Arvidsjaur kommun;3 kap. Brott mot liv och hälsa;År;2021;31;504
Arvidsjaur kommun;3 kap. Brott mot liv och hälsa;År;2022;42;685
Arvidsjaur kommun;3-7 kap. Brott mot person;År;2020;..;..
Arvidsjaur kommun;3-7 kap. Brott mot person;År;2021;..;..
Arvidsjaur kommun;3-7 kap. Brott mot person;År;2022;..;..
Arvidsjaur kommun;4 kap. Brott mot frihet och frid;År;2020;63;1024
Arvidsjaur kommun;4 kap. Brott mot frihet och frid;År;2021;54;878
Arvidsjaur kommun;4 kap. Brott mot frihet och frid;År;2022;53;865
Arvidsjaur kommun;3-7 kap. Brott mot person;År;2020;..;..
Arvidsjaur kommun;3-7 kap. Brott mot person;År;2021;..;..
Arvidsjaur kommun;3-7 kap. Brott mot person;År;2022;..;..
Arvidsjaur kommun;5 kap. Ärekränkningsbrott;År;2020;4;65
Arvidsjaur kommun;5 kap. Ärekränkningsbrott;År;2021;2;33
Arvidsjaur kommun;5 kap. Ärekränkningsbrott;År;2022;10;163
Arvidsjaur kommun;3-7 kap. Brott mot person;År;2020;..;..
Arvidsjaur kommun;3-7 kap. Brott mot person;År;2021;..;..
Arvidsjaur kommun;3-7 kap. Brott mot person;År;2022;..;..
Arvidsjaur kommun;6 kap. Sexualbrott;År;2020;6;98
Arvidsjaur kommun;6 kap. Sexualbrott;År;2021;8;130
Arvidsjaur kommun;6 kap. Sexualbrott;År;2022;5;82
Arvidsjaur kommun;3-7 kap. Brott mot person;År;2020;..;..
Arvidsjaur kommun;3-7 kap. Brott mot person;År;2021;..;..
Arvidsjaur kommun;3-7 kap. Brott mot person;År;2022;..;..
Arvidsjaur kommun;7 kap. Brott mot familj;År;2020;0;0
Arvidsjaur kommun;7 kap. Brott mot familj;År;2021;4;65
Arvidsjaur kommun;7 kap. Brott mot familj;År;2022;2;33
Arvika kommun;3-7 kap. Brott mot person;År;2020;..;..
Arvika kommun;3-7 kap. Brott mot person;År;2021;..;..
Arvika kommun;3-7 kap. Brott mot person;År;2022;..;..
Arvika kommun;3 kap. Brott mot liv och hälsa;År;2020;177;683
Arvika kommun;3 kap. Brott mot liv och hälsa;År;2021;193;745
Arvika kommun;3 kap. Brott mot liv och hälsa;År;2022;187;724
Arvika kommun;3-7 kap. Brott mot person;År;2020;..;..
Arvika kommun;3-7 kap. Brott mot person;År;2021;..;..
Arvika kommun;3-7 kap. Brott mot person;År;2022;..;..
Arvika kommun;4 kap. Brott mot frihet och frid;År;2020;231;891
Arvika kommun;4 kap. Brott mot frihet och frid;År;2021;189;730
Arvika kommun;4 kap. Brott mot frihet och frid;År;2022;242;936
Arvika kommun;3-7 kap. Brott mot person;År;2020;..;..
Arvika kommun;3-7 kap. Brott mot person;År;2021;..;..
Arvika kommun;3-7 kap. Brott mot person;År;2022;..;..
Arvika kommun;5 kap. Ärekränkningsbrott;År;2020;16;62
Arvika kommun;5 kap. Ärekränkningsbrott;År;2021;14;54
Arvika kommun;5 kap. Ärekränkningsbrott;År;2022;11;43
Arvika kommun;3-7 kap. Brott mot person;År;2020;..;..
Arvika kommun;3-7 kap. Brott mot person;År;2021;..;..
Arvika kommun;3-7 kap. Brott mot person;År;2022;..;..
Arvika kommun;6 kap. Sexualbrott;År;2020;30;116
Arvika kommun;6 kap. Sexualbrott;År;2021;30;116
Arvika kommun;6 kap. Sexualbrott;År;2022;38;147
Arvika kommun;3-7 kap. Brott mot person;År;2020;..;..
Arvika kommun;3-7 kap. Brott mot person;År;2021;..;..
Arvika kommun;3-7 kap. Brott mot person;År;2022;..;..
Arvika kommun;7 kap. Brott mot familj;År;2020;4;15
Arvika kommun;7 kap. Brott mot familj;År;2021;2;8
Arvika kommun;7 kap. Brott mot familj;År;2022;1;4
Askersund kommun;3-7 kap. Brott mot person;År;2020;..;..
Askersund kommun;3-7 kap. Brott mot person;År;2021;..;..
Askersund kommun;3-7 kap. Brott mot person;År;2022;..;..
Askersund kommun;3 kap. Brott mot liv och hälsa;År;2020;94;821
Askersund kommun;3 kap. Brott mot liv och hälsa;År;2021;101;880
Askersund kommun;3 kap. Brott mot liv och hälsa;År;2022;101;877
Askersund kommun;3-7 kap. Brott mot person;År;2020;..;..
Askersund kommun;3-7 kap. Brott mot person;År;2021;..;..
Askersund kommun;3-7 kap. Brott mot person;År;2022;..;..
Askersund kommun;4 kap. Brott mot frihet och frid;År;2020;128;1118
Askersund kommun;4 kap. Brott mot frihet och frid;År;2021;101;880
Askersund kommun;4 kap. Brott mot frihet och frid;År;2022;100;868
Askersund kommun;3-7 kap. Brott mot person;År;2020;..;..
Askersund kommun;3-7 kap. Brott mot person;År;2021;..;..
Askersund kommun;3-7 kap. Brott mot person;År;2022;..;..
Askersund kommun;5 kap. Ärekränkningsbrott;År;2020;6;52
Askersund kommun;5 kap. Ärekränkningsbrott;År;2021;5;44
Askersund kommun;5 kap. Ärekränkningsbrott;År;2022;2;17
Askersund kommun;3-7 kap. Brott mot person;År;2020;..;..
Askersund kommun;3-7 kap. Brott mot person;År;2021;..;..
Askersund kommun;3-7 kap. Brott mot person;År;2022;..;..
Askersund kommun;6 kap. Sexualbrott;År;2020;27;236
Askersund kommun;6 kap. Sexualbrott;År;2021;14;122
Askersund kommun;6 kap. Sexualbrott;År;2022;13;113
Askersund kommun;3-7 kap. Brott mot person;År;2020;..;..
Askersund kommun;3-7 kap. Brott mot person;År;2021;..;..
Askersund kommun;3-7 kap. Brott mot person;År;2022;..;..
Askersund kommun;7 kap. Brott mot familj;År;2020;0;0
Askersund kommun;7 kap. Brott mot familj;År;2021;1;9
Askersund kommun;7 kap. Brott mot familj;År;2022;0;0
Avesta kommun;3-7 kap. Brott mot person;År;2020;..;..
Avesta kommun;3-7 kap. Brott mot person;År;2021;..;..
Avesta kommun;3-7 kap. Brott mot person;År;2022;..;..
Avesta kommun;3 kap. Brott mot liv och hälsa;År;2020;207;897
Avesta kommun;3 kap. Brott mot liv och hälsa;År;2021;212;921
Avesta kommun;3 kap. Brott mot liv och hälsa;År;2022;197;859
Avesta kommun;3-7 kap. Brott mot person;År;2020;..;..
Avesta kommun;3-7 kap. Brott mot person;År;2021;..;..
Avesta kommun;3-7 kap. Brott mot person;År;2022;..;..
Avesta kommun;4 kap. Brott mot frihet och frid;År;2020;233;1009
Avesta kommun;4 kap. Brott mot frihet och frid;År;2021;257;1117
Avesta kommun;4 kap. Brott mot frihet och frid;År;2022;273;1191
Avesta kommun;3-7 kap. Brott mot person;År;2020;..;..
Avesta kommun;3-7 kap. Brott mot person;År;2021;..;..
Avesta kommun;3-7 kap. Brott mot person;År;2022;..;..
Avesta kommun;5 kap. Ärekränkningsbrott;År;2020;13;56
Avesta kommun;5 kap. Ärekränkningsbrott;År;2021;21;91
Avesta kommun;5 kap. Ärekränkningsbrott;År;2022;15;65
Avesta kommun;3-7 kap. Brott mot person;År;2020;..;..
Avesta kommun;3-7 kap. Brott mot person;År;2021;..;..
Avesta kommun;3-7 kap. Brott mot person;År;2022;..;..
Avesta kommun;6 kap. Sexualbrott;År;2020;41;178
Avesta kommun;6 kap. Sexualbrott;År;2021;52;226
Avesta kommun;6 kap. Sexualbrott;År;2022;43;188
Avesta kommun;3-7 kap. Brott mot person;År;2020;..;..
Avesta kommun;3-7 kap. Brott mot person;År;2021;..;..
Avesta kommun;3-7 kap. Brott mot person;År;2022;..;..
Avesta kommun;7 kap. Brott mot familj;År;2020;1;4
Avesta kommun;7 kap. Brott mot familj;År;2021;2;9
Avesta kommun;7 kap. Brott mot familj;År;2022;0;0
Bengtsfors kommun;3-7 kap. Brott mot person;År;2020;..;..
Bengtsfors kommun;3-7 kap. Brott mot person;År;2021;..;..
Bengtsfors kommun;3-7 kap. Brott mot person;År;2022;..;..
Bengtsfors kommun;3 kap. Brott mot liv och hälsa;År;2020;75;781
Bengtsfors kommun;3 kap. Brott mot liv och hälsa;År;2021;80;841
Bengtsfors kommun;3 kap. Brott mot liv och hälsa;År;2022;66;707
Bengtsfors kommun;3-7 kap. Brott mot person;År;2020;..;..
Bengtsfors kommun;3-7 kap. Brott mot person;År;2021;..;..
Bengtsfors kommun;3-7 kap. Brott mot person;År;2022;..;..
Bengtsfors kommun;4 kap. Brott mot frihet och frid;År;2020;134;1396
Bengtsfors kommun;4 kap. Brott mot frihet och frid;År;2021;129;1357
Bengtsfors kommun;4 kap. Brott mot frihet och frid;År;2022;99;1061
Bengtsfors kommun;3-7 kap. Brott mot person;År;2020;..;..
Bengtsfors kommun;3-7 kap. Brott mot person;År;2021;..;..
Bengtsfors kommun;3-7 kap. Brott mot person;År;2022;..;..
Bengtsfors kommun;5 kap. Ärekränkningsbrott;År;2020;8;83
Bengtsfors kommun;5 kap. Ärekränkningsbrott;År;2021;17;179
Bengtsfors kommun;5 kap. Ärekränkningsbrott;År;2022;9;96
Bengtsfors kommun;3-7 kap. Brott mot person;År;2020;..;..
Bengtsfors kommun;3-7 kap. Brott mot person;År;2021;..;..
Bengtsfors kommun;3-7 kap. Brott mot person;År;2022;..;..
Bengtsfors kommun;6 kap. Sexualbrott;År;2020;18;188
Bengtsfors kommun;6 kap. Sexualbrott;År;2021;39;410
Bengtsfors kommun;6 kap. Sexualbrott;År;2022;8;86
Bengtsfors kommun;3-7 kap. Brott mot person;År;2020;..;..
Bengtsfors kommun;3-7 kap. Brott mot person;År;2021;..;..
Bengtsfors kommun;3-7 kap. Brott mot person;År;2022;..;..
Bengtsfors kommun;7 kap. Brott mot familj;År;2020;0;0
Bengtsfors kommun;7 kap. Brott mot familj;År;2021;0;0
Bengtsfors kommun;7 kap. Brott mot familj;År;2022;1;11
Berg kommun;3-7 kap. Brott mot person;År;2020;..;..
Berg kommun;3-7 kap. Brott mot person;År;2021;..;..
Berg kommun;3-7 kap. Brott mot person;År;2022;..;..
Berg kommun;3 kap. Brott mot liv och hälsa;År;2020;37;520
Berg kommun;3 kap. Brott mot liv och hälsa;År;2021;45;632
Berg kommun;3 kap. Brott mot liv och hälsa;År;2022;64;894
Berg kommun;3-7 kap. Brott mot person;År;2020;..;..
Berg kommun;3-7 kap. Brott mot person;År;2021;..;..
Berg kommun;3-7 kap. Brott mot person;År;2022;..;..
Berg kommun;4 kap. Brott mot frihet och frid;År;2020;69;970
Berg kommun;4 kap. Brott mot frihet och frid;År;2021;82;1151
Berg kommun;4 kap. Brott mot frihet och frid;År;2022;88;1230
Berg kommun;3-7 kap. Brott mot person;År;2020;..;..
Berg kommun;3-7 kap. Brott mot person;År;2021;..;..
Berg kommun;3-7 kap. Brott mot person;År;2022;..;..
Berg kommun;5 kap. Ärekränkningsbrott;År;2020;9;126
Berg kommun;5 kap. Ärekränkningsbrott;År;2021;5;70
Berg kommun;5 kap. Ärekränkningsbrott;År;2022;7;98
Berg kommun;3-7 kap. Brott mot person;År;2020;..;..
Berg kommun;3-7 kap. Brott mot person;År;2021;..;..
Berg kommun;3-7 kap. Brott mot person;År;2022;..;..
Berg kommun;6 kap. Sexualbrott;År;2020;4;56
Berg kommun;6 kap. Sexualbrott;År;2021;7;98
Berg kommun;6 kap. Sexualbrott;År;2022;14;196
Berg kommun;3-7 kap. Brott mot person;År;2020;..;..
Berg kommun;3-7 kap. Brott mot person;År;2021;..;..
Berg kommun;3-7 kap. Brott mot person;År;2022;..;..
Berg kommun;7 kap. Brott mot familj;År;2020;0;0
Berg kommun;7 kap. Brott mot familj;År;2021;0;0
Berg kommun;7 kap. Brott mot familj;År;2022;0;0
Bjurholm kommun;3-7 kap. Brott mot person;År;2020;..;..
Bjurholm kommun;3-7 kap. Brott mot person;År;2021;..;..
Bjurholm kommun;3-7 kap. Brott mot person;År;2022;..;..
Bjurholm kommun;3 kap. Brott mot liv och hälsa;År;2020;8;335
Bjurholm kommun;3 kap. Brott mot liv och hälsa;År;2021;20;837
Bjurholm kommun;3 kap. Brott mot liv och hälsa;År;2022;7;294
Bjurholm kommun;3-7 kap. Brott mot person;År;2020;..;..
Bjurholm kommun;3-7 kap. Brott mot person;År;2021;..;..
Bjurholm kommun;3-7 kap. Brott mot person;År;2022;..;..
Bjurholm kommun;4 kap. Brott mot frihet och frid;År;2020;24;1006
Bjurholm kommun;4 kap. Brott mot frihet och frid;År;2021;46;1925
Bjurholm kommun;4 kap. Brott mot frihet och frid;År;2022;23;965
Bjurholm kommun;3-7 kap. Brott mot person;År;2020;..;..
Bjurholm kommun;3-7 kap. Brott mot person;År;2021;..;..
Bjurholm kommun;3-7 kap. Brott mot person;År;2022;..;..
Bjurholm kommun;5 kap. Ärekränkningsbrott;År;2020;1;42
Bjurholm kommun;5 kap. Ärekränkningsbrott;År;2021;2;84
Bjurholm kommun;5 kap. Ärekränkningsbrott;År;2022;4;168
Bjurholm kommun;3-7 kap. Brott mot person;År;2020;..;..
Bjurholm kommun;3-7 kap. Brott mot person;År;2021;..;..
Bjurholm kommun;3-7 kap. Brott mot person;År;2022;..;..
Bjurholm kommun;6 kap. Sexualbrott;År;2020;1;42
Bjurholm kommun;6 kap. Sexualbrott;År;2021;9;377
Bjurholm kommun;6 kap. Sexualbrott;År;2022;6;252
Bjurholm kommun;3-7 kap. Brott mot person;År;2020;..;..
Bjurholm kommun;3-7 kap. Brott mot person;År;2021;..;..
Bjurholm kommun;3-7 kap. Brott mot person;År;2022;..;..
Bjurholm kommun;7 kap. Brott mot familj;År;2020;0;0
Bjurholm kommun;7 kap. Brott mot familj;År;2021;1;42
Bjurholm kommun;7 kap. Brott mot familj;År;2022;0;0
Bjuv kommun;3-7 kap. Brott mot person;År;2020;..;..
Bjuv kommun;3-7 kap. Brott mot person;År;2021;..;..
Bjuv kommun;3-7 kap. Brott mot person;År;2022;..;..
Bjuv kommun;3 kap. Brott mot liv och hälsa;År;2020;179;1141
Bjuv kommun;3 kap. Brott mot liv och hälsa;År;2021;165;1047
Bjuv kommun;3 kap. Brott mot liv och hälsa;År;2022;149;934
Bjuv kommun;3-7 kap. Brott mot person;År;2020;..;..
Bjuv kommun;3-7 kap. Brott mot person;År;2021;..;..
Bjuv kommun;3-7 kap. Brott mot person;År;2022;..;..
Bjuv kommun;4 kap. Brott mot frihet och frid;År;2020;224;1428
Bjuv kommun;4 kap. Brott mot frihet och frid;År;2021;237;1504
Bjuv kommun;4 kap. Brott mot frihet och frid;År;2022;304;1906
Bjuv kommun;3-7 kap. Brott mot person;År;2020;..;..
Bjuv kommun;3-7 kap. Brott mot person;År;2021;..;..
Bjuv kommun;3-7 kap. Brott mot person;År;2022;..;..
Bjuv kommun;5 kap. Ärekränkningsbrott;År;2020;14;89
Bjuv kommun;5 kap. Ärekränkningsbrott;År;2021;14;89
Bjuv kommun;5 kap. Ärekränkningsbrott;År;2022;14;88
Bjuv kommun;3-7 kap. Brott mot person;År;2020;..;..
Bjuv kommun;3-7 kap. Brott mot person;År;2021;..;..
Bjuv kommun;3-7 kap. Brott mot person;År;2022;..;..
Bjuv kommun;6 kap. Sexualbrott;År;2020;39;249
Bjuv kommun;6 kap. Sexualbrott;År;2021;151;958
Bjuv kommun;6 kap. Sexualbrott;År;2022;27;169
Bjuv kommun;3-7 kap. Brott mot person;År;2020;..;..
Bjuv kommun;3-7 kap. Brott mot person;År;2021;..;..
Bjuv kommun;3-7 kap. Brott mot person;År;2022;..;..
Bjuv kommun;7 kap. Brott mot familj;År;2020;3;19
Bjuv kommun;7 kap. Brott mot familj;År;2021;3;19
Bjuv kommun;7 kap. Brott mot familj;År;2022;2;13
Boden kommun;3-7 kap. Brott mot person;År;2020;..;..
Boden kommun;3-7 kap. Brott mot person;År;2021;..;..
Boden kommun;3-7 kap. Brott mot person;År;2022;..;..
Boden kommun;3 kap. Brott mot liv och hälsa;År;2020;275;980
Boden kommun;3 kap. Brott mot liv och hälsa;År;2021;252;896
Boden kommun;3 kap. Brott mot liv och hälsa;År;2022;219;779
Boden kommun;3-7 kap. Brott mot person;År;2020;..;..
