Datum/Klockslag,Titel,Beskrivning
2024-01-30T10:38:01+01:00,Vill du jobba som röstmottagare under EU-valet?,Den 9 juni 2024 är det val till Europaparlamentet. Lomma kommun söker nu dig som vill jobba som röstmottagare.
2024-01-29T16:15:46+01:00,Sammanträde med kommunfullmäktige,"Torsdagen den 1 februari, kl 18.00, sammanträder kommunfullmäktige för årets första möte."
2024-01-29T12:34:29+01:00,Kraftringen lägger ny ringledning i Lomma – framkomligheten i trafiken påverkas,I slutet av januari påbörjar Kraftringen ett omfattande projekt på fjärrvärmenätet i Lomma. För att både öka leveranssäkerheten och möjliggöra för ytterligare expansion i framtiden bygger Kraftringen en ny ringledning från deras kraftvärmeverk Återbruket. Arbetet medför att framkomligheten i trafiken påverkas.
2024-01-28T11:00:00+01:00,Barngruppen Hanna och Theo och BiFF,"Nu är anmälan öppen till gruppen för barn vars föräldrar har gått igenom skilsmässa eller separation och som deltagit i BiFF eller samarbetssamtal. Även utbildningen BiFF – Barn i Föräldrars Fokus, erbjuder nya kurstillfällen våren 2024."
2024-01-26T12:46:16+01:00,Senaste nytt från kommunstyrelsen den 24 januari,Kommunstyrelsen hade sammanträde den 24 januari. Här är en sammanfattning av några av ärendena.
2024-01-26T12:45:00+01:00,Hemtjänstens dag,Lördagen den 27 januari är det hemtjänstens dag. Då vill vi passa på att uppmärksamma våra vardagshjältar som gör skillnad i någons liv och vardag.
2024-01-26T08:01:08+01:00,Första spadtaget för nytt LSS-boende,"Den 25 januari togs det första spadtaget för det nya LSS-boendet på Löddesnäsvägen i Bjärred. Projektledare Erik Jarl höll i spaden tillsammans med Susanne Borgelius, ordförande i socialnämnden och Andreas Granberg, VD på MTA Bygg och Anläggning."
2024-01-25T08:00:00+01:00,Öppet hus-vecka på fritidsgården Centralen,Den 5-9 februari bjuder fritidsgården Centralen i Lomma in till Öppet hus. Då finns chans för tonåringar och föräldrar att träffa vår personal och att delta i olika aktiviteter.
2024-01-24T10:21:36+01:00,Panelsamtal om gymnasium och nytt kommunhus,Planerna på ett gymnasium och nytt kommunhus i Lomma har väckt en del frågor från våra kommuninvånare. Några av dessa frågor försöker vi svara på i fyra panelsamtal som vi spelat in.
2024-01-22T16:25:12+01:00,Fördjupad befolkningsprognos årskurs F-3,Lomma kommun har gjort en fördjupad undersökning av befolkningsprognosen. Resultatet förstärker tidigare undersökningar som ligger till grund för beslutet att pausa intaget på två lågstadieskolor i kommunen.
2024-01-22T16:01:16+01:00,Sammanfattning av öppet hus i Bjärred,Det pågår flera spännande projekt i den norra kommundelen som många är nyfikna på och vill veta mer om. Med anledning av det arrangerade samhällsbyggnadsförvaltningen innan årsskiftet ett öppet hus i Bjärred där allmänheten bjöds in. På plats fanns tjänstepersoner och politiker från Lomma kommun för att berätta om projekten och svara på frågor.
2024-01-22T07:00:00+01:00,Digital hjälp vid skilsmässa och separation  –   SES,"Nu har det digitala verktyget SES  –   Samarbete Efter Skilsmässa, kommit till Lomma!"
2024-01-17T14:04:55+01:00,Återvinningsstationer i Lomma kommun,Från och med 1 januari 2024 har Sysav ansvaret för insamlingen av förpackningar från hushåll via återvinningsstationer och fastighetsnära insamling i Lomma kommun. Återvinningsstationerna är de obemannade gröna behållarna som finns för återvinning av förpackningar.
2024-01-12T13:46:19+01:00,Byggstart vid Ovalen,Ovalen är en viktig trafikplats mitt i Lomma där olika vägar möts. Under vecka 4 påbörjar vi renovering av Ovalen och gör om den till en cirkulationsplats - en lösning som blir både enklare och säkrare!
2024-01-12T13:00:00+01:00,Unikt tillfälle för Räddningstjänsten att   öva,Vid tre tillfällen i vinter kommer Räddningstjänsten att träna svåra moment i kommunhusets tomma lokaler.
2024-01-12T08:10:31+01:00,Informationsmöte för fullmäktiges politiker om folkinitiativ,Med anledning av folkinitiativen anordnas ett informationsmöte den 16 januari för kommunfullmäktiges ledamöter och ersättare. Mötets syfte är att informera om processen för folkinitiativ och eventuell folkomröstning. Inga beslut kommer att fattas under mötet.
2024-01-11T07:01:31+01:00,Nu är skolvalet öppet,Skolvalet till höstterminen 2024 genomförs under perioden 11-31 januari. Vårdnadshavare loggar in i e-tjänsten Mitt skolval med sitt bank-ID och väljer önskad skola för sitt barn.
2024-01-09T07:28:51+01:00,Förtydligande om ägande hos entreprenör,Lomma kommun ställer tydliga krav på entreprenörer vid upphandling.
2024-01-07T11:00:00+01:00,Gott betyg i medborgarundersökning 2023,"Resultaten från Statistiska Centralbyråns (SCB) medborgarundersökning har redovisats. Hela 99 procent tycker att Lomma är en mycket eller ganska bra plats att bo på, vilket är näst högst i landet."
2024-01-04T17:51:32+01:00,Avtal klart med byggentreprenör för kommunhuskvarteret,Senaste nytt om kommunhuskvarteret: Överprövning av tilldelningsbeslut är klar och avtal har tecknats med byggentreprenör.
2024-01-04T15:33:14+01:00,Plan antagen mot våld i nära relationer,"Socialnämnden har antagit en plan som visar hur Lomma kommun ska arbeta för att förebygga, upptäcka och hantera våld i nära relationer och hedersrelaterat våld."
2023-12-26T15:00:00+01:00,Viktigt att veta om fyrverkerier,Det kan vara både vackert och festligt med fyrverkerier under nyårsnatten. Det finns dock en hel del att tänka på för att det också ska bli en säker och positiv upplevelse. För din egen skull och andras.
2023-12-23T10:00:00+01:00,Sociala jouren Syd – om du hamnar i akut läge,"Om du eller någon i din närhet behöver akut hjälp och ärendet berör barn, våld i relationer eller missbruksproblematik, kan Sociala jouren Syd ge råd och stöd till dess att kommunens socialkontor öppnar."
2023-12-22T08:00:00+01:00,God Jul och Gott Nytt År!,Julen står för dörren. Därför vill Lomma kommun önska er alla en riktigt God Jul och ett Gott Nytt År.
2023-12-21T17:32:42+01:00,Namnunderskrifter för folkomröstning räknade,De namnunderskrifter som lämnades in som underlag till en folkomröstning är nu granskade och räknade. I båda fallen räcker antalet underskrifter för att väcka frågan om folkomröstning i kommunfullmäktige.
2023-12-21T15:58:07+01:00,Mottagare av Kulturplaketten utsedda,"Kulturplaketten delas varje år ut till en person eller organisation som gjort särskilda insatser för kulturlivet i kommunen. Årets plakett går till två pristagare, Birgitta Nilsson och Lomma museiförening."
2023-12-21T13:11:35+01:00,Risk för översvämning,SMHI har utfärdat orange vädervarning. Det innebär att vattenståndet blir högt under torsdag 21/12 och fortsätter stiga och når mycket höga nivåer under fredagen.
2023-12-20T08:37:36+01:00,Visa dina tonåringar att du bryr dig!,Användningen av bland annat lustgas har ökat bland ungdomar. För att förebygga skador är det viktigt med dialog för att nå din ungdom innan drogerna gör det.
2023-12-20T07:42:26+01:00,Senaste nytt från kommunstyrelsen den 13 december,Kommunstyrelsen hade sammanträde den 13 december. Här är en sammanfattning av några av ärendena.  Protokoll från sammanträdet publiceras inom kort  .
2023-12-14T09:30:00+01:00,Anhörigstödet erbjuder träffar,"Nu är det dags att anmäla dig till följande nya anhörigträffar: Informationsträffar för dig som är ny i anhörigrollen, Samtalsgrupp för anhöriga och Anhöriggrupp psykisk ohälsa."
2023-12-13T10:32:32+01:00,De får årets kulturstipendium,Årets kulturstipendium tilldelas musikerna Fanny Bauer och Sofia Ahnfelt. De får 15 000 kronor var.
2023-12-12T11:00:52+01:00,Positiva resultat i brukarundersökning inom individ- och familjeomsorg och funktionsstöd,Under hösten genomfördes en brukarundersökning inom Individ- och familjeomsorg (IFO) samt Funktionsstöds verksamheter inom LSS. De inkomna svaren visar positiva resultat.
2023-12-12T09:01:04+01:00,Ändring av plats för återlämning av hjälpmedel,"Om du har lånat hjälpmedel i Lomma kommun och ska lämna tillbaka dem, sker detta numera på Poppelgatan 21 i Lomma."
2023-12-11T11:43:46+01:00,Beslutat i kommunfullmäktige den 7 december,Kommunfullmäktige hade sammanträde den 7 december. Då beslutades bland annat att avfallsföreskrifterna och avfallstaxan ska uppdateras. Här är en sammanfattning av dessa ärenden.  Protokoll från sammanträdet finns under fliken Kommun och politik  .
2023-12-07T18:32:36+01:00,Förslag om folkomröstning inlämnat,Den 6 december lämnades två olika namninsamlingar in till Lomma kommun med begäran om folkomröstning om nytt kommunhus och gymnasium samt ökade resurser till skolan. Här kan du läsa om hur processen ser ut framöver.
2023-12-07T08:56:30+01:00,Ny tidtabell från 10 december och halvtimmestrafik på Lommabanan,"Den 10 december byter Skånetrafiken tidtabell. Det innebär att Lommabanan får halvtimmestrafik hela dagen, även på helger. Banan kopplas också till Malmöringen vilket möjliggör tågresor runt Malmös tågstationer utan byten."
2023-12-06T13:15:02+01:00,Sammanträde med kommunfullmäktige,"Torsdagen den 7 december, kl 18.00, sammanträder kommunfullmäktige."
2023-12-05T07:28:57+01:00,Ny e-tjänst för val av skola,Nu införs en ny e-tjänst för skolvalet som heter ”Mitt skolval”. Skolvalet genomförs under perioden 11-31 januari 2024. Då kommer vårdnadshavare kunna logga in i e-tjänsten Mitt skolval med sitt bank-ID och välja önskad skola för sitt barn.
2023-12-02T09:00:00+01:00,Trygghetscirkeln erbjuder stöd för föräldrar med barn 3-12 år  –   anmälan öppen för våren,Hur kan du som förälder uppmärksamma och möta ditt barns behov på ett sätt som leder till trygghet? Genom Trygghetscirkeln får du hjälp att utveckla ditt föräldraskap genom självreflektion. Nu kan du anmäla dig till höstens träffar!
2023-12-01T13:07:43+01:00,Ändrad organisering av våra elevcoacher,Barn- och utbildningsnämnden har beslutat att ändra organiseringen av våra elevcoacher. Förändringen innebär att barn- och utbildningsnämnden tar tillbaka ansvaret för elevcoacherna.
2023-12-01T09:10:36+01:00,Kommunresor övergår till färdtjänst,Från och med mars 2024 kommer det tidigare avtalet med kommunresor att upphöra och ersättas av färdtjänst. Här kan du läsa om vad det innebär för dig som använder kommunresor.
2023-11-30T11:51:07+01:00,Den 4 december flyttar Kontaktcenter,Från och med måndag den 4 december hittar du kommunens Kontaktcenter i stationshuset i Lomma på Järnvägsgatan 7. Varmt välkommen!
2023-11-30T10:28:49+01:00,Omorganisation av nattpersonal inom hemtjänsten,Nattpersonalen inom hemtjänsten kommer från och med den 23 januari att ingå i varsin arbetsgrupp inom respektive hemtjänstområde tillsammans med ordinarie dag- och kvällsmedarbetare.
2023-11-29T14:08:05+01:00,Nytt bibliotekssystem och ny hemsida,"Under vecka 50, den 11-17 december, byter biblioteken i Lomma kommun bibliotekssystem och hemsida. Biblioteken kommer därför att vara stängda under perioden 11-17 december."
2023-11-28T10:00:12+01:00,Pilängsskolan vann finalen i Spänningssökarna!,"Bidraget Elektroletten av klass 9B, Pilängskolan i Lomma vann årets Spänningssökarfinal arrangerat av energibolaget Kraftringen. Juryn lyfte i sin motivering fram klass 9Bs förmåga att kombinera kompetens kring kemi, energi och mänskliga element på ett kreativt och humoristiskt sätt."
2023-11-24T07:00:00+01:00,Socialnämndens arbete för att nå ekonomi i balans,"Socialnämndens verksamhet uppvisar ett långvarigt underskott och kostnaderna behöver minskas inför 2024. Vid nämndens sammanträde den 14 november, fattades beslut om budget för 2024 samt åtgärder för att få ekonomin i balans."
2023-11-23T12:00:00+01:00,Anhörigstödet utökas till LSS,Nu utökas stödet för dig som är anhörig till någon som har en funktionsvariation (LSS).
2023-11-22T11:12:31+01:00,Organisationsförändring inom hemtjänstområde Solberga,Från och med den 1 januari 2024 kommer hemtjänstområde Solberga att ingå i område City och område Hamnen.
2023-11-20T07:00:00+01:00,En vecka fri från våld / Orange Day,"Vare sig du är utsatt för, bevittnar eller utövar våld finns det hjälp att få."
2023-11-17T14:31:52+01:00,Senaste nytt från kommunstyrelsen den 15 november,Kommunstyrelsen hade sammanträde den 15 november. Här är en sammanfattning av några av ärendena.  Protokoll från sammanträdet publiceras inom kort  .
2023-11-13T13:04:28+01:00,Trygghetsmätning visar att Lomma fortsatt upplevs som tryggt,Tack alla som tidigare i höst svarade på Polisens trygghetsmätning! Resultatet visar att Lomma fortsatt upplevs som en trygg kommun. Buskörning med mopeder och nedskräpning är dock fortfarande något som skapar en känsla av osäkerhet.
2023-11-12T21:25:55+01:00,Äldreboende delvis evakuerat efter brand,"En avdelning på Strandängsgatans äldreboende har utrymts under söndagskvällen den 12 november, efter att en mindre brand uppstått i ett av rummen."
2023-11-10T13:04:08+01:00,Elda omtänksamt i höst och vinter,En brasa kan höja mysfaktorn inomhus under de kyliga månaderna. Men vedeldning innebär också en risk för brand och är en av de största källorna till hälsofarliga luftföroreningar i Sverige. Genom att elda sparsamt och med rätt teknik kan du minska utsläppen och på samma gång minska riskerna för brand.
2023-11-09T16:33:48+01:00,Helhetsgrepp kring Torkladans framtid,Torkladan i Lomma hamn förstördes i en brand i oktober 2022. Skadorna blev väldigt omfattande och stora delar av byggnaden är fortfarande obrukbara. Nu ska vi utreda vad det finns för olika handlingsalternativ för byggnaden och hur den kan iordningställas för att bidra till samhället och platsen på ett bästa sätt.
2023-11-09T16:21:27+01:00,Öppet hus med fokus på projekt i Bjärred,Det kommer att pågå flera spännande projekt i den norra kommundelen framöver. Vissa projekt är i sin linda medan andra har kommit lite längre. Den 28 november bjuder vi in till Öppet hus på Bjärehovskolans matsal för att prata med dig om utvecklingen som Bjärred står inför de kommande åren. Hjärtligt välkommen!
2023-11-09T13:00:00+01:00,Organisering av fritidshem och skolbibliotek från höstterminen 2024,Barn- och utbildningsnämnden har beslutat att ändra organiseringen av fritidshem för årskurs 4 - 6 och skolbiblioteken. Förändringen innebär att barn- och utbildningsnämnden tar tillbaka ansvaret för fritidshemmen och skolbiblioteken.
2023-11-06T15:50:40+01:00,Del av Järngatan avstängd 8 nov till 9 dec Busslinje 139 påverkas,På grund av byggnation av cykelöverfart på del av Järngatan kommer busslinje 139 få en tillfällig körväg mellan kl. 07:00 den 8 november till kl. 16:00 den 9 december. Tillfällig busshållplats placeras på Lillevångsgatan.
2023-11-05T09:00:00+01:00,Kura skymning på biblioteken 13 november,Den 13 november är det högläsning på biblioteken. Vi tänder levande ljus och läser högt samma text som på alla andra bibliotek i Norden. Årets tema är ”Jul i Norden”.
2023-11-03T10:05:22+01:00,Serietecknare ska skildra Lommas själ,Serietecknaren och illustratören Jenny Holmlund har under hösten fått i uppdrag att skildra Lomma. Resultatet ska bli serier som ställs ut under 2024. Bakom projektet ”Skåne – en dröm” ligger Folkets konsthall i samarbete med de kommuner som deltar.
2023-11-02T08:00:00+01:00,Dags att nominera Årets företagare,Företagarna Öresund utser varje år Årets Företagare och Årets Unga Företagare i Lomma kommun. Vem tycker du ska få dessa utmärkelser? Nomineringen är nu öppen. Det finns även möjlighet att nominera Årets Hållbara företagare.
2023-11-01T15:34:59+01:00,"Syns du, finns du – reflexer gör skillnad","Gatubelysningen gör att du själv ser, men innebär inte att du syns. Med reflexer syns du på ungefär 125 meters håll i mörker om du möter en bil med halvljuset påslaget. Då har föraren god tid på sig att sakta in."
2023-10-31T08:00:00+01:00,Vi ersätter T-bryggan i Lomma,"Med start i januari 2024 påbörjar vi vårt arbete med att ersätta T-bryggan i Lomma. Vi river den gamla bryggan för att bygga en ny brygga på samma plats med längre livslängd och bättre förutsättningar att motstå naturens krafter. Dessutom blir det en större badplattform med soldäck, vindskydd och låsbara förvaringsboxar längst ut."
2023-10-27T07:55:07+02:00,Budget beslutad i kommunfullmäktige,Politikerna i kommunfullmäktige hade sammanträde den 26 oktober. Då beslutades bland annat att godkänna förslag till budget för år 2024 och plan för ekonomin för åren 2025 - 2027.
2023-10-26T08:09:03+02:00,Inspirerande digitalt samtal om klimatpsykologi,Välkommen till ett inspirerande och tankeväckande samtal om klimatpsykologi och vad vi kan lära oss av energi- och klimatkrisen den 7 november kl. 18:00. Medverkar gör psykologen Frida Hylander och Lomma kommuns energi-och klimatrådgivare.
2023-10-25T15:00:00+02:00,Polisen i Lomma flyttar ut 5 december,Den 4 december flyttar Lomma kommuns kontaktcenter till stationshuset vid Lomma station. I samband med detta flyttar även polisen ut. Den 5 december är sista dagen polisreceptionen håller öppet i kommunhuset i Lomma.
2023-10-24T17:21:06+02:00,Program för aktiviteter på höstlovet,Under vecka 44 är det dags för höstlov. På  lomma.se/lov   finns information om gratis lovaktiviteter för lediga barn och ungdomar. Programmet startar redan fredagen den 27 oktober med Halloween-pynt på fritidsgården Stationen 2.0.
2023-10-24T08:58:23+02:00,Utbyte med volontärer på fritidsklubbarna,"Under ett års tid kommer Maria Nortes från Spanien att delta i ett projekt för unga i Europa, på fritidsgården Centralen i Lomma. Maria avlöser Océane Dommanget som spenderade det gångna året som volontär i Lomma kommun."
2023-10-23T16:41:52+02:00,Ungdomsbiljett i app,Är du mellan 16 och 19 år och går på gymnasiet får du en ungdomsbiljett om du är folkbokförd i Lomma kommun. Nu kan du flytta din biljett till Skånetrafikens app om du vill.
2023-10-23T11:22:20+02:00,Sammanträde med kommunfullmäktige,"Torsdagen den 26 oktober, kl 09.00, sammanträder kommunfullmäktige. På agendan står bland annat fastställande av budget för år 2024 och plan för ekonomin för åren 2025-2027."
2023-10-17T15:00:28+02:00,Barngrupp – Hanna och Theo,Under hösten startar vi upp en barngrupp för de barn vars föräldrar har gått igenom skilsmässa eller separation och som själva deltagit i BiFF eller samarbetssamtal.
2023-10-16T12:13:45+02:00,Drag Story Hour till biblioteken i december,I samband med att biblioteken i Lomma och Bjärred blir HBTQI-certifierade ordnas en aktivitet på temat. I december kommer Drag Story Hour till biblioteken och läser normkreativa sagor för barn.
2023-10-16T07:49:18+02:00,Fortsatt väldigt bra skolresultat,"Lomma kommuns elever fortsätter att ha bland landets bästa skolresultat. Enligt nya siffror för åk 9:s betyg i våras ligger Lomma kommun på andra plats i hela Sverige, endast överträffad av Nykvarns kommun."
2023-10-14T10:00:00+02:00,Är du anhörig till någon med missbruk,Öppenvårdens anhöriggrupp (CRAFT) erbjuder nya träffar för dig som har en närstående som är beroende av alkohol eller narkotika.
2023-10-12T15:34:15+02:00,Öppet hus för verksamhetsområde Malmövägen,"På en yta om cirka 18 hektar, mellan Malmövägen och E6an i Lomma planerar vi för ett nytt verksamhetsområde. Den 24 oktober håller vi öppet hus för dig som vill veta mer om utvecklingen."
2023-10-12T08:00:00+02:00,Vem ska få årets kulturplakett?,Kulturplaketten är ett pris som Lomma kommun delar ut varje år. Priset ges till en person eller organisation som har gjort något positivt och viktigt för kulturlivet. Du kan föreslå vem du tycker ska få priset fram till den 31 oktober.
2023-10-11T16:35:57+02:00,Öppenvården bjuder in: Föräldraskapet varar livet ut – vilket stöd behöver du?,"Onsdagen den 25 oktober finns öppenvården på plats på Lomma bibliotek, kl. 18.00-19.00. Välkommen att få information om vad vi kan erbjuda och dela dina tankar och önskemål om stöd."
2023-10-11T09:26:33+02:00,Fördelning av förskoleklasser beslutad,"Antalet barn i förskola och grundskola minskar i Lomma kommun. Kommunen behöver därför anpassa verksamheterna, så att alla barn kan ta del av en kvalitativ utbildning.  Barn- och utbildningsnämnden i Lomma kommun har därför den 10 oktober tagit beslut om att genomföra den förändrade fördelningen av förskoleklasser i Lomma kommun som  förvaltningen tidigare lagt fram  ."
2023-10-10T07:57:18+02:00,Senaste nytt från kommunstyrelsen den 4 oktober,Kommunstyrelsen hade sammanträde den 4 oktober. Här är en sammanfattning av några av ärendena.  Protokoll   med information om samtliga ärenden från nämnden publiceras inom kort.
2023-10-09T09:46:25+02:00,Dags att ansöka om kulturstipendium,"Håller du på med konst, musik eller annat kulturellt skapande? Och har anknytning till Lomma kommun? Då kan du ansöka om Lomma kommuns kulturstipendium. Ansökan ska göras senast den 31 oktober."
2023-10-06T14:46:44+02:00,Nu finns våra särskilda boende och individ- och familjeomsorgen på Instagram,Våra särskilda boende och individ- och familjeomsorgen finns nu på Instagram. Följ oss gärna för att få en inblick i vardagen på våra boenden och för att följa IFOs arbete.
2023-10-06T11:31:09+02:00,Vad tyckte de äldre om äldreomsorgen 2023?,"Socialstyrelsen låter varje år undersöka brukarnas nöjdhet med äldreomsorgen.   I årets resultat för Lomma kommun syns en tydlig ökad nöjdhet kring särskilda boende, men nöjdheten med hemtjänsten är fortsatt låg."
2023-10-05T08:54:52+02:00,Ovalen i Lomma byggs om,I december börjar vi bygga om cirkulationsplatsen Ovalen utanför biblioteket i Lomma. Den ska bli en mer klassisk cirkulationsplats med fyra anslutande vägar. En lösning som blir både enklare och säkrare.
2023-10-04T07:30:00+02:00,Ta hjälp av ett personligt ombud!,Det finns olika sorters stöd för dig som lever med psykisk ohälsa. Ett stöd kan vara att ta hjälp av ett personligt ombud.
2023-10-03T16:02:41+02:00,Lomma uppmärksammas bland Sveriges miljöbästa kommuner,Lomma kommun kom på plats 4 i kategorin storstäder och storstadsnära kommuner när Sveriges miljöbästa kommun utsågs den 3 oktober.
2023-10-02T17:11:04+02:00,Byggentreprenör klar för kommunhus och gymnasium,"Det blir NIMAB Entreprenad AB, som tilldelas uppdraget som byggentreprenör. Nimab grundades 1985 i Sjöbo och har lång erfarenhet av att genomföra byggprojekt. Åtta företag lämnade anbud."
2023-10-02T11:14:51+02:00,Föredrag och rådgivning med energi- och klimatrådgivarna,Tisdagen den 17 oktober ordnas ett föredrag på Bjärreds bibliotek med kommunens energi- och klimatrådgivare. Då kan du få tips om hur du kan minska din energiförbrukning i hemmet. Anmäl dig genom att mejla eller ringa till biblioteket.
2023-10-01T07:00:00+02:00,Bli en matsvinnshjälte och nästa Resterkock!,Rädda matrester och delta i tävlingen Resterkocken! Den 1 oktober kan barn och unga delta i tävlingen Resterkocken som arrangeras av Sysav.
