Datum/Klockslag,Titel,Beskrivning
2023-09-29T08:10:29+02:00,Detaljplan för gymnasieskola och nytt kommunhus antagen,Kommunfullmäktige hade sammanträde den 28 september. Då beslutade fullmäktige bland annat att anta detaljplanen för gymnasieskola och nytt kommunhus i centrala Lomma.
2023-09-26T10:30:00+02:00,Förändringar för förskoleklasserna till nästa läsår,Antalet barn både i förskolan och grundskolan har minskat de senaste åren. Därför kommer antalet förskoleklasser som startar nästa läsår att vara färre än tidigare. Förändringarna märks både i Bjärred och Lomma.
2023-09-25T09:44:38+02:00,Sammanträde med kommunfullmäktige,"Torsdag den 28 september, kl 18.00, sammanträder kommunfullmäktige. På agendan står bland annat beslut om antagande av detaljplan för kommunhus/gymnasieskola (Lomma 34:1)."
2023-09-23T09:00:00+02:00,Välkommen till Hälsomässa 18 oktober!,Onsdagen den 18 oktober kl 9.00–15.30 anordnas en hälsomässa på Mötesplats Havsblick i Lomma med fokus förebyggande och hälsofrämjande verksamhet.
2023-09-22T14:32:22+02:00,Flexibla arbetsuppgifter erbjuds för att minska sjukfrånvaro och förbättra arbetsmiljön,"Medarbetare inom äldreomsorgen ska kunna arbeta med alternativa arbetsuppgifter i de fall som de inte kan utföra ordinarie arbetsuppgifter, men ändå kan och vill vara i tjänst."
2023-09-22T13:33:32+02:00,Ljungen daglig verksamhet firar 20 år!,Fredagen den 22 september uppmärksammades att Ljungen daglig verksamhet i Bjärred funnits i 20 år. Kommunens alla deltagare inom målgruppen hade bjudits in till firandet i lokalerna på Bjärehovsområdet.
2023-09-20T13:42:41+02:00,Vecka 39 håller byggenheten sitt sista öppet hus,"Vecka 39 håller byggenheten sitt sista öppet hus i nuvarande kommunhus. Detta med anledning av att kommunhuset flyttar ut. Byggenheten kommer från och med vecka 40 erbjuda bokade möten, både digitala och fysiska."
2023-09-20T13:00:00+02:00,Öppet Hus på Anhörigstödet,Fredagen den 6 oktober uppmärksammas Nationella Anhörigdagen genom Öppet Hus på Anhörigstödet i Lomma kommun. Välkommen att besöka oss!
2023-09-19T19:22:09+02:00,Föreläsning: Cykeln är nyckeln - att lära sig cykla som vuxen,Just nu pågår den europeiska mobilitetsveckan för att uppmärksamma hållbara resor. Kom och lyssna på en intressant föreläsning kring cyklingens betydelse. Välkommen till Kulturboxen på Pilängskolan den 21 september kl. 18:00!
2023-09-19T09:00:00+02:00,Motorträff för ungdomar på Centralen,"Är du 13-17 år och intresserad av mopeder eller EPA/A-traktorer? Kom då till Centralen i Lomma den 29 september, kl.19.30-21.30!"
2023-09-18T19:26:34+02:00,Testa vår cykeltipsrunda och tävla om biobiljetter,Just nu pågår den europeiska mobilitetsveckan för att uppmärksamma hållbara resor. Testa gärna på vår cykeltipsrunda under veckan med chans att vinna biobiljetter. Vi behöver dina svar senast den 24 september om du vill vara med och tävla.
2023-09-18T15:52:16+02:00,Nu ska våra bibliotek bli hbtqi-certifierade,"Lomma kommuns bibliotek har inlett en process för att bli hbtqi-certifierade. Med detta vill vi verka för ökad inkludering, vilket är en del i bibliotekens demokratiska uppdrag."
2023-09-18T15:12:42+02:00,Kommunhuset flyttar ut,"Under byggtiden av det nya kommunhuskvarteret, som förväntas vara klart 2027, flyttar kommunens verksamheter till tillfälliga lokaler. Kontaktcenter kommer du från den 4 december hitta i Lomma stationshus."
2023-09-17T09:30:00+02:00,Fiske i Havsblicksdammarna 18 och 19 september,"Den 18 och 19 september fiskar vi åter igen karp i Havsblicksdammarna i Lomma. Det gör vi för att minska fiskebeståndet i dammarna, som i sin tur ska leda till en förbättrad vattenkvalitet. I samråd med Länsstyrelsen arbetar vi även långsiktigt för att skapa en bra ekologisk balans i Havsblicksdammarna."
2023-09-16T09:38:06+02:00,Start för Europeiska mobilitetsveckan,Idag startar den Europeiska mobilitetsveckan som pågår mellan den 16 och 22 september varje år. Detta är en vecka där vi uppmärksammar hållbara resor och transporter.
2023-09-15T07:56:48+02:00,Kungen firar 50 år på tronen - hyllas med tillfällig flaggdag,"Regeringen har fattat beslut om en tillfällig, allmän flaggdag fredag 15 september. Detta för att högtidlighålla att H.M. Konungen Carl XVI Gustaf varit Sveriges statschef i 50 år."
2023-09-14T10:24:02+02:00,Senaste nytt från kommunstyrelsen den 13 september,Kommunstyrelsen hade sammanträde den 13 september. Här är en sammanfattning av några av ärendena.  Protokoll från sammanträdet   publiceras inom kort.
2023-09-13T13:44:19+02:00,Hälsovecka på Havsblick,Den 25-29 september är det tema hälsa på Mötesplats Havsblick i Lomma.
2023-09-12T09:47:25+02:00,Idag kommer Farligt Avfall-bilen till dig!,"Sysavs Farligt Avfall-bil kommer till Lomma och Bjärred den 12 september. Kom med dina gamla batterier, mobiler, lampor, lysrör, leksaker, nagellack och färg. Allt detta och mer kan du lämna helt gratis till Farligt Avfall-bilen."
2023-09-12T09:10:23+02:00,Kursstart för ABC-tonår – för dig som är förälder till en tonåring,Har du en ungdom mellan 13 och 18 år? Nu startar höstens föräldrautbildning för dig som vill utveckla ditt föräldraskap. Välkommen att anmäla dig!
2023-09-07T16:03:10+02:00,Förändring i antal förskoleklasser föreslås,"Lomma kommun arbetar ständigt med att planera och organisera verksamheten på bästa sätt. Antalet barn i förskolan har minskat, vilket gör att vi nu behöver se över antalet förskoleklasser och deras placering inför läsåret 2024/2025."
2023-09-06T16:17:41+02:00,Mer långsiktig planering inom hemtjänsten,Nya 12-veckors schema inom hemtjänsten ska ge bättre framförhållning för medarbetare och mer kontinuitet för brukarna.
2023-09-06T16:14:23+02:00,Tågstopp Malmö-Lund 22 september till 8 oktober,"Under perioden 22 september – 1 oktober går det inga tåg mellan Malmö och Lund. För Åkarp och Hjärup blir tågstoppet sex dagar längre, till den 8 oktober. Ersättningsbussar sätts in, men räkna med längre restid och besvärliga dagar."
2023-09-06T15:44:30+02:00,Nya riktlinjer för insatser inom hemtjänst,"Riktlinjerna för insatser i ordinärt boende har uppdaterats. En övre gräns för hur många insatstimmar som kan beviljas har införts för att kunna garantera trygghet, säkerhet och behov av tillsyn."
2023-09-05T16:10:33+02:00,Tillfällig avrådan från bad har tagits bort,"Eftersom VA Syd meddelade att de bräddat ut i Höje å från en pumpstation, har kommunen i veckan avrått från att bada vid Hamnhusen, Lomma norra och Habo ljung i väntan på resultat från provtagning. Nu visar provtagning att vattnet är tjänligt igen."
2023-09-04T13:20:23+02:00,"Avrådan från bad vid Hamnhusen, I-bryggan, Lomma beach och Habo Ljung på grund av bräddning","Under söndagen 3 september gick ett rör sönder i en pumpstation vilket lett till att orenat avloppsvatten gått ut i Höje å. Det bedöms därför finnas en risk för höga halter av bakterier i vattnet vid de badplatser som ligger i nära anslutning till Höje å. Vi avråder därmed från bad vid badplatserna Hamnhusen, I-bryggan, Lomma beach och Habo Ljung."
2023-09-01T08:19:11+02:00,Nu söker vi vänfamiljer,Att vara en vänfamilj innebär att dela sin erfarenhet och att vägleda nyanlända familjer och individer. Genom att engagera sig i deras liv och deras integrationsprocess kan du hjälpa dem att känna sig välkomna i vårt samhälle.
2023-08-31T12:52:55+02:00,Sammanträde med kommunfullmäktige,"Torsdagen den 31 augusti, kl 18.00, sammanträder kommunfullmäktige. På agendan står bland annat val av nämndemän till Lunds Tingsrätt."
2023-08-30T16:19:44+02:00,Ny avrådan från bad vid Hamnhusen (T-bryggan) och I-bryggan,Vid provtagningen den 28 augusti har det uppmätts värden för otjänligt badvatten vid Hamnhusen (T-bryggan) och I-bryggan i Lomma. Vi avråder därför från bad vid badplatserna i väntan på nya provresultat.
2023-08-29T17:00:00+02:00,Berätta om dina resvanor!,I september får invånarna i Skåne chans att påverka trafiken genom en stor resvaneundersökning.
2023-08-29T16:45:35+02:00,Öppenvården erbjuder stöd för bättre mående,Mår du psykiskt dåligt? Påverkar ditt mående din vardag? Öppenvården erbjuder hjälp för att nå ett bättre mående genom gruppsamtal.
2023-08-29T12:56:32+02:00,Välkommen till språkcafé!,Gillar du att träffa nya människor och fika? Följ med på Lomma kommuns språkcafé och samtala med en nyanländ som vill öva det svenska språket.
2023-08-27T10:00:00+02:00,Trygghetscirkeln erbjuder stöd för föräldrar med barn 3-12 år,Hur kan du som förälder uppmärksamma och möta ditt barns behov på ett sätt som leder till trygghet? Genom Trygghetscirkeln får du hjälp att utveckla ditt föräldraskap genom självreflektion. Nu kan du anmäla dig till höstens träffar!
2023-08-24T16:38:05+02:00,Tillfällig avrådan från bad vid Hamnhusen (T-bryggan) har tagits bort,"Vid provtagningen den 21 augusti uppmättes värden för otjänligt badvatten vid Lomma Hamnhusen. Onsdag den 23 augusti togs nya prover och resultatet visade ett värde för tjänligt med anmärkning, vilket innebär att den tillfälliga avrådan nu tagits bort. Dock kvarstår avrådan för hel säsong vid Hamnhusen."
2023-08-24T09:37:17+02:00,Tyck till om din kommun i SCB:s medborgarundersökning!,1200 invånare har nu möjlighet att tycka till om Lomma kommun när Statistiska Central Byråns (SCB) årliga medborgarundersökning drar igång. I år finns det extra frågor om hur du upplever kommunens kommunikation och information om byggprojekt.
2023-08-23T15:33:45+02:00,Ny avrådan från bad vid Hamnhusen,Vid provtagningen den 21 augusti har det uppmätts värden för otjänligt badvatten vid Hamnhusen i Lomma (T-bryggan). Vi avråder därför från bad vid badplatsen i väntan på nya provresultat.
2023-08-23T09:41:35+02:00,Datum klart för Jobbmässan 2023,Den 12 oktober är det dags för Jobbmässan 2023 på Burlövs Center  –   där du som letar jobb har möjlighet att hitta ditt nästa arbete.
2023-08-23T08:51:22+02:00,Chefsförändring på socialförvaltningen,Efter snart ett år som socialchef i Lomma kommun lämnar Ajsela Music sin tjänst efter ett gemensamt beslut av henne och kommundirektör Magnus Ydmark.
2023-08-22T14:30:00+02:00,Cykeldag i Lomma den 9 september,"Om fler väljer att gå, cykla och åka kollektivt i större utsträckning blir det stora vinster – både för oss själva och för miljön! Minskad klimatpåverkan, trevligare tätortsmiljö och bättre hälsa är bara några av alla fördelar."
2023-08-22T09:19:15+02:00,Sommarutflykt för nyanlända,Den 15 augusti genomförde integrationsteamet i Lomma kommun och Svenska kyrkan i Lomma en utflykt till Skånes djurpark. Totalt fick över 90 nyanlända personer möjlighet att följa med.
2023-08-16T14:44:23+02:00,Final för unga entreprenörer,Den 15 augusti var det dags för sommarens ungdomsentreprenörer att summera sin verksamhet och att diplomeras.
2023-08-16T08:00:01+02:00,Stöd för anhöriga  – nya datum,"Hjälper du någon i din närhet som är äldre eller långvarigt sjuk, fysiskt eller psykiskt? Då kan du få hjälp av Anhörigstödet. Höstens datum är nu satta och det är dags att anmäla sig til våra gruppträffar!"
2023-08-15T15:57:08+02:00,Tillfällig avrådan från bad vid Lomma Norra och Hamnhusen har tagits bort,"Vid provtagningen den 10 augusti uppmättes värden för otjänligt badvatten vid Lomma Norra och Hamnhusen. I måndags (14 augusti) togs nya prover och resultatet visade på tjänligt respektive tjänligt med anmärkning, vilket innebär att den tillfälliga avrådan nu tagits bort. Dock kvarstår avrådan för hel säsong vid Hamnhusen."
2023-08-15T08:30:00+02:00,Så kan du hjälpa ditt barn vid en skilsmässa eller separation  – föräldrautbildning,BiFF  –   Barn i Föräldrars Fokus är en utbildning på tre tillfällen i små grupper för föräldrar som ska eller har separerat och som inte kommer överens i frågor som rör gemensamma barn.
2023-08-14T11:25:47+02:00,Dags för Polisens trygghetsmätning,Upplever ni medborgare några problem där ni bor? Känner ni er trygga när ni rör er ute på kvällarna? Bland annat detta kommer polisen tillsammans med kommunerna i polisregion Syd att undersöka i den årliga lokala trygghetsmätningen.
2023-08-11T15:54:20+02:00,Avrådan från bad vid Lomma Norra och Hamnhusen,"Vid provtagning har det uppmätts värden för otjänligt vatten vid Lomma Norra (Lomma beach) och Hamnhusen i Lomma. Vi avråder från att bada, på grund av att bakteriehalten i vattnet är hög."
2023-08-10T10:55:28+02:00,Nytt nummer till Seniorlotsen – en hjälp i kontakten med kommunen,Seniorlotsen är en service som vänder sig till seniorer och närstående i Lomma kommun. Syftet är att vägleda i frågor gällande vård- och omsorg genom att svara på frågor och lotsa vidare till rätt person eller verksamhet.
2023-07-24T14:06:24+02:00,Sommarevenemangen fortsätter,Än kvarstår en hel del av sommaren! Få tips och uppslag om vad du kan hitta på både regniga och soliga dagar i vår evenemangsfolder eller digitala evenemangskalender!
2023-07-19T12:28:45+02:00,Rädda matrester och delta i tävlingen Resterkocken!,I höst kan barn och unga delta i tävlingen Resterkocken som arrangeras av Sysav.
2023-07-14T10:46:16+02:00,Projekt mot fimpar och passiv rökning,"Varje år slängs cirka en miljard fimpar på gator och torg i Sverige, vilket gör fimpen till vårt överlägset vanligaste skräp. Eftersom fimparna oftast slängs på marken åker de lätt ned i dagvattenbrunnar och ut i havet. Ibland används till och med också dagvattenbrunnarna felaktigt som fimpbehållare. Fimparna innehåller plast och gifter, bland annat kadmium som finns i batterier, och riskerar att göra stor skada i naturen under en lång tid. Fimpar står enligt den nationella skräpmätningen 2020 för 62 % av allt skräp."
2023-07-10T10:39:34+02:00,Ungdomar väljer feriearbete inom äldreomsorgen,Varje år erbjuder Lomma kommun feriearbete för ungdomar under sommaren. I år har cirka 100 ungdomar fått ett feriearbete. Vi har pratat med två ungdomar som arbetat inom äldreomsorgen.
2023-07-06T16:26:24+02:00,Det går framåt för våra unga sommarentreprenörer,I Lomma kommun och Kävlinge kommun frodas ungt företagande via entreprenörsprogrammet Sommarliv. Passa på att anlita ungdomarna som driver och utvecklar sin affärsidé under sommaren.
2023-07-06T07:52:34+02:00,Stort intresse för sommarvikariat inom äldreomsorgen,Under vår och försommar har intresset för ett sommarvikariat inom äldreomsorgen varit stort i Lomma kommun. Av över 400 sökande har 104 personer fått anställning i kommunens hemtjänst och på våra särskilda boenden.
2023-07-04T09:45:14+02:00,Eldningsförbud upphört 1 juli,Räddningstjänsten Lomma-Staffanstorp har beslutat att den 1 juli upphäva eldningsförbudet som fattades den 9 juni.
2023-06-30T13:30:00+02:00,Bada säkert i sommar,"Badsäsongen är i full gång! Njut av sommar, sol och bad, men kom ihåg din egen och andras säkerhet."
2023-06-30T10:00:00+02:00,LED-gatubelysning för en ljusare framtid!,"Kommunen arbetar just nu med ett större investeringsprojekt kopplat till energieffektivisering som innebär att vi byter ut en stor del av kommunens gatubelysning till LED-armaturer. Här kan du läsa vad det innebär, varför vi gör det och hur du påverkas av det."
2023-06-29T09:51:54+02:00,Digital bokning och hantering av torgplatser,Lomma kommun har infört en digital bokningstjänst för torghandel på Hamntorget och Centrumtorget i Lomma. Nu kan du som vill boka en torgplats enkelt boka den plats du vill ha och betala din bokning direkt i tjänsten.
2023-06-28T16:28:19+02:00,T-bryggans badvattenkvalitet,Att Hamnhusen (T-bryggan) klassas som en badplats med dålig badvattenkvalitet innebär att vi måste avråda från bad under hela sommaren. Det råder dock inte badförbud.
2023-06-28T15:15:49+02:00,Årets betyg visar framsteg för niorna,Nu när läsåret 2022/2023 är över finns det tid att reflektera över betygen för eleverna i årskurs 9. Jämfört med resultaten från vårterminen 2022 syns tydliga förbättringar för årets nior.
2023-06-28T14:22:02+02:00,Hur regleras egentligen höjder i en detaljplan?,Höjder i en detaljplan kan regleras på olika sätt och av olika anledningar. Men hur går det egentligen till? Och vad innebär de olika höjdtyperna? Planchef Roger Jönsson hjälper oss att reda ut begreppen och förklarar.
2023-06-27T07:36:04+02:00,Tack för kreativa idéer under Lommafesten!,På Lommafesten fick ni som besökte Lomma kommuns tält en chans att vara med och påverka. Vi frågade efter kreativa idéer som kan växa till hållbara lösningar och fick in 22 stycken svar. Några av dessa idéer arbetar vi redan med medan andra kan vara aktuella framöver.
2023-06-26T09:17:09+02:00,Emil i Lönneberga – 60 år av hyss!,För 60 år sedan gavs den första boken om Emil i Lönneberga ut. Det uppmärksammas på våra bibliotek i Bjärred och Lomma under sommaren med start den 26 juni.
2023-06-22T14:23:34+02:00,Ny befolkningsprognos och kommunfakta 2023,En ny befolkningsprognos har tagits fram. Den spår att befolkningen i kommunen kommer att växa från 24 721 till 28 944 invånare år 2032. Prognosen gäller nu som underlag för kommunens budgetarbete och påverkar planeringen av våra verksamheter inom flera områden.
2023-06-22T13:06:38+02:00,Nytt digitalt kösystem för kolonilotter,Lomma kommun inför nu ett nytt digitalt kösystem för kolonilotterna vid Närdala koloniområde. Du som redan står i kö behåller din köplats men hanterar den framöver via det digitala kösystemet.
2023-06-22T11:21:36+02:00,Senaste nytt från kommunstyrelsen den 21 juni,Kommunstyrelsen hade sammanträde den 21 juni. Här kommer en sammanfattning av några av ärendena.  Protokoll från sammanträdet   publiceras inom kort.
2023-06-21T14:00:00+02:00,Grupp för bättre mående,Mår du psykiskt dåligt? Påverkar ditt mående din vardag? Öppenvården erbjuder hjälp för att nå ett bättre mående.
2023-06-21T13:59:43+02:00,Säker i sommar!,"Sommar innebär för många en efterlängtad ledighet med möjlighet att hitta på många roliga saker. Oavsett vad du gör, önskar vi dig en trygg och säker sommar! Många olyckor går att förebygga, så för att slippa onödiga tråkigheter, tänk en extra gång på din säkerhet."
2023-06-18T09:00:00+02:00,Tänk på säkerheten kring din pool,Sommaren är här och badsäsongen har inletts. Antalet pooler i Lomma kommun har ökat och det är viktigt att tänka på säkerheten runt poolen för att förhindra olyckor.
2023-06-18T08:00:00+02:00,Bli en Minimeringsmästare med Sysav!,"Så klart att du är! Ta chansen att få kunskap om hur du minskar ditt klimatavtryck samtidigt som du minskar onödiga utgifter och stress. Var med i utmaningen Minimeringsmästarna. Ett roligt sätt, att bli den där miljöhjälten på riktigt."
2023-06-15T11:34:49+02:00,Ändrat datum för Prova på gåfotboll!,"Tidigare utannonserat datum för att ""Prova på gåfotboll för seniorer"" ändras från söndagen den 18 juni till söndagen den 24 september. Arrangemanget ordnas i samarbete med föreningen GIF Nike."
2023-06-15T10:32:06+02:00,Politiker besökte Lommas särskilda boenden,"Varma färger, provsmakning av mat och trädgårdsfika mötte de intresserade och nyfikna gästerna när förvaltningschef Ajsela Music bjöd med kommunstyrelsens ordförande Robert Wenglén och oppositionsråd Per Bengtsson till Lommas särskilda boenden."
2023-06-15T08:00:00+02:00,Spara på vattnet i sommar,"Vatten är viktigt för liv, hälsa och välbefinnande. Därför är det viktigt att vi använder det på smart och hållbart sätt."
2023-06-14T13:40:40+02:00,"Arkeologisk undersökning, Bjärreds vångar etapp II","Norr om Fjelievägen, på delar av marken som utgör etapp II av Bjärreds vångar (se karta), utförs en arkeologisk undersökning mellan den 14 och 19 juni. Undersökningen utförs av Arkeologerna (Statens Historiska Museer) på uppdrag av Lomma kommun."
2023-06-13T14:16:55+02:00,Misstänkt fall av badklåda vid Långa bryggan i Bjärred,Miljöenheten har fått information om ett misstänkt fall av badklåda under vecka 23 vid Långa bryggan i Bjärred. Badklåda är inte anmälningspliktigt enligt smittskyddslagen och några särskilda smittskyddsåtgärder är inte motiverade. Dock rekommenderar Folkhälsomyndigheten och Havs- och vattenmyndigheten att informera allmänheten vid misstänkta fall av badklåda.
2023-06-12T14:35:53+02:00,Trygghetsskapade aktiviteter,"I sommar kommer Centralens fritidsgård att flytta in i en sommarcontainer i parken vid Amfiteatern i Lomma. Syftet är att skapa en trygg mötesplats för barn, ungdomar och vuxna. Även beachhandboll och andra aktiviteter planeras under sommaren."
2023-06-09T13:39:55+02:00,Ungdomsbiljett för gymnasieelever,"Är du mellan 16 och 19 år och går på gymnasiet får du en ungdomsbiljett om du är skriven i Lomma kommun. Ungdomsbiljetten gäller för fritt resande i hela Skåne, dygnet runt, alla veckodagar och under hela kalenderåret."
2023-06-07T11:58:19+02:00,Sommarlovsaktiviteter 2023,I sommar kan lediga barn delta i olika aktiviteter som ordnas av kommunen och olika föreningar.
2023-06-07T08:10:12+02:00,Först till kvarn-princip vid lokalbokning,Tänk på att vara ute i god tid för bokning av idrottshall eller gymnastiksal till hösten.
2023-06-05T09:22:56+02:00,Arbete över gränser ger goda resultat,Arbetsmarknadsenheten har trots lågkonjunktur fått ut flera individer i arbete genom att samverka över förvaltningsgränserna i flexibla team.
2023-06-02T13:03:31+02:00,Beslut om fler valdistrikt,Kommunfullmäktige hade sammanträde den 1 juni. Då togs bland annat beslut om att öka antalet valdistrikt i kommunen från 12 till 16.  Protokoll från mötet   publiceras inom kort.
2023-06-02T08:30:00+02:00,Gör skillnad för ett barn – bli familjehem,Har ni tid och engagemang för att i ert hem ta emot ett barn som behöver stöd för en kortare eller längre tid? Då kan ni bli familjehem.
2023-06-01T11:13:50+02:00,Bad- och strandrullstol – var finns det och hur går det till?,Kommunens bad- och strandrullstolar är på plats inför stundande badsäsong. Badrullstol finns att använda tillsammans med badhissen vid I-bryggan i Lomma. Vid Långa bryggan i Bjärred och Lomma beach finns strandrullstolar anpassade för att rulla på sand.
2023-06-01T10:19:32+02:00,Långa bryggan i Bjärred får utmärkelsen Blå Flagg,Långa bryggan i Bjärred har återigen blivit utsedd till en av landets bästa badplatser.
2023-05-31T13:33:21+02:00,Avgiftsbelagd parkering på flera platser från och med 1 juni,Från den 1 juni till 31 augusti är flera parkeringar kommunen avgiftsbelagda. Nedan hittar du information om vilka platser det gäller och vad det kostar.
2023-05-30T09:59:45+02:00,Nu invigs Cykelleden Skåne – upplev Skåne från cykelsadeln!,"Cykelleden Skåne invigs den 3 juni, och en av dellederna går från Lomma till Kristianstad. Vi uppmärksammar detta genom att vara på plats vid start/målpunkten för Cykelleden Skåne – vid Ovalen/Hamntorget i Lomma kl. 11:00 – 14:00 med inspiration och information om Cykelleden."
2023-05-30T08:30:22+02:00,Bokpicknick sätter fokus på läsning för barn,"Måndagen den 29 maj ordnades ”Bokpicknick” för barn, föräldrar och pedagoger på Pilängens förskola i Lomma. Bokpicknicken är ett samarbete mellan förskola och bibliotek med syftet att inspirera till och sätta fokus på bokläsningen för våra barn."
2023-05-29T16:32:54+02:00,Många besökare på Lommafesten,Helgen den 26-27 maj fylldes Lommas gator av sommarglada besökare och Lommabor när det åter var dags för Lommafesten.
2023-05-29T09:00:35+02:00,Förändringar i grundskolans organisation,Anpassningar till budgetläge 2023 och framåt har inneburit ett arbete med att ändra grundskolans ledningsorganisation. Nu är den nya organisationen inför höstterminen 2023 klar.
2023-05-26T13:43:43+02:00,Lomma kommun 60 år,I år är det 60 år sedan Flädie Storkommun och Lomma Köping gick samman och bildade det vi idag känner som Lomma kommun.
2023-05-26T07:12:51+02:00,Senaste nytt från kommunstyrelsen den 24 maj,Kommunstyrelsen hade sammanträde den 24 maj. Ett av ärendena handlade om att utöka valdistrikten i kommunen från 12 till 16. Här kommer en sammanfattning av det ärendet. Protokoll från sammanträdet  publiceras inom kort  .
2023-05-17T16:43:32+02:00,Stort grattis Årets företagare i Lomma kommun!,Magnus Lindgren på New Seed It Solutions AB är Årets företagare i Lomma kommun. Det står klart sedan det lokala näringslivet hyllats på Flädie Mat & Vingård den 17 maj. Samtidigt utsågs Linda Sjöholm till Årets Nyföretagare och Pontus Larsson till Årets Unga Företagare.
2023-05-17T15:00:00+02:00,Pedagogisk omsorg i kommunal regi upphör,Efter beslut i barn- och utbildningsnämnden kommer pedagogisk omsorg att upphöra i kommunal regi från och med augusti -23.
2023-05-09T08:53:31+02:00,Höga hastigheter och vårdslös körning orsak till oro,"En nyligen genomförd enkät visar att många uppfattar busåkning med mopeder som ett problem. Fortsatt dialog med ungdomar, kontroller och hög föräldrakontakt är några insatser som planeras."
2023-05-04T15:15:18+02:00,Kretsloppspriset till Karstorpskolan Norra,Karstorpsskolan Norras skolkök har tilldelats Sysavs kretsloppspris. Skolköket får priset för att på ett lyckat sätt ha engagerat hela skolan för att minska matsvinnet. Torsdagen den 4 maj fick de ta emot ett diplom och en check med prissumman 10 000 kronor.
2023-05-04T12:27:56+02:00,Demensföreningen Lomma-Bjärred firar 30 år,Onsdag den 31 maj firar Demensföreningen Lomma-Bjärred 30 år. Välkommen på jubileum!
2023-05-03T14:37:24+02:00,Kontroll i Lomma kommun ska säkerställa att barn inte skadas av kemiska produkter,För att förhindra att barn skadas av exempelvis frätande produkter och produkter som kan ge kemisk lunginflammation ska den typen av produkter ha barnskyddande förslutning. Miljöenheten i Lomma kommun kommer därför i samarbete med Kemikalieinspektionen att under våren 2023 kontrollera att lokala butiker följer detta krav.
2023-05-03T13:55:30+02:00,Förbud mot att köra vattenskoter,Att köra vattenskoter är endast tillåtet på allmänna farleder och i områden som särskilt pekats ut av Länsstyrelsen. I Lomma kommun finns varken allmän farled eller sådana utpekade områden. Att köra vattenskoter är därför inte tillåtet i kommunen.
2023-04-27T16:18:41+02:00,Senaste nytt från kommunstyrelsen den 26 april,Kommunstyrelsen hade sammanträde den 26 april. Här är en sammanfattning av några av ärendena.  Protokoll från mötet publiceras inom kort  .
2023-04-27T14:32:46+02:00,Kontaktcenter ändrar sina öppettider,Från och med 1 maj 2023 kommer Kontaktcenter att ändra öppettiderna i kommunhuset. Ändringen görs för att öka tillgängligheten under tider då behovet är som störst. Även byggenheten ändrar sina telefontider och tider för bokade besök.
2023-04-24T13:24:05+02:00,Premiär för KAN Filmfestival i Lomma,"Den 11 maj är det dags för första upplagan av KAN Filmfestival, i Kulturboxen i Lomma. Festivalen innehåller kortfilmer, långfilmer och dokumentärer skapade av personer inom daglig verksamhet och mötesplatser."
2023-04-21T13:42:27+02:00,Lomma kommuns årsredovisning klar,Årsredovisningen för 2022 är nu tagen av kommunfulllmäktige. Nedan följer en kort sammanfattning av året som det beskrivs i årsredovisningen.
2023-04-21T11:27:59+02:00,För utförare av personlig assistans,Socialnämnden i Lomma kommun bjuder in företag att ansöka om att delta i valfrihetssystemet för utförande av personlig assistans för de kunder som inte vill eller kan välja en utförare på marknaden.
2023-04-20T16:08:20+02:00,Höje å vattenråd får Region Skånes hederspris 2023,Region Skånes hederspris i miljö 2023 tilldelas Höje å vattenråd. Priset delas ut till de som inom ramen för sin tjänst varit pådrivande och visat prov på förtjänstfulla insatser inom miljöområdet.
2023-04-19T14:07:14+02:00,Studie ger kunskaper inför utformning av gymnasieskolan,Under 2023 tar vi reda på vad som påverkar elevers val av gymnasieskola och vad som är god kvalitet i gymnasieskolan. Det vi lär oss kommer att påverka utformning och innehåll av den nya gymnasieskolan i Lomma kommun.
2023-04-19T08:00:00+02:00,Nattvandra som förening!,Föreningar i Lomma kommun kan nu hjälpa till att nattvandra i Lomma. Det är en möjlighet att få in extra pengar till föreningen och samtidigt bidra till ett tryggare samhälle.
2023-04-14T11:34:27+02:00,Ny satsning på aktiviteter inom särskilda boenden,I ett samarbete med dagverksamheten startar nu en satsning med aktiviteter på särskilda boenden.
2023-04-14T09:00:00+02:00,Öppenvården erbjuder nya samtalsgrupper,Mår du psykiskt dåligt? Påverkar ditt mående din vardag? Öppenvården erbjuder hjälp för att nå ett bättre mående.
2023-04-11T09:55:46+02:00,Invigning av ny idrottshall i Borgeby,"Söndagen den 16 april inviger vi Rutsborgshallen 2 i Borgeby. Här har vi byggt en ny fullskalig idrottshall i måttet 20 x 40 meter med solceller på taket, intill den ordinarie Rutsborgshallen."
2023-04-04T12:32:37+02:00,Inspireras till en hållbar trädgård i digital miljö,Miljö- och byggnadsnämnden i Lomma kommun har i samarbete med testbädden Grobruket i Alnarp arbetat med projektet ”Hållbar trädgård och utemiljö i Lomma kommun”. Projektet har resulterat i en digital trädgård som samlar tips för att göra din trädgård mer hållbar. Detta sker i en virtuell 3D-miljö för att ge informationen ett tydligt sammanhang för var den ska komma till användning – i den egna trädgården.
2023-03-30T14:00:00+02:00,Avgift vid hämtning av hjälpmedel,Från och med den 1 maj 2023 införs det en avgift för hämtning av hjälpmedel i Lomma kommun.
2023-03-30T12:29:41+02:00,Årets sjöräddare kommer från Lomma,Sjöräddningssällskapet har utsett fyra frivilliga sjöräddare från räddningsstation Lomma till Årets Sjöräddare.
