"Folkmängden per region efter region, ålder, kön och år"

"region","ålder","kön","2022"
"Huddinge (Snättringe)","totalt","totalt",9174
"Huddinge (Stuvsta)","totalt","totalt",8268
"Huddinge (Trångsund)","totalt","totalt",5683
"Huddinge (Trångsund centrala)","totalt","totalt",3712
"Huddinge (Vårby gård)","totalt","totalt",6799
"Huddinge (Vårby Haga-Masmo)","totalt","totalt",2768
"Huddinge (Vårby Udde-Duvberget)","totalt","totalt",970
"Botkyrka (Albyberget)","totalt","totalt",5489
"Botkyrka (Albydalen)","totalt","totalt",8726
"Botkyrka (Brantbrink-Tullingeskog-Rörmossen)","totalt","totalt",4762
"Botkyrka (Eriksberg-Sturehov)","totalt","totalt",3838
"Botkyrka (Fittja)","totalt","totalt",7675
"Botkyrka (Grödinge)","totalt","totalt",2088
"Botkyrka (Hallunda)","totalt","totalt",6107
"Botkyrka (Kassmyra-Skäcklinge)","totalt","totalt",4481
"Botkyrka (Lanthem-Tullinge centrum-Tullingeberg)","totalt","totalt",6110
"Botkyrka (Norsborg)","totalt","totalt",6397
"Botkyrka (Riksten)","totalt","totalt",3147
"Botkyrka (Slagsta)","totalt","totalt",4401
"Botkyrka (Storvreten)","totalt","totalt",7043
"Botkyrka (Tullinge parkhem)","totalt","totalt",3120
"Botkyrka (Tullinge villastad)","totalt","totalt",3236
"Botkyrka (Tumba centrum-Segersjö-Sandstugan)","totalt","totalt",5360
"Botkyrka (Tuna )","totalt","totalt",1888
"Botkyrka (Uttran-Broäng)","totalt","totalt",3409
"Botkyrka (Vretarna-Hamra)","totalt","totalt",5473
"Botkyrka (Vårsta)","totalt","totalt",2633
"Salem (Rönninge)","totalt","totalt",6707
"Salem (Salem västra)","totalt","totalt",2005
"Salem (Salem östra)","totalt","totalt",4463
"Salem (Salems centrum)","totalt","totalt",4177
"Haninge (Brandbergen centrala)","totalt","totalt",4702
"Haninge (Brandbergen norra)","totalt","totalt",2030
"Haninge (Brandbergen södra)","totalt","totalt",5907
"Haninge (Dalarö)","totalt","totalt",1914
"Haninge (Gudö)","totalt","totalt",3643
"Haninge (Handen centrala)","totalt","totalt",2892
"Haninge (Handen södra)","totalt","totalt",5527
"Haninge (Handen västra)","totalt","totalt",6462
"Haninge (Haninge skärgård-glesbygd)","totalt","totalt",3476
"Haninge (Jordbro centrala)","totalt","totalt",4254
"Haninge (Jordbro norra)","totalt","totalt",2662
"Haninge (Jordbro Södra)","totalt","totalt",4833
"Haninge (Muskö)","totalt","totalt",747
"Haninge (Norrby-Vendelsö Gård)","totalt","totalt",2928
"Haninge (Söderby)","totalt","totalt",1935
"Haninge (Tungelsta centrala)","totalt","totalt",3107
"Haninge (Tungelsta norra)","totalt","totalt",3812
"Haninge (Vega centrala-Handen norra)","totalt","totalt",3838
"Haninge (Vega norra)","totalt","totalt",2375
"Haninge (Vega västra)","totalt","totalt",5312
"Haninge (Vendelsö västra)","totalt","totalt",1849
"Haninge (Vendelsö östra)","totalt","totalt",2154
"Haninge (Vendelsömalm västra)","totalt","totalt",3726
"Haninge (Vendelsömalm östra)","totalt","totalt",3105
"Haninge (Västerhaninge centrala)","totalt","totalt",2915
"Haninge (Västerhaninge norra)","totalt","totalt",4503
"Haninge (Västerhaninge västra)","totalt","totalt",2447
"Haninge (Västerhaninge östra)","totalt","totalt",4628
"Tyresö (Fornudden-Drevviken)","totalt","totalt",3886
"Tyresö (Fårdala)","totalt","totalt",1719
"Tyresö (Granängsringen-Nyboda)","totalt","totalt",4487
"Tyresö (Hanviken-Skälsätra)","totalt","totalt",6453
"Tyresö (Krusboda)","totalt","totalt",3630
"Tyresö (Lindalen)","totalt","totalt",3084
"Tyresö (Raksta-Brevik)","totalt","totalt",4150
"Tyresö (Sikvägen)","totalt","totalt",1958
"Tyresö (Tyresö centrum)","totalt","totalt",6250
"Tyresö (Tyresö Strand)","totalt","totalt",4116
"Tyresö (Västra Farmarstigen)","totalt","totalt",2263
"Tyresö (Västra Trollbäcken)","totalt","totalt",1863
"Tyresö (Öringe-Kolardammarna)","totalt","totalt",3073
"Tyresö (Östra Farmarstigen)","totalt","totalt",2282
"Upplands-Bro (Brunna)","totalt","totalt",4020
"Upplands-Bro (Centrala Bro)","totalt","totalt",4769
"Upplands-Bro (Centrala Kungsängen)","totalt","totalt",5129
"Upplands-Bro (Lillsjön-Sylta-Ålsta)","totalt","totalt",2496
"Upplands-Bro (Norra Bro)","totalt","totalt",1172
"Upplands-Bro (Norrboda-Tibble)","totalt","totalt",5254
"Upplands-Bro (Rosenängarna-Österhagen)","totalt","totalt",1706
"Upplands-Bro (Södra Bro-Önsta)","totalt","totalt",2296
"Upplands-Bro (Upplands-Bro norra omland)","totalt","totalt",1741
"Upplands-Bro (Upplands-Bro södra omland)","totalt","totalt",3270
"Nykvarn (Nykvarn)","totalt","totalt",8593
"Nykvarn (Taxinge)","totalt","totalt",1783
"Nykvarn (Turinge)","totalt","totalt",1288
