"Folkmängden per region efter region, ålder, kön och år"

"region","ålder","kön","2022"
"Norrköping (Skärblacka-Vånga-Landsbygd)","totalt","totalt",5689
"Norrköping (Smedby-Brånnestad)","totalt","totalt",3549
"Norrköping (Strömbacken-Berget-Södertull)","totalt","totalt",4840
"Norrköping (Svärtinge-Loddby-Landsbygd)","totalt","totalt",5549
"Norrköping (Sydvästra Hageby)","totalt","totalt",2933
"Norrköping (Sydöstra Marielund)","totalt","totalt",2483
"Norrköping (Sydöstra Nordantill)","totalt","totalt",3834
"Norrköping (Sydöstra Vilbergen-Björkalund)","totalt","totalt",2196
"Norrköping (Såpkullen-Söderstaden-Vasaparken)","totalt","totalt",5791
"Norrköping (Södra Ektorp)","totalt","totalt",1861
"Norrköping (Västra Klockaretorpet)","totalt","totalt",4007
"Norrköping (Åby-Jursla-Landsbygd)","totalt","totalt",7153
"Norrköping (Östra Haga)","totalt","totalt",3630
"Norrköping (Östra Vikbolandet)","totalt","totalt",5518
"Söderköping (Alboga-Bossgård)","totalt","totalt",3503
"Söderköping (Drothem)","totalt","totalt",1164
"Söderköping (Mogata-Sankt Anna)","totalt","totalt",2246
"Söderköping (Skönberga)","totalt","totalt",1331
"Söderköping (Söderköpings centrum)","totalt","totalt",1803
"Söderköping (Söderköpings omland-Östra Ryd)","totalt","totalt",3504
"Söderköping (Västra Husby-Luddingsbo)","totalt","totalt",1283
"Motala (Borensberg)","totalt","totalt",3116
"Motala (Charlottenborg-Ekenäs-Grankulla)","totalt","totalt",2582
"Motala (Ekön-Torvmossen)","totalt","totalt",2777
"Motala (Fornåsa-Österstad-Klockrike)","totalt","totalt",3308
"Motala (Fågelsta-Södra Freberga)","totalt","totalt",1465
"Motala (Gamla stan)","totalt","totalt",3964
"Motala (Motala tätort-övrigt)","totalt","totalt",19776
"Motala (Nykyrka-Tjällmo-Godegård)","totalt","totalt",4265
"Motala (Väster-Södra Varamon-Gustavsvik)","totalt","totalt",2475
"Vadstena (Centrala Vadstena-Kvissberg)","totalt","totalt",1423
"Vadstena (Tycklinge)","totalt","totalt",1159
"Vadstena (Vadstena Innerstaden)","totalt","totalt",1267
"Vadstena (Vadstena landsbygd)","totalt","totalt",1624
"Vadstena (Vadstena söder)","totalt","totalt",2008
"Mjölby (Eldslösa)","totalt","totalt",1908
"Mjölby (Mantorp tätort)","totalt","totalt",3436
"Mjölby (Mjölby omnejd-Skänninge omnejd)","totalt","totalt",1589
"Mjölby (Mjölby östra)","totalt","totalt",1302
"Mjölby (Ryttarhagen-Högby)","totalt","totalt",1344
"Mjölby (Skeppsås-Normlösa-Öjebro)","totalt","totalt",1328
"Mjölby (Skänninge tätort)","totalt","totalt",3447
"Mjölby (Slomarp-Egeby)","totalt","totalt",2040
"Mjölby (Svartå strand-Centrum-Albacken)","totalt","totalt",1930
"Mjölby (Sya-Spångsholm-Veta)","totalt","totalt",1526
"Mjölby (Sörby-Östra Lundby-Centrum)","totalt","totalt",1714
"Mjölby (Tunet-Hagaparken)","totalt","totalt",1472
"Mjölby (Vasa)","totalt","totalt",1260
"Mjölby (Väderstad-Väderstad omnejd)","totalt","totalt",1544
"Mjölby (Västra Harg-Östra Tollstad)","totalt","totalt",1217
"Mjölby (Västra Lundby)","totalt","totalt",1414
"Aneby (Aneby nordvästra)","totalt","totalt",1374
"Aneby (Aneby västra omland)","totalt","totalt",1696
"Aneby (Aneby östra)","totalt","totalt",2311
"Aneby (Aneby östra omland)","totalt","totalt",1443
"Gnosjö (Gnosjö landsbygd)","totalt","totalt",2922
"Gnosjö (Gnosjö tätort)","totalt","totalt",4514
"Gnosjö (Hillerstorp tätort)","totalt","totalt",2002
"Mullsjö (Mullsjö tätort nordvästra)","totalt","totalt",1868
"Mullsjö (Mullsjö tätort nordöstra)","totalt","totalt",2103
"Mullsjö (Mullsjö tätort södra)","totalt","totalt",1919
"Mullsjö (Sandhem-Bjurbäck-Utvängstorp)","totalt","totalt",1642
"Habo (Bränninge)","totalt","totalt",2550
"Habo (Habo norra)","totalt","totalt",1885
"Habo (Habo södra)","totalt","totalt",1925
"Habo (Kyrkeryd-Kråkeryd)","totalt","totalt",1502
"Habo (Kärnekulla-Sjogarp)","totalt","totalt",1390
"Habo (Kärr)","totalt","totalt",1798
"Habo (Mölekullen-Centrum)","totalt","totalt",2078
"Gislaved (Anderstorp nordsydväst)","totalt","totalt",3449
"Gislaved (Anderstorp östra)","totalt","totalt",1625
"Gislaved (Broaryd-Gislaved omland)","totalt","totalt",2882
"Gislaved (Burseryd)","totalt","totalt",942
"Gislaved (Gislaved nordväst)","totalt","totalt",1916
"Gislaved (Gislaved norra)","totalt","totalt",1780
"Gislaved (Gislaved södra)","totalt","totalt",3528
"Gislaved (Gislaved östra)","totalt","totalt",3113
"Gislaved (Hestra)","totalt","totalt",1379
"Gislaved (Reftele)","totalt","totalt",1346
"Gislaved (Smålandsstenar västra)","totalt","totalt",3518
"Gislaved (Smålandsstenar östra)","totalt","totalt",1097
"Gislaved (Smålandsstenar-Reftele omland)","totalt","totalt",2906
"Vaggeryd (Bondstorp-Byarum omland)","totalt","totalt",1451
"Vaggeryd (Hok-Svenarum omland)","totalt","totalt",1453
"Vaggeryd (Skillingaryd västra)","totalt","totalt",1959
"Vaggeryd (Skillingaryd östra)","totalt","totalt",2367
"Vaggeryd (Vaggeryd norra)","totalt","totalt",2126
"Vaggeryd (Vaggeryd västra)","totalt","totalt",1520
"Vaggeryd (Vaggeryd östra)","totalt","totalt",2186
"Vaggeryd (Åker-Tofteryd omland)","totalt","totalt",1792
"Jönköping (Bankeryd)","totalt","totalt",6812
"Jönköping (Barnarp)","totalt","totalt",3037
"Jönköping (Barnarps-Tenhults landsbygder)","totalt","totalt",3173
"Jönköping (Bymarken)","totalt","totalt",4023
"Jönköping (Bäckalyckan-Västra Torpa)","totalt","totalt",3416
"Jönköping (Egna Hem-Stensholm)","totalt","totalt",5021
"Jönköping (Ekhagen)","totalt","totalt",6449
"Jönköping (Gråbo-Tormenås)","totalt","totalt",3587
"Jönköping (Gränna)","totalt","totalt",2748
"Jönköping (Gräshagen-Tokarp)","totalt","totalt",3491
"Jönköping (Hisingstorp-Dalvik-Skänkeberg)","totalt","totalt",4881
"Jönköping (Hovslätt)","totalt","totalt",4380
"Jönköping (Huskvarna centrum)","totalt","totalt",4001
"Jönköping (Huskvarna söder)","totalt","totalt",3739
"Jönköping (Järstorp-Bottnaryd-Norra Unnaryd)","totalt","totalt",4331
"Jönköping (Jönköping centrum Väster)","totalt","totalt",4175
"Jönköping (Jönköping centrum Öster)","totalt","totalt",6976
"Jönköping (Kaxholmen)","totalt","totalt",2250
"Jönköping (Liljeholmen-Västra Rosenlund)","totalt","totalt",4946
"Jönköping (Ljungarum)","totalt","totalt",2131
"Jönköping (Norrahammar)","totalt","totalt",5042
"Jönköping (Norrängen)","totalt","totalt",2118
"Jönköping (Rosenlund-Vättersnäs)","totalt","totalt",2960
"Jönköping (Råslätt)","totalt","totalt",6482
"Jönköping (Samset-Mariebo)","totalt","totalt",3358
"Jönköping (Skärstad-Lekeryd)","totalt","totalt",5057
"Jönköping (Söder-Munksjöstaden)","totalt","totalt",8130
"Jönköping (Södra Munksjön-Kättilstorp)","totalt","totalt",2153
"Jönköping (Taberg-Månsarp)","totalt","totalt",4820
"Jönköping (Tenhult)","totalt","totalt",3141
"Jönköping (Trånghalla-Kortebo)","totalt","totalt",4965
"Jönköping (Visingsö-Örserum-Ölmstad)","totalt","totalt",3846
"Jönköping (Österängen)","totalt","totalt",3770
"Jönköping (Öxnehaga)","totalt","totalt",3365
"Jönköping (Öxnehaga centrum)","totalt","totalt",2340
"Nässjö (Bodafors)","totalt","totalt",2021
"Nässjö (Forserum)","totalt","totalt",2235
"Nässjö (Handskeryd)","totalt","totalt",3510
"Nässjö (Ingsberg-Nyhem-Hultet)","totalt","totalt",4530
"Nässjö (Malmbäck)","totalt","totalt",1109
"Nässjö (Norrboda-Västra Runneryd)","totalt","totalt",2380
"Nässjö (Nässjö centrum)","totalt","totalt",2247
"Nässjö (Nässjö norra landsbygd)","totalt","totalt",2941
"Nässjö (Nässjö södra landsbygd)","totalt","totalt",2641
"Nässjö (Nässjö västra landsbygd)","totalt","totalt",2158
"Nässjö (Södra Åker-Åkershäll-Södergården)","totalt","totalt",1607
"Nässjö (Åker-Målen)","totalt","totalt",2347
"Nässjö (Östra Runneryd)","totalt","totalt",2218
"Värnamo (Bor)","totalt","totalt",1339
"Värnamo (Bredaryd)","totalt","totalt",1537
"Värnamo (Centrum-Apladalen)","totalt","totalt",5692
"Värnamo (Forsheda)","totalt","totalt",1478
"Värnamo (Gröndal-Norregård)","totalt","totalt",5174
"Värnamo (Mossle)","totalt","totalt",1331
"Värnamo (Nylund-Duvelund)","totalt","totalt",3444
"Värnamo (Rydaholm)","totalt","totalt",1639
"Värnamo (Trälleborg)","totalt","totalt",1713
"Värnamo (Vråen-Rörstorp)","totalt","totalt",3007
"Värnamo (Värnamo sydöstra)","totalt","totalt",1260
"Värnamo (Värnamo västra)","totalt","totalt",3584
"Värnamo (Värnamo östra)","totalt","totalt",3494
"Sävsjö (Stockaryd)","totalt","totalt",1064
"Sävsjö (Sävsjö nordöst)","totalt","totalt",2579
"Sävsjö (Sävsjö norra omland)","totalt","totalt",1606
"Sävsjö (Sävsjö sydöst)","totalt","totalt",1412
"Sävsjö (Sävsjö södra omland)","totalt","totalt",1880
"Sävsjö (Sävsjö väst)","totalt","totalt",1686
"Sävsjö (Vrigstad)","totalt","totalt",1544
"Vetlanda (Ekenässjön)","totalt","totalt",3626
"Vetlanda (Holsby-Kvillsfors)","totalt","totalt",3489
"Vetlanda (Korsberga-Nye)","totalt","totalt",2560
"Vetlanda (Landsbro-Myresö)","totalt","totalt",3951
"Vetlanda (Vetlanda-Brunnsgård)","totalt","totalt",2028
"Vetlanda (Vetlanda-Bäckseda)","totalt","totalt",2745
"Vetlanda (Vetlanda-Centrum)","totalt","totalt",1780
"Vetlanda (Vetlanda-Karslund)","totalt","totalt",1669
"Vetlanda (Vetlanda-Mellangården)","totalt","totalt",2337
"Vetlanda (Vetlanda-Tomaslunden)","totalt","totalt",1929
"Vetlanda (Vetlanda-Upplanda)","totalt","totalt",1559
"Eksjö (Eksjö norra)","totalt","totalt",3893
"Eksjö (Eksjö södra)","totalt","totalt",3303
"Eksjö (Eksjö västra)","totalt","totalt",2052
"Eksjö (Eksjö västra landsbygd)","totalt","totalt",3137
"Eksjö (Eksjö östra)","totalt","totalt",1938
"Eksjö (Eksjö östra landsbygd)","totalt","totalt",2004
"Eksjö (Mariannelund)","totalt","totalt",1531
"Tranås (Tranås centrum)","totalt","totalt",5982
"Tranås (Tranås västra landsbygd)","totalt","totalt",1162
"Tranås (Tranås östra landsbygd)","totalt","totalt",2615
"Tranås (Tranås-väster)","totalt","totalt",3406
"Tranås (Tranås-öster)","totalt","totalt",5639
"Uppvidinge (Klavreström-Norrhult)","totalt","totalt",1226
"Uppvidinge (Lenhovda)","totalt","totalt",1766
"Uppvidinge (Uppvidinge omland)","totalt","totalt",3615
"Uppvidinge (Åseda)","totalt","totalt",2811
"Lessebo (Hovmantorp)","totalt","totalt",3246
"Lessebo (Kosta)","totalt","totalt",903
"Lessebo (Lessebo centralort)","totalt","totalt",2958
"Lessebo (Lessebo omland)","totalt","totalt",1378
"Tingsryd (Konga)","totalt","totalt",1079
"Tingsryd (Linneryd-Älmeboda)","totalt","totalt",1934
"Tingsryd (Ryds glesbygd)","totalt","totalt",711
"Tingsryd (Ryds tätort)","totalt","totalt",1450
"Tingsryd (Tingryds glesbygd-Väckelsång)","totalt","totalt",2131
"Tingsryd (Tingsryds tätort)","totalt","totalt",3152
"Tingsryd (Urshult)","totalt","totalt",1840
"Alvesta (Alvesta centrum)","totalt","totalt",1966
"Alvesta (Alvesta nordost)","totalt","totalt",1642
"Alvesta (Alvesta sydost)","totalt","totalt",1835
"Alvesta (Alvesta södra)","totalt","totalt",1893
"Alvesta (Alvesta västra)","totalt","totalt",2014
"Alvesta (Blädinge)","totalt","totalt",1308
"Alvesta (Grimslöv)","totalt","totalt",1546
"Alvesta (Hjortsberga)","totalt","totalt",1501
"Alvesta (Moheda-Torpsbruk)","totalt","totalt",2304
"Alvesta (Slätthög)","totalt","totalt",1259
"Alvesta (Vislanda)","totalt","totalt",1897
"Alvesta (Västra Torsås)","totalt","totalt",1092
"Älmhult (Diö-Liatorp)","totalt","totalt",1511
"Älmhult (Älmhult norra)","totalt","totalt",2376
"Älmhult (Älmhult sydöstra)","totalt","totalt",1991
"Älmhult (Älmhult västra)","totalt","totalt",4280
"Älmhult (Älmhult östra)","totalt","totalt",2650
"Älmhult (Älmhults omland)","totalt","totalt",5284
"Markaryd (Markaryds kommuns landsbygd)","totalt","totalt",2044
"Markaryd (Markaryd-Timsfors)","totalt","totalt",5062
"Markaryd (Traryd-Strömsnäsbruk)","totalt","totalt",3060
"Växjö (Araby-Dalbo-Nydala)","totalt","totalt",7142
"Växjö (Braås)","totalt","totalt",1704
"Växjö (Gamla norr-Fagrabäck)","totalt","totalt",4053
"Växjö (Gemla)","totalt","totalt",1613
"Växjö (Hov-Norr)","totalt","totalt",3509
"Växjö (Hovshaga)","totalt","totalt",6160
"Växjö (Högstorp-Hollstorp)","totalt","totalt",3108
"Växjö (Ingelstad)","totalt","totalt",1947
"Växjö (Kungsmad-Pilbäcken)","totalt","totalt",4559
"Växjö (Lammhult)","totalt","totalt",1739
"Växjö (Rottne)","totalt","totalt",2481
"Växjö (Sandsbro)","totalt","totalt",3381
"Växjö (Stadsnära landsbygd)","totalt","totalt",7303
"Växjö (Söder-Bäckaslöv)","totalt","totalt",5325
"Växjö (Teleborg)","totalt","totalt",8542
"Växjö (Teleborg centrum)","totalt","totalt",3207
"Växjö (Universitetsområde)","totalt","totalt",4693
"Växjö (Västra mark)","totalt","totalt",2964
"Växjö (Växjö centrum-Väster-Spetsamossen)","totalt","totalt",5192
"Växjö (Växjö landsbygd)","totalt","totalt",6656
"Växjö (Växjö öster)","totalt","totalt",3454
"Växjö (Öjaby-Räppe)","totalt","totalt",4354
"Växjö (Östra Lugnet-Evedal)","totalt","totalt",4051
"Ljungby (Angelstad-Bolmen)","totalt","totalt",2172
"Ljungby (Annelund)","totalt","totalt",1690
"Ljungby (Ekebacken)","totalt","totalt",2224
"Ljungby (Hamneda-Kånna)","totalt","totalt",2238
"Ljungby (Hångers)","totalt","totalt",1302
"Ljungby (Kungshög)","totalt","totalt",2107
"Ljungby (Lagan)","totalt","totalt",1737
"Ljungby (Lidhult-Odensjö-Torpa)","totalt","totalt",1931
"Ljungby (Ljungby centrum)","totalt","totalt",2090
"Ljungby (Replösa)","totalt","totalt",2252
"Ljungby (Ryssby-Agunnaryd)","totalt","totalt",2300
"Ljungby (Stensberg)","totalt","totalt",2196
"Ljungby (Vittaryd)","totalt","totalt",1880
"Ljungby (Ågård-Hjortsberg)","totalt","totalt",2364
"Högsby (Fagerhult)","totalt","totalt",1142
"Högsby (Högsby)","totalt","totalt",1992
"Högsby (Högsby omland)","totalt","totalt",1160
"Högsby (Långemåla)","totalt","totalt",1290
"Torsås (Bergkvara)","totalt","totalt",1186
"Torsås (Gullabo)","totalt","totalt",1733
"Torsås (Möre)","totalt","totalt",999
"Torsås (Söderåkra)","totalt","totalt",979
"Torsås (Torsås)","totalt","totalt",2145
"Mörbylånga (Algutsrum-Saxnäs-Glömminge)","totalt","totalt",1935
"Mörbylånga (Färjestaden centrala)","totalt","totalt",1589
"Mörbylånga (Färjestaden norra)","totalt","totalt",1812
"Mörbylånga (Färjestaden södra)","totalt","totalt",2543
"Mörbylånga (Mörbylånga)","totalt","totalt",1834
"Mörbylånga (Mörbylånga omland)","totalt","totalt",4617
"Mörbylånga (Skogsby-Torslunda)","totalt","totalt",1655
"Hultsfred (Hultsfreds tätort norra)","totalt","totalt",2470
"Hultsfred (Hultsfreds tätort södra)","totalt","totalt",1570
"Hultsfred (Hultsfreds tätort västra)","totalt","totalt",1659
"Hultsfred (Järnforsen-Målilla-Virserum landsbygd)","totalt","totalt",1213
"Hultsfred (Lönneberga-Silverdalen tätort-landsbygd)","totalt","totalt",1017
"Hultsfred (Målilla-Gårdveda-Rosenfors-Ämmenäs tätort)","totalt","totalt",1864
"Hultsfred (Mörlunda tätort-landsbygd)","totalt","totalt",1305
"Hultsfred (Vena tätort-Vena landsbygd)","totalt","totalt",1146
"Hultsfred (Virserums tätort)","totalt","totalt",1820
"Mönsterås (Blomstermåla)","totalt","totalt",1585
"Mönsterås (Fliseryd omland)","totalt","totalt",1434
"Mönsterås (Mellersta Mönsterås samhälle)","totalt","totalt",1298
"Mönsterås (Mönsterås centrala)","totalt","totalt",1467
"Mönsterås (Mönsterås omland)","totalt","totalt",1105
"Mönsterås (Mönsterås södra samhälle-Oknö)","totalt","totalt",1155
"Mönsterås (Norra-västra Mönsterås samhälle)","totalt","totalt",1705
"Mönsterås (Timmernabben)","totalt","totalt",1438
"Mönsterås (Ålem omland)","totalt","totalt",1246
"Mönsterås (Ålem stationssamhälle)","totalt","totalt",843
"Emmaboda (Algutsboda-Algutsboda omland)","totalt","totalt",1653
"Emmaboda (Emmaboda norra)","totalt","totalt",1286
"Emmaboda (Emmaboda södra)","totalt","totalt",2134
"Emmaboda (Emmaboda-Lindås)","totalt","totalt",1700
"Emmaboda (Långasjö-Långasjö omland)","totalt","totalt",864
"Emmaboda (Vissefjärda-Vissefjärda omland)","totalt","totalt",1710
"Kalmar (Berga)","totalt","totalt",2453
"Kalmar (Bergavik-Björkenäs)","totalt","totalt",2554
"Kalmar (Boholmarna-Dunö-Rinkabyholm)","totalt","totalt",4410
"Kalmar (Djurängen-Funkabo-Oxhagen)","totalt","totalt",10912
"Kalmar (Getingen-Tallhagen-Västra Norrgård)","totalt","totalt",2702
"Kalmar (Kalmar centrala-Stensö)","totalt","totalt",8765
"Kalmar (Kalmar norra kommundelen)","totalt","totalt",4709
"Kalmar (Kalmar södra kommundelen)","totalt","totalt",6366
"Kalmar (Kalmar västra kommundelen)","totalt","totalt",3117
"Kalmar (Krafslösa-Snurrom-Vimpeltorpet)","totalt","totalt",3418
"Kalmar (Lindsdal)","totalt","totalt",6124
"Kalmar (Norrliden)","totalt","totalt",3827
"Kalmar (Påryd)","totalt","totalt",916
"Kalmar (Tegelviken-Västra Malmen)","totalt","totalt",5340
"Kalmar (Västra Smedby)","totalt","totalt",1492
"Kalmar (Östra Norrgård-Östra Malmen)","totalt","totalt",3244
"Kalmar (Östra Smedby)","totalt","totalt",1669
"Nybro (Alsjöholm-Örsjö)","totalt","totalt",986
"Nybro (Hälleberga-Kristvalla)","totalt","totalt",2254
"Nybro (Kråksmåla)","totalt","totalt",1339
"Nybro (Kungshall)","totalt","totalt",1833
"Nybro (Myrdalen-Idehult-Rismåla)","totalt","totalt",2243
"Nybro (Nybro centrum-Paradiset-Åkrahäll)","totalt","totalt",3343
"Nybro (Nybro södra-Madesjö)","totalt","totalt",6283
"Nybro (Nybros södra omland)","totalt","totalt",1054
"Nybro (Orrefors-Flygsfors)","totalt","totalt",968
"Oskarshamn (Bockara-Påskallavik)","totalt","totalt",3891
"Oskarshamn (Döderhult-Svalliden)","totalt","totalt",2808
"Oskarshamn (Gröndal-Åsa)","totalt","totalt",2461
"Oskarshamn (Hummlekärrshult-Mockebo-Saltvik)","totalt","totalt",3631
"Oskarshamn (Kristdala-Fårbo-Figeholm)","totalt","totalt",4123
"Oskarshamn (Kristineberg-Mysingsö)","totalt","totalt",3814
"Oskarshamn (Norrtorn-Orrängen)","totalt","totalt",2865
"Oskarshamn (Oskarshamns centrum)","totalt","totalt",3435
"Västervik (Ankarsrum)","totalt","totalt",1274
"Västervik (Brevik-Gertrudsvik)","totalt","totalt",3495
"Västervik (Gamleby)","totalt","totalt",2823
"Västervik (Gunnebo)","totalt","totalt",1006
"Västervik (Norra Tjust)","totalt","totalt",3415
"Västervik (Peru-Arabien)","totalt","totalt",1650
"Västervik (Piperskärr-Grantorpet)","totalt","totalt",1625
"Västervik (Reginelund-Stenhagen)","totalt","totalt",1933
"Västervik (Skogshaga)","totalt","totalt",1414
"Västervik (Södermalm-Karstorp)","totalt","totalt",3106
"Västervik (Södra Tjust)","totalt","totalt",4400
"Västervik (Västervik centrum)","totalt","totalt",1794
"Västervik (Västralund-Jenny)","totalt","totalt",2531
"Västervik (Örbäcken-Lysingsbadet)","totalt","totalt",1916
"Västervik (Östermalm-Johannesdal)","totalt","totalt",3112
"Västervik (Överum)","totalt","totalt",1156
"Vimmerby (Storebro)","totalt","totalt",979
"Vimmerby (Södra Vi)","totalt","totalt",1139
"Vimmerby (Vimmerby norra)","totalt","totalt",1570
"Vimmerby (Vimmerby norra landsbygd)","totalt","totalt",1575
"Vimmerby (Vimmerby sydost)","totalt","totalt",1632
"Vimmerby (Vimmerby sydväst)","totalt","totalt",1341
"Vimmerby (Vimmerby västra landsbygd)","totalt","totalt",1753
"Vimmerby (Vimmerby östra)","totalt","totalt",1820
"Vimmerby (Vimmerby östra landsbygd)","totalt","totalt",1813
"Vimmerby (Vimmerby-Bullerbyn)","totalt","totalt",1935
"Borgholm (Borgholm norra kommundelen)","totalt","totalt",3730
"Borgholm (Borgholm södra kommundelen)","totalt","totalt",2735
"Borgholm (Borgholm-Köpingsvik)","totalt","totalt",4392
"Gotland (Bingeby)","totalt","totalt",3217
"Gotland (Gotland mellersta)","totalt","totalt",6858
"Gotland (Gotland norra)","totalt","totalt",7026
"Gotland (Gotland södra)","totalt","totalt",6953
"Gotland (Gråbo)","totalt","totalt",4810
"Gotland (Hemse)","totalt","totalt",1788
"Gotland (Innerstaden-Visby norra)","totalt","totalt",10551
"Gotland (Klintehamn)","totalt","totalt",1663
"Gotland (Roma)","totalt","totalt",1307
"Gotland (Slite)","totalt","totalt",1463
"Gotland (Visby omland)","totalt","totalt",7242
"Gotland (Visby södra)","totalt","totalt",8295
"Olofström (Jämshög-Jämshög närområde)","totalt","totalt",1622
"Olofström (Kyrkhult-Kyrkhult närområde)","totalt","totalt",1030
"Olofström (Olofström sydöstra-Gränum)","totalt","totalt",1239
"Olofström (Olofströms omland-Vilshult)","totalt","totalt",1483
"Olofström (Olofströms tätort nordvästra-Vilboken)","totalt","totalt",1765
"Olofström (Olofströms tätort nordöstra-Brännaregården)","totalt","totalt",2169
"Olofström (Olofströms tätort norra-centrala)","totalt","totalt",2043
"Olofström (Olofströms tätort södra-Nordenbergsskolan)","totalt","totalt",1808
"Karlskrona (Bergåsa-Västra Mark-Annebo)","totalt","totalt",1434
"Karlskrona (Fridlevstad-Tving)","totalt","totalt",3232
"Karlskrona (Galgamarken)","totalt","totalt",1754
"Karlskrona (Holmsjö-Strömsberg-Kättilsmåla)","totalt","totalt",3423
"Karlskrona (Hässlegården-Bastasjö-Torskors)","totalt","totalt",2623
"Karlskrona (Hästö)","totalt","totalt",1448
"Karlskrona (Jämjö tätort)","totalt","totalt",2747
"Karlskrona (Karlskronas omland-Nättrabys omland)","totalt","totalt",1449
"Karlskrona (Kronotorp-Nordöstra Lyckeby)","totalt","totalt",1756
"Karlskrona (Kungsmarken)","totalt","totalt",2412
"Karlskrona (Långö-Gräsvik)","totalt","totalt",1593
"Karlskrona (Marieberg-Gullberna)","totalt","totalt",2137
"Karlskrona (Mariedal-Backabo)","totalt","totalt",1547
"Karlskrona (Nordvästra Trossö)","totalt","totalt",3647
"Karlskrona (Nordöstra Trossö)","totalt","totalt",2681
"Karlskrona (Nättraby tätort)","totalt","totalt",4799
"Karlskrona (Pantarholmen)","totalt","totalt",2010
"Karlskrona (Ramdala-Senoren)","totalt","totalt",2743
"Karlskrona (Rödeby tätort)","totalt","totalt",3622
"Karlskrona (Saltö-Björkholmen)","totalt","totalt",1820
"Karlskrona (Skärgården)","totalt","totalt",4024
"Karlskrona (Spandelstorp)","totalt","totalt",2192
"Karlskrona (Sydvästra Trossö)","totalt","totalt",1685
"Karlskrona (Sydöstra Lyckeby)","totalt","totalt",1167
"Karlskrona (Sydöstra Trossö)","totalt","totalt",1767
"Karlskrona (Torhamn-Kristianopel-Jämjös omland)","totalt","totalt",3729
"Karlskrona (Verkö-Ringö-Knösö)","totalt","totalt",1572
"Karlskrona (Västra Lyckeby)","totalt","totalt",1669
"Ronneby (Backaryd-Hallabro)","totalt","totalt",1523
"Ronneby (Bräkne-Hoby)","totalt","totalt",3115
"Ronneby (Ekenäs-Sörby-Påtorp)","totalt","totalt",5459
"Ronneby (Hasselstad-Eringsboda)","totalt","totalt",1345
"Ronneby (Hulta)","totalt","totalt",1771
"Ronneby (Kallinge)","totalt","totalt",4741
"Ronneby (Ronneby centrum)","totalt","totalt",3272
"Ronneby (Saxemara-Listerby-Johannishus)","totalt","totalt",4810
"Ronneby (Älgbacken-Hjorthöjden)","totalt","totalt",3133
"Karlshamn (Asarum centrala)","totalt","totalt",2143
"Karlshamn (Duveryd)","totalt","totalt",2238
"Karlshamn (Froarp)","totalt","totalt",1963
"Karlshamn (Hällaryd-Åryd)","totalt","totalt",2393
"Karlshamn (Högadal)","totalt","totalt",1953
"Karlshamn (Karlshamn centrala)","totalt","totalt",4829
"Karlshamn (Karlshamn västra)","totalt","totalt",1515
"Karlshamn (Karlshamn östra)","totalt","totalt",2948
"Karlshamn (Korpadalen-Strömma)","totalt","totalt",1790
"Karlshamn (Mörrum västra)","totalt","totalt",2373
"Karlshamn (Mörrum östra)","totalt","totalt",1685
"Karlshamn (Mörrum-Svängsta omland)","totalt","totalt",2585
"Karlshamn (Prästslätten)","totalt","totalt",1727
"Karlshamn (Svängsta)","totalt","totalt",2074
"Sölvesborg (Falkvik)","totalt","totalt",2451
"Sölvesborg (Hällevik)","totalt","totalt",1541
"Sölvesborg (Kylinge-Gammalstorp-Ysane)","totalt","totalt",1744
"Sölvesborg (Listerlandet-Hanö)","totalt","totalt",1944
"Sölvesborg (Mjällby)","totalt","totalt",2022
"Sölvesborg (Norje-Pukavik)","totalt","totalt",1076
"Sölvesborg (Stadskärnan)","totalt","totalt",2383
"Sölvesborg (Sölvesborg)","totalt","totalt",4353
"Svalöv (Kågeröd-Billeberga omland)","totalt","totalt",7099
"Svalöv (Röstånga)","totalt","totalt",1099
"Svalöv (Svalöv)","totalt","totalt",4282
"Svalöv (Teckomatorp)","totalt","totalt",1986
"Staffanstorp (Hjärup-Hjärup omnejd)","totalt","totalt",2688
"Staffanstorp (Jakriborg-Jakriborg omnejd)","totalt","totalt",843
"Staffanstorp (Nordvästra Staffanstorp-omnejd)","totalt","totalt",2033
"Staffanstorp (Nordöstra Staffanstorp-omnejd)","totalt","totalt",1894
"Staffanstorp (Norra Hjärup-omnejd-Bergströmshusen)","totalt","totalt",3028
"Staffanstorp (Staffanstorp centrala)","totalt","totalt",1814
"Staffanstorp (Staffanstorp södra)","totalt","totalt",2181
"Staffanstorp (Staffanstorp västra)","totalt","totalt",1958
"Staffanstorp (Staffanstorp östra)","totalt","totalt",2667
"Staffanstorp (Staffanstorps omnejd)","totalt","totalt",2086
"Staffanstorp (Sydvästra Staffanstorp-omnejd)","totalt","totalt",2452
"Staffanstorp (Sydöstra Staffanstorp-omnejd)","totalt","totalt",3134
"Burlöv (Burlöv södra)","totalt","totalt",2156
"Burlöv (Norra Åkarp)","totalt","totalt",2133
"Burlöv (Svenshög-Elisetorp)","totalt","totalt",5441
"Burlöv (Södra Arlöv)","totalt","totalt",2623
"Burlöv (Södra Åkarp)","totalt","totalt",4332
"Burlöv (Tågarp)","totalt","totalt",3197
"Vellinge (Arrie-Västra Ingelstad-Östra Grevie)","totalt","totalt",2629
"Vellinge (Falsterbo)","totalt","totalt",2943
"Vellinge (Hököpinge)","totalt","totalt",1763
