# ;;;;;;Nedladdat från datavärdskapet för luft, SMHI, http://www.smhi.se/datavardluft, 2023-12-18 11:13:54
# ;;;;;;Tidsangivelser i UTC+1, Svensk normaltid
#
#Stationsnamn;Nationell stationskod;Klassificering;Longitud;Latitud
#Stockholm Valhallavägen 81;344260;Urban Background;18.073305;59.3463
#
#Ämne;Ämnesbeskrivning;Enhet;Mäthöjd;Inlet-id
#PM2.5;Particulate matter < 2.5 µm;ug.m-3;5;5184
#
Start;Slut;PM2.5 (5184)
2022-06-13;2022-06-14;4.70
2022-06-14;2022-06-15;3.20
2022-06-15;2022-06-16;4.60
2022-06-16;2022-06-17;4.50
2022-06-17;2022-06-18;3.80
2022-06-18;2022-06-19;5.70
2022-06-19;2022-06-20;2.80
2022-06-20;2022-06-21;2.30
2022-06-21;2022-06-22;4.10
2022-06-22;2022-06-23;5.00
2022-06-23;2022-06-24;4.90
2022-06-24;2022-06-25;4.90
2022-06-25;2022-06-26;9.20
2022-06-26;2022-06-27;9.60
2022-06-27;2022-06-28;12.0
2022-06-28;2022-06-29;11.0
2022-06-29;2022-06-30;7.00
2022-06-30;2022-07-01;11.0
2022-07-01;2022-07-02;7.20
2022-07-02;2022-07-03;6.50
2022-07-03;2022-07-04;4.80
2022-07-04;2022-07-05;4.30
2022-07-05;2022-07-06;3.40
2022-07-06;2022-07-07;3.40
2022-07-07;2022-07-08;1.80
2022-07-08;2022-07-09;3.70
2022-07-09;2022-07-10;3.00
2022-07-10;2022-07-11;1.80
2022-07-11;2022-07-12;3.10
2022-07-12;2022-07-13;3.60
2022-07-13;2022-07-14;6.20
2022-07-14;2022-07-15;2.90
2022-07-15;2022-07-16;1.80
2022-07-16;2022-07-17;0.960
2022-07-17;2022-07-18;1.40
2022-07-18;2022-07-19;4.00
2022-07-19;2022-07-20;5.60
2022-07-20;2022-07-21;6.10
2022-07-21;2022-07-22;11.0
2022-07-22;2022-07-23;12.0
2022-07-23;2022-07-24;2.60
2022-07-24;2022-07-25;3.00
2022-07-25;2022-07-26;5.90
2022-07-26;2022-07-27;4.10
2022-07-27;2022-07-28;1.90
2022-07-28;2022-07-29;2.20
2022-07-29;2022-07-30;2.60
2022-07-30;2022-07-31;3.40
2022-07-31;2022-08-01;3.00
2022-08-01;2022-08-02;4.30
2022-08-02;2022-08-03;3.00
2022-08-03;2022-08-04;4.50
2022-08-04;2022-08-05;6.70
2022-08-05;2022-08-06;8.70
2022-08-06;2022-08-07;2.80
2022-08-07;2022-08-08;2.60
2022-08-08;2022-08-09;3.50
2022-08-09;2022-08-10;3.80
2022-08-10;2022-08-11;4.50
2022-08-11;2022-08-12;4.20
2022-08-12;2022-08-13;5.30
2022-08-13;2022-08-14;4.60
2022-08-14;2022-08-15;5.00
2022-08-15;2022-08-16;9.00
2022-08-16;2022-08-17;12.0
2022-08-17;2022-08-18;12.0
2022-08-18;2022-08-19;11.0
2022-08-19;2022-08-20;12.0
2022-08-20;2022-08-21;8.80
2022-08-21;2022-08-22;3.40
2022-08-22;2022-08-23;3.40
2022-08-23;2022-08-24;3.30
2022-08-24;2022-08-25;2.50
2022-08-25;2022-08-26;3.50
2022-08-26;2022-08-27;4.70
2022-08-27;2022-08-28;
2022-08-28;2022-08-29;
2022-08-29;2022-08-30;
2022-08-30;2022-08-31;
2022-08-31;2022-09-01;1.70
2022-09-01;2022-09-02;1.60
2022-09-02;2022-09-03;1.60
2022-09-03;2022-09-04;1.70
2022-09-04;2022-09-05;2.10
2022-09-05;2022-09-06;2.20
2022-09-06;2022-09-07;3.70
2022-09-07;2022-09-08;1.70
2022-09-08;2022-09-09;2.30
2022-09-09;2022-09-10;3.40
2022-09-10;2022-09-11;4.40
2022-09-11;2022-09-12;4.70
2022-09-12;2022-09-13;6.60
