"region","civilstånd","ålder","kön","år","Folkmängd"
"13 Hallands län","skilda","totalt ålder","kvinnor","2024",18330
"13 Hallands län","änkor/änklingar","totalt ålder","män","2024",3761
"13 Hallands län","änkor/änklingar","totalt ålder","kvinnor","2024",11251
"14 Västra Götalands län","ogifta","totalt ålder","män","2024",513586
"14 Västra Götalands län","ogifta","totalt ålder","kvinnor","2024",443663
"14 Västra Götalands län","gifta","totalt ålder","män","2024",288400
"14 Västra Götalands län","gifta","totalt ålder","kvinnor","2024",284304
"14 Västra Götalands län","skilda","totalt ålder","män","2024",75306
"14 Västra Götalands län","skilda","totalt ålder","kvinnor","2024",98768
"14 Västra Götalands län","änkor/änklingar","totalt ålder","män","2024",16864
"14 Västra Götalands län","änkor/änklingar","totalt ålder","kvinnor","2024",51930
"17 Värmlands län","ogifta","totalt ålder","män","2024",83537
"17 Värmlands län","ogifta","totalt ålder","kvinnor","2024",71514
"17 Värmlands län","gifta","totalt ålder","män","2024",43159
"17 Värmlands län","gifta","totalt ålder","kvinnor","2024",42785
"17 Värmlands län","skilda","totalt ålder","män","2024",12751
"17 Värmlands län","skilda","totalt ålder","kvinnor","2024",16030
"17 Värmlands län","änkor/änklingar","totalt ålder","män","2024",3224
"17 Värmlands län","änkor/änklingar","totalt ålder","kvinnor","2024",10384
"18 Örebro län","ogifta","totalt ålder","män","2024",89458
"18 Örebro län","ogifta","totalt ålder","kvinnor","2024",78848
"18 Örebro län","gifta","totalt ålder","män","2024",47869
"18 Örebro län","gifta","totalt ålder","kvinnor","2024",47542
"18 Örebro län","skilda","totalt ålder","män","2024",13927
"18 Örebro län","skilda","totalt ålder","kvinnor","2024",17669
"18 Örebro län","änkor/änklingar","totalt ålder","män","2024",3192
"18 Örebro län","änkor/änklingar","totalt ålder","kvinnor","2024",9870
"19 Västmanlands län","ogifta","totalt ålder","män","2024",80071
"19 Västmanlands län","ogifta","totalt ålder","kvinnor","2024",67849
"19 Västmanlands län","gifta","totalt ålder","män","2024",45636
"19 Västmanlands län","gifta","totalt ålder","kvinnor","2024",45178
"19 Västmanlands län","skilda","totalt ålder","män","2024",12991
"19 Västmanlands län","skilda","totalt ålder","kvinnor","2024",16989
"19 Västmanlands län","änkor/änklingar","totalt ålder","män","2024",3077
"19 Västmanlands län","änkor/änklingar","totalt ålder","kvinnor","2024",9367
"20 Dalarnas län","ogifta","totalt ålder","män","2024",84374
"20 Dalarnas län","ogifta","totalt ålder","kvinnor","2024",71441
"20 Dalarnas län","gifta","totalt ålder","män","2024",43880
"20 Dalarnas län","gifta","totalt ålder","kvinnor","2024",43453
"20 Dalarnas län","skilda","totalt ålder","män","2024",13375
"20 Dalarnas län","skilda","totalt ålder","kvinnor","2024",16656
"20 Dalarnas län","änkor/änklingar","totalt ålder","män","2024",3470
"20 Dalarnas län","änkor/änklingar","totalt ålder","kvinnor","2024",9897
"21 Gävleborgs län","ogifta","totalt ålder","män","2024",84061
"21 Gävleborgs län","ogifta","totalt ålder","kvinnor","2024",72128
"21 Gävleborgs län","gifta","totalt ålder","män","2024",42431
"21 Gävleborgs län","gifta","totalt ålder","kvinnor","2024",42059
"21 Gävleborgs län","skilda","totalt ålder","män","2024",13378
"21 Gävleborgs län","skilda","totalt ålder","kvinnor","2024",16968
"21 Gävleborgs län","änkor/änklingar","totalt ålder","män","2024",3409
"21 Gävleborgs län","änkor/änklingar","totalt ålder","kvinnor","2024",10124
"22 Västernorrlands län","ogifta","totalt ålder","män","2024",71002
"22 Västernorrlands län","ogifta","totalt ålder","kvinnor","2024",59906
"22 Västernorrlands län","gifta","totalt ålder","män","2024",37095
"22 Västernorrlands län","gifta","totalt ålder","kvinnor","2024",36939
"22 Västernorrlands län","skilda","totalt ålder","män","2024",10850
"22 Västernorrlands län","skilda","totalt ålder","kvinnor","2024",13522
"22 Västernorrlands län","änkor/änklingar","totalt ålder","män","2024",3062
"22 Västernorrlands län","änkor/änklingar","totalt ålder","kvinnor","2024",9082
"23 Jämtlands län","ogifta","totalt ålder","män","2024",42209
"23 Jämtlands län","ogifta","totalt ålder","kvinnor","2024",36702
"23 Jämtlands län","gifta","totalt ålder","män","2024",18072
"23 Jämtlands län","gifta","totalt ålder","kvinnor","2024",17873
"23 Jämtlands län","skilda","totalt ålder","män","2024",5553
"23 Jämtlands län","skilda","totalt ålder","kvinnor","2024",6746
"23 Jämtlands län","änkor/änklingar","totalt ålder","män","2024",1468
"23 Jämtlands län","änkor/änklingar","totalt ålder","kvinnor","2024",4216
"24 Västerbottens län","ogifta","totalt ålder","män","2024",86551
"24 Västerbottens län","ogifta","totalt ålder","kvinnor","2024",73689
"24 Västerbottens län","gifta","totalt ålder","män","2024",43804
"24 Västerbottens län","gifta","totalt ålder","kvinnor","2024",43103
"24 Västerbottens län","skilda","totalt ålder","män","2024",9836
"24 Västerbottens län","skilda","totalt ålder","kvinnor","2024",12217
"24 Västerbottens län","änkor/änklingar","totalt ålder","män","2024",3039
"24 Västerbottens län","änkor/änklingar","totalt ålder","kvinnor","2024",8899
"25 Norrbottens län","ogifta","totalt ålder","män","2024",75233
"25 Norrbottens län","ogifta","totalt ålder","kvinnor","2024",60439
"25 Norrbottens län","gifta","totalt ålder","män","2024",38875
"25 Norrbottens län","gifta","totalt ålder","kvinnor","2024",38338
"25 Norrbottens län","skilda","totalt ålder","män","2024",10607
"25 Norrbottens län","skilda","totalt ålder","kvinnor","2024",12944
"25 Norrbottens län","änkor/änklingar","totalt ålder","män","2024",3053
"25 Norrbottens län","änkor/änklingar","totalt ålder","kvinnor","2024",9131
