Skolenhetskod,Kommunkod,PeOrgNr,Skolenhetsnamn,Status
41272212,0586,2120000480,"Mjölby gymn, Dackeskolan",Vilande
29004993,1281,2120001132,Nyvångskolan,Vilande
14777110,1281,2120001132,Byskolan,Vilande
88266589,1281,2120001132,Killebäckskolan,Vilande
53063984,1281,2120001132,Svaleboskolan,Vilande
87424195,2184,2120002379,Bromangymnasiet 5,Vilande
29901447,0680,2120000530,ABF Vux,Vilande
69356946,0680,2120000530,Lernia AB,Vilande
39061881,1880,2120001967,Glanshammars skola F-3,Vilande
57866247,2580,2120002742,Montessori F-6,Vilande
96030203,0136,5561203679,NTI-gymnasiet Haninge,Vilande
41040731,0380,2120003005,Academicum SFI,Vilande
96068989,1281,5567292478,Humfryskolan i Lund,Vilande
46345666,0883,2120000779,AL5/Falken,Vilande
41848515,0883,2120000779,"Ludvigsborgsskolan, särskola",Vilande
16762245,0127,8024242391,Edessaskolan,Aktiv
22223037,1880,2120001967,Språkklass Navet,Vilande
75168956,0127,2120002882,Borggruppen 1GR,Vilande
14571770,0125,8020061688,Sundsgården skola,Vilande
15024473,0191,8148007258,"Josefinaskolan, gymnasieskola",Vilande
47734378,2580,5567003586,Norrlands Entreprenörsgymnasium,Vilande
90381041,0186,2120000191,Hersby gymnasium EKIM,Vilande
70555189,0186,2120000191,Larsbergs skola,Vilande
20868993,0192,2120000233,Navet,Vilande
18143807,0381,2120000282,S:t Iliansskolan/Västerledsskolan,Vilande
13673996,0382,2120000290,Films skola,Vilande
89108886,0382,2120000290,Morkarla skola,Vilande
67611023,0482,2120000332,Central Insamlingsenhet Enskild verksamhet,Vilande
40428042,0509,2120000373,Central Insamlingsenhet,Vilande
54906262,0509,2120000373,Kommunal vuxenutbildning,Vilande
22589692,0582,2120000464,Central Insamlingsenhet,Vilande
51909612,0662,2120000514,Ro integrerade särskoleelever,Vilande
92212933,0680,2120000530,Herrgårdsskolan,Vilande
83800974,0685,2120000571,Central Insamlingsenhet,Vilande
87519207,0780,2120000662,Komvux,Vilande
42621182,0780,2120000662,Komvux/SFI,Vilande
29254499,0883,2120000779,Västerviks gymnasium Ro 5,Vilande
56025785,0883,2120000779,Västerviks gymnasium Ro 6,Vilande
32413189,0883,2120000779,Västerviks gymnasium RO6 S,Vilande
15740697,0980,2120000803,Christopher Polhemgymnasiet,Vilande
16676108,0980,2120000803,Elfrida Andréegymnasiet,Vilande
25082000,0980,2120000803,Lövsta landsbygdsgymnasium,Vilande
28915842,0980,2120000803,Richard Steffengymnasiet,Vilande
60181429,0980,2120000803,Särkild undervisningsgrupp Malma,Vilande
60291417,1060,2120000811,Central Insamlingsenhet,Vilande
70032312,1060,2120000811,Träningsskolan,Vilande
52745678,1082,2120000845,Bullerbyn grundsärskola,Vilande
72166089,1082,2120000845,Kyrkskolan,Vilande
18235792,1276,2120000928,Färingtofta skola,Vilande
71649789,1290,2120000951,Christian 4:s Gymnasium 3,Vilande
15619568,1261,2120001058,Central Insamlingsenhet,Vilande
47281142,1261,2120001058,Central Insamlingsenhet Enskild verksamhet,Vilande
21163030,1265,2120001090,Råd/stödenhet/Resursprogrammet,Vilande
54172365,1286,2120001181,Stora Herrestadsskola,Vilande
68640992,1384,2120001256,Aranäsgymnasiet Enhet 6,Vilande
33610931,1384,2120001256,Ro integrerade särskoleelever,Vilande
24375194,1384,2120001256,Varlaskolan grundsärskola,Vilande
44018113,1485,2120001397,Bergiusskolan,Vilande
31921538,1485,2120001397,Central insamlingsenhet särskola,Vilande
22642104,1485,2120001397,Uddevalla gymnasieskola NA-AK,Vilande
75650987,1485,2120001397,Östanvindsskolan,Vilande
60429057,1485,2120001397,Nordanvindsskolan,Vilande
61795085,1766,2120001843,Ro integrerade särskoleelever,Vilande
19802889,1766,2120001843,Rottneros skola,Vilande
13326673,1766,2120001843,Åmbergsskolan,Vilande
65132158,1785,2120001900,Ro Integrerade särskoleelever,Vilande
44408339,2062,2120002213,"S:t Mikaels-skolan, ro 3",Vilande
91103112,2062,2120002213,"S:t Mikaelsskolan, ro 6",Vilande
66506669,2062,2120002213,Central Insamlingsenhet,Vilande
90631891,2101,2120002288,Rabo skola,Vilande
81137407,2180,2120002338,Ro integrerade särskoleelever,Vilande
34716098,2260,2120002387,Överturingens skola,Vilande
39385309,2262,2120002395,Grundsärskolan Bergeforsen,Vilande
45854948,2480,2120002627,Hedlunda underv för nyanlända,Vilande
45242397,1445,2120002916,Ro integrerade särskoleelever,Vilande
35915861,0330,2120003013,Kvarntorp,Vilande
36314294,1496,2321000131,Naturbruksgymn. Sparresäter,Vilande
10747241,1292,5007147589,AGAPE-skolan,Vilande
43323036,2480,5561203679,NTI Handelsgymnasiet Umeå,Vilande
40716758,1280,5564586716,Vittra Bunkeflo/Limhamn,Vilande
72629361,1280,5564624368,Internationella Engelska Skolan Malmö,Vilande
44355680,0180,5564624368,Internationella Engelska Skolan Spånga,Vilande
84271959,0123,5564715729,Häggviks Gymnasium Västerort,Vilande
24872483,0180,5565042255,Vasa Byskola,Vilande
68432420,1280,5565583282,"Mikael Elias Gymnasium, Malmö",Vilande
30705499,0581,5565583282,"Mikael Elias Gymnasium, Norrköping",Vilande
97439385,0138,5565588166,Yggdrasil resursskola,Vilande
14569133,1292,5566070552,Vittra Fram,Vilande
52577981,0182,5566095047,Futuraskolan Lännbo,Vilande
97728909,1494,5566139290,Thoren Framtid Lidköping,Vilande
52844224,1281,5566139290,Thoren Framtid Lund,Vilande
85905257,1280,5566139290,Thoren Framtid Malmö,Vilande
41155478,0180,5566139290,Thoren Framtid Stockholm,Vilande
90729751,2281,5566139290,Thoren Framtid Sundsvall,Vilande
68311593,1485,5566139290,Thoren Framtid Uddevalla,Vilande
83451949,0380,5566139290,Thoren Framtid Uppsala,Vilande
81961314,1880,5566139290,Thoren Framtid Örebro,Vilande
14904481,2180,5566358759,JENSEN grundskola Gävle,Vilande
17968113,1380,5566358759,JENSEN grundskola Halmstad,Vilande
37665630,0126,5566358759,JENSEN grundskola Huddinge,Vilande
32423617,1280,5566358759,JENSEN grundskola Malmö,Vilande
34666488,1380,5566358759,JENSEN Gymnasium Halmstad,Vilande
47420714,0880,5566358759,JENSEN Gymnasium Kalmar,Vilande
45426564,1762,5566798889,Munkfors El- och Stålgymnasium,Vilande
42394099,0181,5566814504,Sveriges Ridgymnasium Södertälje,Vilande
46017541,1481,5566814504,Åby Travgymnasium,Vilande
37703199,0188,5567026454,"Prolympia, Norrtälje",Vilande
51100229,1480,5567572234,Centrina City,Vilande
39508236,0184,2120000183,Bagartorpsskolan 4-9,Vilande
61807259,0184,2120000183,Bagartorpsskolan F-3,Vilande
89991628,0184,2120000183,Råsunda skola RH,Vilande
45866004,0184,2120000183,Sjukhusskolan gr,Vilande
22148901,0184,2120000183,Sjukhusskolan gy,Vilande
87158170,1961,2120002064,Kantzowska gymnasiet,Vilande
27323466,2183,2120002361,Naturbruksgymnasiet Nytorp,Vilande
51325126,2183,2120002361,Segersta skola F-6,Vilande
45452479,2183,2120002361,Västansjö skola F-6,Vilande
19056763,0562,2120000423,Lillängsskolan,Vilande
70137555,1980,5564654605,"Klara Gymnasium, Västerås",Vilande
14319801,0380,2120003005,Iris Hadar AB,Vilande
72763845,0380,2120003005,Manpower Telge Jobbstart,Vilande
38996260,0380,2120003005,Studieförbundet Vuxenskolan Uppsala län,Vilande
69743968,2582,2120002767,Bodens Förberedelseklass,Vilande
19570579,2582,2120002767,Bodens alternativa skola BAS,Vilande
50273802,2581,2120002759,Hemmingsmarks skolenhet,Vilande
96056366,2482,2120002643,Getbergsskolan,Vilande
49958487,2380,2120002528,Ope skola,Vilande
31266309,2283,2120002437,Träningsskolan gysär,Vilande
50538093,2182,2120002353,Norrtullskolan A,Vilande
57199193,2085,2120002270,Blötbergets skola F,Vilande
16231113,2080,2120002221,Haraldsbogymnasiet,Vilande
