Skolenhetskod,Kommunkod,PeOrgNr,Skolenhetsnamn,Status
79033948,1283,5565970471,NTI Gymnasiet Helsingborg,Aktiv
57412559,1402,2120001272,Stadsparksskolan,Aktiv
28890717,1480,2120001355,Ryaskolan 4-9,Vilande
33465696,1480,2120001355,Ryaskolan F-3,Vilande
40486422,2181,2120002346,Grundsärskolan 7-9,Vilande
52393556,1785,2120001900,Tingvallaskolan M,Vilande
59180619,1480,2120001355,Toleredsskolan sär,Vilande
80211474,0180,5569320681,Designgymnasiet Kungsholmen old,Vilande
88758435,2080,2120002221,Tegelbruksskolan,Vilande
36358480,1480,2120001355,Påvelundsskolan 7-9,Vilande
65125762,2281,5568542210,Njurunda Friskola,Aktiv
47955009,1082,2120000845,Möllegårdens skola,Aktiv
83404058,1280,5564518750,Videdals Privatskolor 2,Vilande
34594542,1487,2120001538,Brålanda skola F-3,Aktiv
62320503,1487,2120001538,Brålanda skola 4-6,Aktiv
13511202,1487,2120001538,Skerruds skola F-3,Aktiv
55443968,1487,2120001538,Skerruds skola 4-6,Aktiv
77512067,1487,2120001538,Onsjöskolan F-3,Aktiv
31605302,1487,2120001538,Onsjöskolan 4-6,Aktiv
25729428,1487,2120001538,Granås skola F-3,Aktiv
15648377,2084,2120002262,Markusskolan,Aktiv
43084085,0136,2120000084,Centrum Vux,Aktiv
48813389,1286,2120001181,Änga/Västervångskolan,Vilande
65877570,0780,2120000662,Furutåskolan,Aktiv
17326077,2281,2120002411,Granloholms skola,Vilande
65212016,2281,2120002411,Sticksjö skola,Vilande
42768045,2321,2120002494,Mörsils F-6,Vilande
38376577,2321,2120002494,Mörsils skola 7-9,Vilande
50430513,2262,2120002395,Laggarbergs skola,Aktiv
45737019,2462,8961005140,Strandskolan,Aktiv
75930521,1265,7696141428,Friskolan Boken,Aktiv
15763669,1060,2220000711,Klaragymnasiet med internat,Aktiv
38917647,1266,5568212939,Hörby Yrkesgymnasium,Aktiv
77352223,1283,2120001157,Helsingborgs Lärlingsgymnasium,Aktiv
23384476,1907,5567777775,Viljan,Aktiv
67272295,1280,8460026654,Mariaskolan,Aktiv
68229719,1489,2120001553,Alströmergymnasiet sektor 3,Aktiv
54847211,0180,5568148117,Entréskolan Stockholm,Aktiv
70044059,1281,8450021459,Lunds Montessorigrundskola,Aktiv
71951060,0380,8176030867,Katarinaskolan,Aktiv
40978257,0180,5566095047,Futuraskolan International School of Stockholm,Aktiv
16885406,1764,2120001827,Slottsbrons skola,Aktiv
73505986,1482,2120001371,Thorildskolan 1,Aktiv
15889456,1482,2120001371,Thorildskolan 2,Aktiv
82651095,1441,8635006680,Montessoriskolan Floda säteri,Aktiv
25790317,1482,5565204129,Friskolan i Kärna,Aktiv
62418563,1482,2120001371,Diseröds skola,Aktiv
43939920,1443,7164481132,Föräldrakooperativet Gadden,Aktiv
46986216,0780,2120000662,Katedralskolan 2,Aktiv
92805465,0780,2120000662,Katedralskolan 4,Aktiv
56084099,0780,2120000662,Kungsmadskolan 1,Aktiv
23786565,2184,2120002379,Läroverket,Aktiv
67629427,2184,2120002379,Västra skolan,Aktiv
96206014,2284,2120002445,Skärpe-Ängetskolan,Vilande
96102567,2034,2120002189,Fritidshemmet Solsken,Vilande
21803063,2284,2120002445,Skärpe-Ängetskolan,Vilande
17305534,2284,2120002445,Skärpe-Ängetskolan,Vilande
20330134,2284,2120002445,Skärpe-Ängetskolan,Vilande
36249231,2284,2120002445,Skärpe-Ängetskolan,Vilande
36426857,2284,2120002445,Skärpe-Ängetskolan,Vilande
41556015,2284,2120002445,Skärpe-Ängetskolan,Vilande
47691612,2284,2120002445,Skärpe-Ängetskolan,Vilande
50826234,2284,2120002445,Skärpe-Ängetskolan,Vilande
72095022,2284,2120002445,Skärpe-Ängetskolan,Vilande
85431412,2284,2120002445,Skärpe-Ängetskolan,Vilande
92049258,2284,2120002445,Skärpe-Ängetskolan,Vilande
41058019,0483,2120000340,Duveholmsgymnasiet 1,Vilande
16839212,0764,2120000639,Capellaskolan gy,Aktiv
33759766,1452,2120001462,Tranängskolan 7-9,Aktiv
18002855,1383,2120001249,Rolfstorps skola 4-9,Aktiv
52531425,0138,2120000092,Stimmets skola,Aktiv
37246669,2409,2120002551,Jenningsskolan åk F-3,Aktiv
47410806,2409,2120002551,Åkullsjöns skola,Aktiv
58286716,0191,2120000225,Norrbackaskolan,Aktiv
12123107,1480,2120001355,"Gbgs Tekn College ,GTC, komvux",Vilande
14814372,1480,2120001355,"Gbgs Tekn College ,GTC, SFI",Vilande
61647360,1485,2120001397,"Uddevalla gymnasieskola, Östrabo Y VF",Aktiv
22811839,1485,2120001397,"Uddevalla gymnasieskola, Östrabo Y BA",Aktiv
66575211,1465,2120001512,Holsljunga skola,Vilande
18578155,0764,2120000639,Capellaskolan 1-9,Aktiv
64633692,1278,2120000944,Bjäre skola,Aktiv
49233138,0780,2120000662,Elin Wägnerskolan 1,Aktiv
22929455,0581,2120000456,Söderporten 4,Aktiv
45925310,1465,2120001512,Sexdrega skola,Aktiv
91013126,0480,5590689559,Nyköpings Enskilda Grundskola,Aktiv
13586946,1384,2120001256,Kompetenscentrum Vuxnas Lärande,Aktiv
11526413,1384,2120001256,Kompetenscentrum Vuxnas lärande/SFI,Aktiv
24383892,0840,2120000704,Mörbylånga vuxenskola,Vilande
22509001,1280,2120001124,Lindeborgsskolan,Aktiv
84248539,0580,2120000449,Vikingstads skolor,Aktiv
34893654,0481,2120000324,Breviksskolan,Vilande
90267145,2180,5566139290,Yrkesgymnasiet Gävle,Aktiv
90685868,1980,5566139290,Yrkesgymnasiet Västerås,Aktiv
47692481,1880,5566139290,Yrkesgymnasiet Örebro,Aktiv
10439617,1473,2120001678,Central Insamlingsenhet,Vilande
10132939,1490,8645012132,Malmen Montessori,Aktiv
92750123,0180,8020126531,"Enskilda gymnasiet, gr",Aktiv
69650864,0180,8020126531,"Enskilda gymnasiet, gy",Aktiv
29097621,1380,2120001215,Kattegattgymnasiet 4,Aktiv
55040455,1280,8465001777,Backaskolan,Aktiv
83137205,1283,5567127237,Cultura Gymnasium,Aktiv
41888515,0138,2120000092,Fårdala skola,Aktiv
35701648,2085,2120002270,Håksbergs skola,Vilande
79979596,2460,2120002841,"Liljaskolan, komvux",Aktiv
90240730,2460,2120002841,"Liljaskolan, sektor A",Aktiv
84908877,2460,2120002841,"Liljaskolan, sektor B",Aktiv
97752911,2460,2120002841,"Liljaskolan, sektor D",Aktiv
74764873,2460,2120002841,"Liljaskolan, SFI",Aktiv
77417759,1462,2120001496,Fuxernaskolan F-6,Aktiv
19260226,1462,2120001496,Ryrsjöskolan,Aktiv
60978397,1462,2120001496,Strömsskolan,Aktiv
91011718,0182,2120000167,Fisksätraskolan,Vilande
36021631,0123,5566146956,Montessoriskolan Växthuset,Aktiv
43038662,0125,2120000050,Färentuna skola,Aktiv
10757780,1257,8376003672,Solängskolan,Aktiv
40494673,2029,2120002163,Djura skola,Vilande
38372767,2260,2120002387,Alby skola,Vilande
42908219,1282,7696002794,Säbyholms Montessoriskola,Aktiv
95057356,0125,2120000050,Uppgårdskolan,Aktiv
79707757,1272,2120000894,Dalaskolan Södra,Aktiv
99669880,0125,2120000050,Ekerö komvux,Aktiv
46557397,1860,2120001918,Lindåsens skola,Vilande
41562318,0125,5564624368,Internationella Engelska Skolan Ekerö,Vilande
43813026,0180,5564624368,Internationella Engelska Skolan Stockholm,Vilande
29875471,1480,5564624368,Internationella Engelska Skolan Södra Änggården,Vilande
55815397,2480,7696004535,Språkskolan,Aktiv
34699165,0381,2120000282,S:t Iliansskolan,Aktiv
13779978,1981,2120002098,Salbohedskolan,Vilande
68235921,0180,2120000142,S:t Eriks gymnasium 1,Aktiv
36738550,0180,2120000142,Vuxenutbildning Järva,Aktiv
63367807,0683,8280008296,Å-mini förskola och fritidshem,Aktiv
54481243,2080,2321000180,Musikkonservatoriet Falun,Aktiv
70615815,1281,2120001132,ISLK/Int. School of Lund,Aktiv
33146440,1264,2120001082,Rutgerskolan,Vilande
99749462,0188,2120000217,Långsjöskolan,Aktiv
30530571,1080,2120000829,af Chapmangymnasiet,Aktiv
28605274,0680,2120000530,Nyarpsskolan,Aktiv
44972693,1083,2120000852,Möllebacksskolan,Aktiv
90876801,0382,2120000290,Olandsskolan,Aktiv
53536731,2084,2120002262,Klockarskolan,Vilande
62868982,1280,5567155527,Boukefs Privatskola,Aktiv
62126085,1280,5567155527,Boukefs Småskola,Aktiv
43993011,2580,2120002742,Hertsöskolan 4-6,Aktiv
15579589,2580,2120002742,Hertsöskolan 7-9,Aktiv
84328205,2580,2120002742,Tunaskolan 4-6,Aktiv
43539193,2580,2120002742,Tunaskolan 7-9,Aktiv
20104143,2580,2120002742,Örnässkolan 7-9,Aktiv
60217642,1264,2120001082,Alléskolan,Aktiv
21999433,1264,2120001082,Mackleanskolan,Vilande
11728018,1480,5569911158,Ekonomigymnasiet i Göteborg,Vilande
98477278,0126,2120000068,Edboskolan,Aktiv
49794709,1983,2120002114,Malmaskolan F-3,Aktiv
49665496,1983,2120002114,Malmaskolan 4-9,Aktiv
83623446,0160,2120000118,Rösjöskolan,Aktiv
68653982,1383,2120001249,Ankarskolan 4-9,Aktiv
38621807,1383,2120001249,Ankarskolan F-3 och fritidshem,Aktiv
36590494,1383,2120001249,Bockstensskolan 3-5 och fritidshem,Aktiv
31680839,1383,2120001249,Bockstensskolan F-2 och fritidshem,Aktiv
23521056,1383,2120001249,Lindbergs skola 4-9,Aktiv
14839197,1383,2120001249,Trönninge skola F-3 och fritidshem,Aktiv
88454421,0123,2120000043,Aspnässkolan,Aktiv
17287315,0123,2120000043,Källtorpskolan,Aktiv
45173603,1281,2120001132,Ladugårdsmarken,Vilande
79592087,1280,2120001124,Startskolan,Vilande
40631085,0127,2120002882,Fittjaskolan Botkyrka Norra,Aktiv
86985859,0127,2120002882,Malmsjö skola,Aktiv
30409439,2080,2120002221,Hälsinggårdsskolan F-6,Vilande
85777315,0163,8148008330,Mikaelskolan,Aktiv
21243852,2080,2120002221,Danholnsskolan,Aktiv
66836012,1463,2120001504,Habyskolan,Vilande
76418419,2080,2120002221,Liljansskolan,Aktiv
48065404,2080,2120002221,Linghedsskolan,Aktiv
78676362,2080,2120002221,Rönndalsskolan,Aktiv
27005091,2080,2120002221,Sundbornsskolan,Aktiv
53345308,1463,2120001504,Torestorpskolan,Aktiv
30040859,1463,2120001504,Öxabäckskolan,Aktiv
13666864,1463,2120001504,Ängskolan,Aktiv
27934323,0563,2120000431,Gusum skola,Aktiv
84230778,0160,7696236806,Svalnäs skola,Aktiv
16889382,2462,2120002601,Dikanäs skola,Aktiv
79002691,2462,2120002601,Saxnäs skola,Aktiv
46859731,2284,2120002445,Sörlidenskolan 7-9,Vilande
65865553,0182,5568006869,Jobblotsen Sverige AB,Vilande
45274467,0182,2120000167,Eductus SFI,Vilande
63445397,0182,2120000167,Folkuniversitetet SFI Nacka,Vilande
84240706,0182,2120000167,"Integra Nacka, SFI",Vilande
64918048,0182,2120000167,Lernia AB/SFI Nacka,Vilande
34368572,0182,2120000167,Omsorgslyftet Utbildningar/SFI,Vilande
57677600,0581,2120000456,Matteusskolan 1,Aktiv
72421673,0682,2120000548,Brinellgymnasiet 5,Vilande
94348319,2460,2120002841,Hammarskolan AB,Aktiv
90298777,2460,2120002841,Hammarskolan CD,Aktiv
13987138,0483,2120000340,"Viadidakt/SFI, Katrineholm",Aktiv
28379252,1293,2120000985,Vanneberga skola F-6,Vilande
11648934,1487,2120001538,Blåsut skola,Aktiv
82725092,0617,2120000506,Gnosjöandans kunskapsc. SFI,Aktiv
94162196,0617,2120000506,Gnosjöandans kunskapsc. vux,Aktiv
77566635,1487,2120001538,Brålanda skola,Vilande
47142299,1487,2120001538,Kumlienskolan,Vilande
45069516,1487,2120001538,Mariedals Förskoleklass och Fritids,Vilande
37010796,1487,2120001538,Mariedals grundskola och särskola åk 1-6,Vilande
47592451,1487,2120001538,Norra skolan,Vilande
14752811,1487,2120001538,Onsjöskolan,Vilande
98308391,1487,2120001538,Rånnums skola,Vilande
29200634,1487,2120001538,Skerrud skola,Vilande
81638675,1487,2120001538,Väne Ryr skola,Vilande
69240218,0580,5569172041,Fria Läroverken Linköping,Aktiv
18409946,0163,2120000134,Ro integrerade särskoleelever,Vilande
42573391,1082,5569306979,Fria Läroverken i Karlshamn,Aktiv
41684803,0583,2120002817,Träningsskolan Marieberg,Vilande
98267471,1880,7696014781,Fridhems friskola,Aktiv
89195825,0461,2120002965,Frejaskolan F-9,Aktiv
15130552,0562,2120000423,Finspångs vuxenutbildning,Aktiv
65487720,0562,2120000423,Nyhemsskolan 7-9,Aktiv
94721000,0562,2120000423,Nyhemsskolan F-6,Aktiv
37973381,0561,2120000415,Bild.centrum Facetten 1/Särvux,Vilande
11620837,0561,2120000415,Bildningscentrum Facetten 1,Vilande
13981977,0561,2120000415,Bildningscentrum Facetten 2,Vilande
36886750,0561,2120000415,Bildningscentrum Facetten 4,Vilande
21862642,1402,2120001272,Partille gymnasium/IM,Vilande
61229217,1402,2120001272,Partille Gymnasium,Aktiv
67641022,1384,2120001256,Presseskolan 4-6,Aktiv
93918784,1880,2120001967,Olaus Petriskolan F-6,Aktiv
38054320,1880,2120001967,Vintrosa skola,Aktiv
24349146,1880,2120001967,Tullängsgymnasiet,Aktiv
37078868,2480,2120002627,Dragonskolan IC,Vilande
61197669,2480,2120002627,Midgårdsskolan RL,Vilande
37934138,1470,2120002924,Central Insamlingsenhet Enskild verksamhet,Vilande
31793697,1280,2120001124,Komvux Malmö Agnesfrid Ro 1,Aktiv
20719004,1280,2120001124,Komvux Malmö Centrum,Aktiv
28280402,1280,2120001124,Komvux Malmö Värnhem grundläggande Ro 1,Aktiv
27963955,1384,2120001256,Toråsskolan 4-6,Vilande
33596850,1280,2120001124,Komvux Malmö Värnhem Ro3 gymnasial,Aktiv
90604499,1280,2120001124,Komvux Malmö Universitetsholmen RO3,Vilande
76821439,1280,2120001124,Komvux Malmö Värnhem Ro 1 gymnasial,Aktiv
97531710,1280,2120001124,Komvux Malmö Värnhem Ro2 gymnasial,Aktiv
57370453,0115,2120000027,Karbyskolan,Aktiv
29278599,0115,2120000027,Lovisedalsskolan,Aktiv
61980418,0180,7696002984,I Ur och Skur Mullekojan,Aktiv
21363125,1267,7420002045,Karolinaskolan,Aktiv
22347371,1962,2120002072,Centralskolan,Aktiv
59409052,0180,2120000142,Liljeholmens gymnasium 59409052,Aktiv
79085201,0180,2120000142,"Komvux Rosenlund, B",Aktiv
67264903,0180,2120000142,"Komvux Rosenlund, A",Aktiv
69372123,1487,2120001538,Torpaskolan Söder,Aktiv
22496996,0680,2120000530,Tenhultsskolan,Aktiv
96013047,0680,2120000530,Ödestugu skola,Aktiv
77138988,2184,2120002379,Skolbyn,Aktiv
82162039,1419,2120001306,Skärhamns skola,Aktiv
74582871,1907,2120002031,Hammarskolan,Aktiv
10017830,1907,2120002031,Nytorpsskolan,Aktiv
39566281,1907,2120002031,Starbäcksskolan,Aktiv
26671095,1496,5565970471,NTI Gymnasiet Skövde,Aktiv
36262199,0128,2120002874,Nytorpsskolan,Aktiv
73147554,1480,5567097117,Kitas Ekonomi,Aktiv
53462953,1283,2120001157,Olympiaskolan,Aktiv
25157363,0767,2120000654,Timsfors skola,Aktiv
59001324,0767,2120000654,Strömsnässkolan 7-9,Aktiv
22174854,2180,2120002338,Sofiedal grundsärskola,Vilande
17361097,0380,5564586716,Vittra Uppsala,Planerad
18691102,1880,5562575786,Praktiska Gymnasiet Örebro,Aktiv
38969377,2181,2120002346,Jernvallskolan,Aktiv
53803818,2181,2120002346,Björksätraskolan F-9,Aktiv
26387738,0581,2120000456,Borgsmoskolan 1,Aktiv
61866166,0581,2120000456,Ljuraskolan 1,Aktiv
82754341,0581,2120000456,Ljuraskolan 2,Aktiv
48631026,0581,2120000456,Sandbyängsskolan 2,Aktiv
63512597,0581,2120000456,Tamburinens skola,Aktiv
28720531,0480,2520027166,Fritidshemmet Prästkragen,Aktiv
98209377,1402,2120001272,Björndammens skola 7-9,Vilande
89146220,1402,2120001272,Furulunds skola 6-9,Vilande
49402521,1402,2120001272,Öjersjö Brunn skola 4-9,Vilande
81780977,0486,2120000365,Fogdö skola,Vilande
63849173,2326,2120002502,Svenstaviks skola 7-9,Aktiv
69241230,1283,5562575786,Praktiska Gymnasiet Helsingborg,Aktiv
17849518,0680,5562575786,Praktiska Gymnasiet Jönköping,Aktiv
99946034,0480,2120002940,Nyköpings gymnasium Gripen2,Vilande
65247211,1280,2120001124,Komvux Malmö Norra Sorgenfri Ro 3,Vilande
44869035,1280,2120001124,Komvux Malmö Södervärn SFI Ro1,Aktiv
99243321,1493,2120001686,Grangärdets skola,Aktiv
17581579,1493,2120001686,Högelidsskolan F-6,Aktiv
12357670,1493,2120001686,Tidavads skola,Aktiv
26092677,1315,2120001207,Hylte kommuns enhet för nyanlända,Vilande
71069736,1283,5564586716,Vittra Adolfsberg,Aktiv
54395430,0680,2120000530,Grennaskolan GY,Vilande
13448410,1273,2120000902,Visseltoftaskolan F-3,Vilande
69699568,0764,2120000639,Mohedaskolan,Aktiv
37517404,0181,5561203679,NTI Gymnasiet Södertälje,Aktiv
98442801,1283,5590236500,Vasalundsskolan,Aktiv
36869352,2380,2220001636,"Jämtlands Gymn, Wargentin 1D",Vilande
15149235,2321,2220001636,"Jämtlands Gymn, Åre 1",Aktiv
28248021,1282,2120001140,Öresundsgymnasiet Landskrona,Aktiv
58837238,0821,2120000688,Berga skola,Vilande
66008017,1481,2120001363,Pepparedsskolan,Vilande
68950088,2480,8024231154,Hannaskolan,Aktiv
57408646,0765,7696194153,Bråthults Friskola,Aktiv
28837069,0765,7696194153,Virestads Friskola,Aktiv
26957025,0380,2120003005,Rosendalsgymnasiet,Aktiv
88046548,2062,2120002213,Ängsskolan F-9,Aktiv
89028306,1083,2120000852,Central Insamlingsenhet Enskild verksamhet,Vilande
62958817,1904,2120002023,Klockarbergsskolan,Aktiv
48414975,1485,2120001397,"Uddevalla gymnasieskola, Agneberg SASPINT",Vilande
64778399,1281,2120001132,Fågelskolan F-3,Vilande
85003464,1080,5564624368,Internationella Engelska Skolan Karlskrona,Planerad
61187168,0115,5564624368,Internationella Engelska Skolan Vallentuna,Planerad
23008517,1402,5564624368,Internationella Engelska Skolan Partille,Planerad
76444889,1261,5564624368,Internationella Engelska Skolan Kävlinge,Planerad
61701709,1480,2120001355,Hvitfeldtska gymnasiet 1,Aktiv
11179442,1480,2120001355,Bräckegymnasiet 5,Vilande
20699742,0162,2120000126,Danderyds Gymnasium Ekonomi,Vilande
21663998,0162,2120000126,Danderyds Gymnasium Naturvetenskap och Teknik,Vilande
20595770,0162,2120000126,"Danderyds Gymnasium Samhällsvetenskap, Naturvetenskap- och Samhällsvetenskap med varianterna bild, m",Vilande
34336190,1480,2120001355,Polhemsgymnasiet 2,Aktiv
52107834,1487,2120001538,Granåsskolan,Vilande
31537066,1287,2120001199,Söderslättsgymnasiet Ro 2,Vilande
61370910,1480,8024910435,Sahan Skolan,Vilande
14701551,1490,2120001561,Björkängsgymnasiet A,Vilande
33201730,1490,2120001561,Björkängsgymnasiet B,Vilande
66102898,1290,2120000951,Näsby skola L,Vilande
66206870,1290,2120000951,Näsby skola M,Vilande
76065130,1290,2120000951,Gamlegårdskolan L,Vilande
76170779,1290,2120000951,Gamlegårdskolan M,Vilande
89142560,1290,2120000951,Ängsskolans särskola,Vilande
98871161,1381,2120001223,Blåkulla skola,Vilande
48862305,0581,2120000456,Bråvallagymnasiet 2,Aktiv
93486713,1463,5590488465,Strömma Naturbrukscentrum,Aktiv
83703560,1290,2120000951,Fröknegårdens särskola,Vilande
36929920,0481,5564948403,Nat. Språkutv.center Oxelösund,Vilande
36425969,2161,2120002320,Färila skola,Aktiv
88534520,1490,5565715892,Realgymnasiet Borås,Aktiv
45249416,1487,2120001538,Rösebo skola,Aktiv
93270739,1280,2120001124,Rosengårdsskolan F-6,Aktiv
95410474,0488,2120002957,Vitalisskolan,Aktiv
82888663,1766,2120001843,Sunne Gymnasieskola / Södra Viken,Aktiv
96558008,0680,2120000530,Rosenlundsskolan 7-9,Aktiv
36538130,0680,2120000530,Rosenlundsskolan F-6,Aktiv
77358716,1407,2120001280,Öckerö Seglande gymnasieskola,Aktiv
98215830,0481,2120000324,Ramdalsskolan,Aktiv
35503602,2514,2120002692,Innanbäckens skola,Aktiv
94022488,2514,2120002692,Ytterbyns skola,Aktiv
16361868,2080,2120002221,Kristinegymnasiet RO3,Vilande
94144023,2080,2120002221,Lugnetgymnasiet RO4,Aktiv
33011928,0583,2120002817,Södra skolan F-6,Aktiv
94163432,0980,2120000803,Högbyskolan,Aktiv
37203128,0980,2120000803,Öja skola,Aktiv
88965786,0980,2120000803,Stånga skola,Aktiv
17588092,0980,2120000803,Havdhem skola,Aktiv
67114690,1441,2120001447,Stenkulan F-3,Aktiv
16198647,1496,2120001710,Västerhöjd enhet 875,Vilande
22601648,1480,2120001355,Center för Språkintroduktion Lindholmen 2,Vilande
87844327,0180,5563758399,Sjölins Gymnasium Vasastan,Aktiv
45457556,0513,2120000399,Bäckskolans grundsärskola,Vilande
95471454,2580,2120002742,Kyrkbyskolan,Vilande
54472329,2580,2120002742,Vitåskolan,Vilande
97104132,0191,5566814504,Sveriges Ridgymnasium Sigtuna,Vilande
76405602,0163,5567256259,Akadeva AB,Vilande
32003298,1273,2120000902,Naturbruksgymnasiet Osby,Vilande
41385554,1480,5569862617,SamJobb-Samverkan och Jobb AB,Vilande
24580947,0764,2120000639,"Allbo lärcenter, SFI",Vilande
49668978,0764,2120000639,Lärvux,Vilande
82849173,0380,2120003005,Sprintgymnasiet,Vilande
96805828,0127,2120002882,Vux1,Aktiv
96113241,0127,2120002882,Vux2,Aktiv
59734510,2080,5562575786,Praktiska Gymnasiet Falun,Aktiv
28380514,1380,2120001215,Andersbergsskolan 3,Vilande
82372485,0114,5568089246,Väsby Yrkesgymnasium,Vilande
25074310,0180,5565980942,Sofiaängens skola gy,Vilande
72683730,1280,2120001124,Komvux Malmö Kombinationsutbildningar,Aktiv
13481239,1284,2120001165,Enheten för flerspråkighet,Aktiv
24262436,1383,2120001249,Almers grundsärskola enhet 3,Vilande
65421426,1880,2120001967,Rudbecksgymnasiet,Aktiv
83659840,1495,2120001702,Grundsärskolan Viktoria,Vilande
43726254,1495,2120001702,Gymnasiesärskolan Katedral,Vilande
75974498,1442,2120001454,Asklanda skola,Aktiv
15049834,0183,2120000175,Lilla Alby skola,Aktiv
29725783,1442,2120001454,Fridhemskolan,Aktiv
84179524,1442,2120001454,Gullhögskolan,Aktiv
43602822,1442,2120001454,Lindbladskolan 4-6,Aktiv
83517039,1442,2120001454,Lindbladskolan F-3,Aktiv
33132452,0180,8020170794,Grillska Gymnasiet Liljeholmen,Aktiv
88657987,1982,2120002106,Risbroskolan,Aktiv
94359613,0880,5565715892,Realgymnasiet Kalmar,Planerad
88468015,1290,5565715892,Realgymnasiet Kristianstad,Planerad
30345620,1080,5565715892,Realgymnasiet Karlskrona,Planerad
84159690,1384,2120001256,Varlaskolan Sydväst,Aktiv
55823847,0684,2120000563,"Aleholm, komvux",Aktiv
90290154,1286,5562575786,Praktiska Gymnasiet Ystad,Aktiv
20971516,0481,2120000324,Campus Oxelösund komvux,Aktiv
85047810,0481,2120000324,Campus Oxelösund SFI,Aktiv
39549479,1480,2120001355,Katrinelundsgymnasiet 5,Aktiv
35647481,1480,2120001355,Katrinelundsgymnasiet 4,Aktiv
70833947,1276,2120000928,Vuxenutbildningen SFI,Vilande
37053461,1080,2120000829,Saltöskolan F-6,Aktiv
88401011,1080,2120000829,Hästöskolan F-6,Aktiv
75914181,1885,2120002015,Lindeskolan LS 2,Aktiv
95817060,1488,2120001546,Sjuntorpskolan F-3,Aktiv
46989514,1488,2120001546,Upphärads skola F-5,Aktiv
79515038,0582,2120000464,Bergaskolan,Aktiv
99838438,0126,5565970471,NTI Gymnasiet Södertörn,Aktiv
79290328,1280,2120001124,Malmö Latinskolan Ro1 gysär,Vilande
46441469,0180,5567614606,Studybuddy AB,Vilande
86568988,1488,2120001546,Lextorpsskolan F-6,Aktiv
53198027,0582,2120000464,Nyströmska skolan SFI,Vilande
73480296,2480,2120002627,Ersängsskolan Träningsskola,Vilande
85022948,2080,5590953278,Scandinavian College Dalarna,Vilande
54927401,0780,2120000662,Kungsmadskolan 3,Aktiv
52088732,1383,2120001249,Lindbergs skola F-3 och fritidshem,Aktiv
18685784,1380,2120001215,Jutarumsskolan F-4,Aktiv
38880984,2380,2220001636,"Jämtlands Gymn, Wargentin 1A",Aktiv
24218413,1383,2120001249,Sibbarps skola F-6 och fritidshem,Aktiv
94296255,0980,2120000803,Klinte Resursskola,Vilande
27591331,0980,2120000803,Terra Novaskolan,Aktiv
63279573,1267,2120001116,Enebackeskolan,Aktiv
50905672,0188,2120000217,Rådmansö skola,Aktiv
68931457,1280,5568902653,Thoren Innovation School Malmö,Vilande
82472089,1283,2120001157,John Blund Fritids,Aktiv
45017565,0188,2120000217,Norrgärdsskolan,Vilande
49588809,0188,2120000217,Norrgärdsskolan,Vilande
68050323,0188,2120000217,Norrgärdsskolan,Vilande
86780202,0483,2120000340,Västra skolan,Vilande
90281349,0483,2120000340,Östra skolan,Vilande
65414633,1280,2120001124,Komvux Malmö ro 4 Hermods - Yrkes,Aktiv
12872502,1498,2120001736,Hellids grundskola 7-9,Aktiv
13490988,1441,2120001447,Lekstorpsskolan B,Aktiv
91792285,0180,2120000142,"Spånga Gymnasium 91792285, sär",Aktiv
52333875,0180,2120000142,Spånga Gymnasium 52333875,Aktiv
14579090,1493,2120001686,Vadsbogymnasiet enhet 4,Aktiv
28872974,2380,2220001636,"Jämtlands Gymn, Wargentin 1B",Aktiv
32239920,2380,2220001636,"Jämtlands Gymn, Fyrvalla 3A",Aktiv
84520303,0115,2120000027,Hagaskolan,Aktiv
97075871,1435,2120001348,Hedeskolan,Vilande
42517257,2581,2120002759,Grans naturbruksgymnasium,Aktiv
99835038,1280,2120001124,Höjaskolan,Aktiv
82797662,1280,2120001124,Johannesskolan,Aktiv
21120076,1280,2120001124,Klagshamnsskolan,Aktiv
49165163,1280,2120001124,Kungshögsskolan,Aktiv
18974693,0163,2120000134,Rudbeck Estetiska programmet,Vilande
76127242,0380,2120003005,Johannesbäcksskolan,Aktiv
28006480,0380,2120003005,Vaksalaskolan,Aktiv
52423184,0186,2120000191,Bo skola,Aktiv
36015411,1496,2120001710,Varola skola,Vilande
61234191,0191,2120000225,Valstaskolan 7-9,Vilande
42985608,0180,2120000142,Tensta gymnasium 42985608,Vilande
50695003,1480,2120001355,Amhultsgården,Vilande
65831760,2380,2120002528,Parkskolan,Aktiv
34540901,0180,8020058908,Estniska Skolan i Stockholm,Aktiv
95045408,2132,2120002312,Bergsjö Centralskola år 7-9,Vilande
84505218,2132,2120002312,Bergsjö skola år 4-6,Vilande
78491090,0191,2120000225,Tingvallaskolan,Aktiv
20662016,1880,2120001967,Almbro skola,Aktiv
19204501,1880,2120001967,Tegnérskolan,Aktiv
30929461,1880,2120001967,Brukets skola,Aktiv
17643323,1880,2120001967,Hagaskolan,Aktiv
69153809,1780,2120001850,Ilandsskolan Väst,Vilande
54896448,1490,2120001561,Sven Eriksonsgymnasiet D,Vilande
98132436,1490,2120001561,Viskastrandsgymnasiet C,Aktiv
44459183,1280,2120001124,Fågelbacksskolan,Aktiv
71454628,1280,2120001124,Malmö Idrottsgrundskola,Aktiv
51220608,1280,2120001124,Kommunikationsskolan,Aktiv
66836744,1280,2120001124,Kryddgårdsskolan,Aktiv
92335332,1473,2120001678,Bryggans skola,Aktiv
