Skolenhetskod;Skolenhetsnamn;Huvudman_Namn
16013826;Prolympia, Norrköping;Prolympia AB
33468088;Vuollerims Friskola;Vuollerims Friskola AB
52152242;Rudenschöldskolan;LIDKÖPINGS KOMMUN
98713812;Toftanässkolan;MALMÖ KOMMUN
31638941;Valåsskolan;MÖLNDALS KOMMUN
89498184;Resursskolan UngArt;UNGART AB
19741742;Vägga gymnasieskola 3;KARLSHAMNS KOMMUN
25720752;Falu Frigymnasium;FALU FRIGYMNASIUM AKTIEBOLAG
61161774;De la Gardiegymnasiet, enhet 3;LIDKÖPINGS KOMMUN
66491596;Kitas Natur;Kitas utbildning AB
67628478;Mälardalens Tekniska Gymnasium;Mälardalens Tekniska Gymnasium Aktiebolag
69983740;Kitas Gymnasium;Kitas utbildning AB
82163292;ForshagaAkademin;ForshagaAkademin AB
28023411;Östra Torpskolan F-6;KARLSKRONA KOMMUN
95635879;Öresundsgymnasiets Gymnasiesärskola;LANDSKRONA KOMMUN
30030749;Västervångskolans grundsärskola;LANDSKRONA KOMMUN
63170746;Vuxenutbildningen Särvux;KLIPPANS KOMMUN
58862639;Central insamlingsenhet;KARLSKRONA KOMMUN
81424988;Mariebergsskolan;KARLSTADS KOMMUN
60118391;Entréskolan Järfälla;AmiSgo AB
93403903;Entréskolan Sollentuna;AmiSgo AB
90711097;Jacobiskolan;STIFTELSEN FÖR BILDNING I SVERIGE
92253510;Stenhammarskolan 4-6;FLENS KOMMUN
81546814;Stenhammarskolan 7-9;FLENS KOMMUN
93189258;Stenhammarskolan F-3;FLENS KOMMUN
80621158;Råsslaskolan 1;NORRKÖPINGS KOMMUN
22019000;Södertörns friskola;SÖDERTÖRNS FRISKOLA EKONOMISK FÖRENING
48225182;Selja-Långlets friskola;Selja-Långlets friskola ekonomiska förening
32071849;Europaskolan Strängnäs;Europaskolan Utbildning AB
77441364;Parkskolan;SVALÖVS KOMMUN
24339301;Europaportens grundskola;Europaportens Skolor AB
87686617;Olympica;OLYMPICA AB
36628382;Iljansbodaskolan;JÄRFÄLLA KOMMUN
46239244;Kolarängskolan;JÄRFÄLLA KOMMUN
57755652;Neptuniskolan;JÄRFÄLLA KOMMUN
81021363;Herrestaskolan;JÄRFÄLLA KOMMUN
58173761;Olovslundskolan;JÄRFÄLLA KOMMUN
39015433;Hörby Lärcenter, komvux;HÖRBY KOMMUN
25433795;Kiladalens norra skola;NYKÖPINGS KOMMUN
91419745;Kiladalens södra skola;NYKÖPINGS KOMMUN
23250615;Strandskolan;JÖNKÖPINGS KRISTNA SKOLFÖRENING
35366805;Stockholms Estetiska Gymnasium;STOCKHOLMS ESTETISKA GYMNASIUM EK. FÖR.
92895758;Aspen Montessori;ASPEN MONTESSORI
45136198;Lonnhyttans skola;Granbergsdals skola, Ekonomisk förening
53882684;Mimergården;ÖSTERSUNDS KOMMUN
41303400;Ekholmsskolan;STOCKHOLMS KOMMUN
53651817;Älvsåkersskolan 4-6;KUNGSBACKA KOMMUN
24370775;Åbymoskolan 2;NORRKÖPINGS KOMMUN
62727103;Tavelbäcksskolan;ÖSTERSUNDS KOMMUN
65392939;Ängelholms gymnasieskola Ro 2;ÄNGELHOLMS KOMMUN
98696836;Ängelholms gymnasieskola Ro 3;ÄNGELHOLMS KOMMUN
82160887;Ängelholms gymnasieskola Ro 4;ÄNGELHOLMS KOMMUN
23175129;Ängelholms gymnasieskola Ro 5;ÄNGELHOLMS KOMMUN
36810746;Kungsholmens grundskola 7-9;STOCKHOLMS KOMMUN
77473709;Kungsholmens grundskola F-6;STOCKHOLMS KOMMUN
62394711;Snörrumskolan;DALS-EDS KOMMUN
19024032;Kastanjeskolan;FÖRENINGEN KASTANJESKOLAN
19755937;Tingdalsskolan;ÅSTORPS KOMMUN
22909101;Waldorfskolan i Karlshamn;DAGGKÅPAN EKONOMISK FÖRENING
14393286;Särskolan Öjersjö Storegård;PARTILLE KOMMUN
87516620;Domarhagsskolan;AVESTA KOMMUN
30520409;Fridhemsskolans gymnasieenhet;VÄSTERÅS KOMMUN
67479283;Stjerneskolan, vux;TORSBY KOMMUN
92204274;NTI Gymnasiet Gärdet;NTI Gymnasiet Ellips AB
33483276;Fenix Vux 2;VAGGERYDS KOMMUN
38030036;Bondstorps skola;VAGGERYDS KOMMUN
82420962;Byarums skola;VAGGERYDS KOMMUN
95093042;Hoks skola;VAGGERYDS KOMMUN
84329061;Nils Ericsonsgymnasiet 1;Kunskapsförbundet Väst
84225089;Nils Ericsonsgymnasiet 2;Kunskapsförbundet Väst
28784668;Grundsärskola SO2;ÄNGELHOLMS KOMMUN
75746018;Mikaeliskolan;STIFTELSEN MIKAELISKOLAN I NYKÖPING
56187883;Skärgårdsgymnasiet;Au Claves AB
36409468;Grenadjärskolan;STIFTELSEN GRENADJÄRSKOLAN
41584790;Järna friskola;Montessori Förskolor och Skolor i Sverige AB
45133950;Freinetskolan Mimer;Freinetskolan Mimer ekonomisk förening
50194424;Pauliskolan;STIFTELSEN PAULISKOLAN
54601339;Tranängskolan F-6;TRANEMO KOMMUN
56540171;Rinnebäcksskolan;KÄVLINGE KOMMUN
57106833;Vendestigens skola;Vendestigens Förskola och Skola AB
65494903;Friskolan Mosaik;Friskolan Mosaik i Falun ekonomisk förening
69909271;Resarö skola;VAXHOLMS KOMMUN
71629249;G-klavens fristående skola;G-KLAVEN AB
84580153;I Ur och Skur Skabersjöskolan;SKABERSJÖBYGDENS SKOLA EK. FÖR.
93919365;Musikugglan;TANT GRÖN AB
74696775;Brogårdaskolan;BJUVS KOMMUN
50013979;Tingbergsskolan B;KUNGSBACKA KOMMUN
69028103;Tingbergsskolan A-C;KUNGSBACKA KOMMUN
71262305;Vasagymnasiet;ARBOGA KOMMUN
10982752;Centrumskolan i Hbg;CENTRUMSKOLAN I HELSINGBORG AKTIEBOLAG
35718563;Fyren Ekalmens skola;Fyren EkAlmen AB
54367867;Prolympia Göteborg;Gothenburg Association AB
16891307;Jättestenskolan;GRUMS KOMMUN
45101776;Gymnasieutbildningen i Höör;HÖÖRS KOMMUN
91557814;Komvux i Höör;HÖÖRS KOMMUN
55731282;Komvux, särvux;HÖÖRS KOMMUN
28967085;Ingridskolan, gymnasiet;INGRIDSKOLAN AB
53259263;Ingridskolan, grundskola;INGRIDSKOLAN AB
10617819;Manhemsskolan;KALIX KOMMUN
18091973;Furuhedsskolan 2;KALIX KOMMUN
99475738;Odensvi skola;KÖPINGS KOMMUN
62694008;Högelidsskolan 7-9;MARIESTADS KOMMUN
20061769;Sjömansskolan;SJÖMANSSKOLAN STOCKHOLM AB
68814096;Kyrkskolan;SMEDJEBACKENS KOMMUN
87981276;Vad skola;SMEDJEBACKENS KOMMUN
46191968;Hjärupslundsskolan;STAFFANSTORPS KOMMUN
48847282;Ingrid Segerstedts gymnasium;STIFTELSEN INGRID SEGERSTEDTS GYMNASIUM
89630851;Vackstanäsgymnasiet;STIFTELSEN OTTO OCH SIGNE BROMS HEMSKOLA Å VACKSTANÄS
91400222;Vasaskolan;STRÄNGNÄS KOMMUN
82584417;Fjällsjöskolan;STRÖMSUNDS KOMMUN
98006060;Serresjöskolan;TRELLEBORGS KOMMUN
25356960;Viskastrandsgymnasiet A;BORÅS KOMMUN
35670336;Sannarpsgymnasiet 1;HALMSTADS KOMMUN
10609045;Lagmansskolan Beta MH;MJÖLBY KOMMUN
68285560;YBC, Young Business Creatives;NACKA KOMMUN
45945515;Emmaskolan F-6;GÄLLIVARE KOMMUN
13644940;Komvux, SFI;KÖPINGS KOMMUN
14379396;Djupadalsskolan;MALMÖ KOMMUN
16037900;Högaholmsskolan;MALMÖ KOMMUN
98745015;Kroksbäcksskolan;MALMÖ KOMMUN
29300350;Mellanhedsskolan;MALMÖ KOMMUN
15068136;Sundsbroskolan;MALMÖ KOMMUN
16762245;Edessaskolan;STIFTELSEN BAR HEBREUS
10155751;Ängarydsskolan;TRANÅS KOMMUN
65431245;Mimers Brunn Vittjärv;Mimers Vittjärv AB
60088179;Teknikum 1;VÄXJÖ KOMMUN
28391147;Teknikum 2;VÄXJÖ KOMMUN
91748148;Hälsingegymnasiet;Hälsingegymnasiet AB
83896681;Centuriaskolan;021 Skol AB
48487229;Sanda skola;REGION GOTLAND
52791160;Tjelvarskolan;REGION GOTLAND
18828813;Borns Friskola;FÖRÄLDRAKOOPERATIVET BORNS SKOLA EK.FÖRENING
29524966;Freinetskolan Kastanjen;FREINETSKOLAN KASTANJEN EKONOMISK FÖRENING
81683738;Snapphaneskolan;ÖSTRA GÖINGE KOMMUN
34882305;Tågarpskolan;BURLÖVS KOMMUN
76938537;Montessoriskolan Casa;STIFTELSEN CASA DEI BAMBINI
13390547;Hannaskolan;STIFTELSEN HANNASKOLAN
37995642;Norrevångsskolan 7-9;ESLÖVS KOMMUN
94353434;Bräckegymnasiet 2;GÖTEBORGS KOMMUN
90099336;Katrinelundsgymnasiet 2;GÖTEBORGS KOMMUN
88894245;Dahlstiernska gymnasiet;MELLERUDS KOMMUN
49291677;Åsebro skola;MELLERUDS KOMMUN
37842901;Åsen skola;MELLERUDS KOMMUN
72266906;Rekarnegymnasiet 1;ESKILSTUNA KOMMUN
63826797;Internationella Engelska Skolan Lund;Internationella Engelska Skolan i Sverige AB
51207895;Centralskolan;ÅTVIDABERGS KOMMUN
45111086;Västerås Idrottsgymnasium;Västerås Idrottsgymnasium AB
21312503;Elektrikergymnasiet;Stockholms El-utbildning AB
74919147;Fridagymnasiet, Vänersborg;Fridaskolorna AB
89837629;GTI:s gymnasieskola;GÖTEBORGS TEKNISKA INSTITUT AKTIEBOLAG
15416514;Aspenskolan;TIERPS KOMMUN
35386625;Kyrkskolan;TIERPS KOMMUN
41675828;Ramlösa friskola;RAMLÖSA FRISKOLA AB
10402832;Kvidinge skola;ÅSTORPS KOMMUN
30762346;Nordiska Musikgymnasiet;NORDISKA MUSIKGYMNASIET AB
79829846;REFIS Rörentr. friskola Sthlm;REFIS Rör- och Elentreprenörernas friskola i Stockholm AB
50769996;Lärvux;KÖPINGS KOMMUN
42434583;Brunns skola;VÄRMDÖ KOMMUN
36066067;Musikskolan Lilla Akademien;MUSIKSKOLAN LILLA AKADEMIEN AB
83374651;Lilla Akademiens Musikgymn.;MUSIKSKOLAN LILLA AKADEMIEN AB
89732023;Vikarbyns skola;RÄTTVIKS KOMMUN
23181842;Sätra skola;RÄTTVIKS KOMMUN
56679384;Bäckängsgymnasiet C;BORÅS KOMMUN
10360193;Profilskolan;Profilskolan AB
40577779;Almåsskolan;MÖLNDALS KOMMUN
27489448;Fridaskolan, Uddevalla;Fridaskolorna AB
76033436;Barkarbyskolan;JÄRFÄLLA KOMMUN
88712672;Söraskolan;ÖSTERÅKERS KOMMUN
15392571;Kommunal vuxenutbildning;ÖSTERSUNDS KOMMUN
74902204;Gumaeliusskolan;ÖREBRO KOMMUN
28743952;Svågadalens skola;HUDIKSVALLS KOMMUN
28770304;Agnesfrids gymnasium;MALMÖ KOMMUN
29124453;Nyhamre skola F-6;BOLLNÄS KOMMUN
54555485;Ribersborgsskolan;MALMÖ KOMMUN
66634449;Vittra Jakobsberg;Vittraskolorna AB
73255943;Liatorps skola;ÄLMHULTS KOMMUN
93625542;Diö skola;ÄLMHULTS KOMMUN
28661237;Norrevångsskolan F-6;ESLÖVS KOMMUN
78918091;Kyrkskolan;TÄBY KOMMUN
18339846;Pitholmsskolan 7-9;PITEÅ KOMMUN
69993304;Solanderskolan;PITEÅ KOMMUN
85082785;Stenkulaskolan;MALMÖ KOMMUN
44392995;Nicolaiskolan;HELSINGBORGS KOMMUN
98541468;Peabskolan Malmö;Peabskolan AB
63542436;Sätunaskolan;SIGTUNA KOMMUN
78231062;S:t Petri skola;MALMÖ KOMMUN
17441553;Kulladalsskolan;MALMÖ KOMMUN
80678068;Victoriaskolan;TYSKA SKOLAN GÖTEBORG EK. FÖR.
98816098;Sverigefinska sk. i Eskilstuna;STIFTELSEN SVERIGEFINSKA SKOLAN I E-TUNA /ERK/
94943347;S:t Eriks Katolska Skola;STIFTELSEN S:T ERIKS KATOLSKA SKOLA
24429776;Klinteskolan;REGION GOTLAND
51545844;Långseruds Friskola;Långseruds Friskola ekonomisk förening
40579483;British Junior Primary, Eskilstuna;British Schools AB
44240250;Nifsarpsskolan fri;Eksjö Fordonsutbildning AB
96622957;Backeboskolan;Backeboskolan ekonomisk förening
56737496;Ållebergsgymnasiet B;FALKÖPINGS KOMMUN
50048111;British Junior Secondary, Eskilstuna;British Schools AB
18952472;Prolympia, Sundsvall;ULNO AB
76981284;Ferlinskolan;FILIPSTADS KOMMUN
83025413;Kvistbergsskolan;TORSBY KOMMUN
42202683;Kungsholmens friskola;KUNGSHOLMENS FRISKOLA EKONOMISK FÖRENING
24194577;Ekebyholmsskolan, gy;EKEBYHOLMSSKOLAN AKTIEBOLAG
98239828;Ekebyholmsskolan, gr;EKEBYHOLMSSKOLAN AKTIEBOLAG
40386043;Tumba gymnasium;BOTKYRKA KOMMUN
59234401;Prästängsskolan;ALVESTA KOMMUN
80072686;Montessoriskolan Pärlan;MONTESSORISKOLAN I SKENE AKTIEBOLAG
46707989;Katedralskolan 1;VÄXJÖ KOMMUN
44836298;Sigfridsborgs skola;NACKA KOMMUN
16969143;Hagnässkolan;UPPLANDS-BRO KOMMUN
24606968;Härneviskolan;UPPLANDS-BRO KOMMUN
16185651;Lorensborgsskolan;MALMÖ KOMMUN
13329040;Gemla skola;VÄXJÖ KOMMUN
16554575;Sven Eriksonsgymnasiet B;BORÅS KOMMUN
81237364;Ulriksbergskolan;VÄXJÖ KOMMUN
60462003;Vuxenutbildning/SFI;KUNGSÖRS KOMMUN
64800703;Manar Al-Houda Sv-arab.skola;LYRANS LÄROVERK
24403363;Central Insamlingsenhet Enskild verksamhet;LUNDS KOMMUN
23152826;Central Insamlingsenhet, Kommunal verksamhet;LUNDS KOMMUN
28301176;Nordalsskolan;MELLERUDS KOMMUN
53764779;Rådaskolan;MELLERUDS KOMMUN
85051905;Glasbruksskolan;MALMÖ KOMMUN
95992977;Kungsörs Gymnasium;KUNGSÖRS KOMMUN
48438396;Sannarpsgymnasiet 3;HALMSTADS KOMMUN
44868721;Möllebacksskolan M;SÖLVESBORGS KOMMUN
77537602;Hudikskolan 7-9;Hudikskolan AB
77894796;Hudikskolan F-6;Hudikskolan AB
74513000;Vuxenutbildningen Komvux;UPPLANDS VÄSBY KOMMUN
80131736;Norrsätraskolan;SANDVIKENS KOMMUN
57121161;Sandtorpsskolan 2;NORRKÖPINGS KOMMUN
92538683;Ekhagaskolan;MÖLNDALS KOMMUN
34605382;Lendahlsskolan F;ALINGSÅS KOMMUN
92508420;Vuxenutbildningen, SFI, särvux RO 16;Hälsinglands Utbildningsförbund
29052042;CFL SFI, vårdvux, RO14;Hälsinglands Utbildningsförbund
90312942;Staffangymnasiet RO7;Hälsinglands Utbildningsförbund
52024359;Komvux, särvux RO12;Hälsinglands Utbildningsförbund
10293256;Komvux, SFI, RO13;Hälsinglands Utbildningsförbund
88148293;Lindholmens tekniska gymnasium 8;GÖTEBORGS KOMMUN
72998905;Angeredsgymnasiet 1;GÖTEBORGS KOMMUN
99918090;Skinteboskolan;GÖTEBORGS KOMMUN
53993567;Internationella Engelska Skolan Umeå;Internationella Engelska Skolan i Sverige AB
37648787;Stålvallaskolan;FILIPSTADS KOMMUN
87243457;Nordmarks skola;FILIPSTADS KOMMUN
20930818;Centralskolan Hoting;STRÖMSUNDS KOMMUN
92795907;Kyrktåsjö skola;STRÖMSUNDS KOMMUN
90124360;Bergundaskolan;VÄXJÖ KOMMUN
36690072;Alterdalens skola;PITEÅ KOMMUN
64778400;Sollebrunns skola F-6;ALINGSÅS KOMMUN
95878068;Vågbroskolan;SÖDERHAMNS KOMMUN
41028102;Waldorfbarnträdgården Solvinden;WALDORFBARNTRÄDGÅRDEN SOLVINDEN
12926770;Einar Hansengymnasiet;FOLKUNIVERSITETET STIFTELSEN KURS- VERKSAMHETEN VID LUNDS UNIVERSITET
55052496;Lyckåkerskolan;REGION GOTLAND
70119254;Peabskolan Solna;Peabskolan AB
73190753;Risbergska gymnasiet;ÖREBRO KOMMUN
51643587;Uddevalla gymnasieskola, Agneberg HU;UDDEVALLA KOMMUN
31288135;Lillåns Södra skola;ÖREBRO KOMMUN
56083984;Västerviks gymnasium Ro 3 S;VÄSTERVIKS KOMMUN
90260899;Rudbecksgymnasiet 1;TIDAHOLMS KOMMUN
82224915;Skolgårda skola 7-9;MOTALA KOMMUN
78731821;Skolgårda skola F-6;MOTALA KOMMUN
70165577;Yttermalungs skola;MALUNG-SÄLENS KOMMUN
99153989;Öje skola;MALUNG-SÄLENS KOMMUN
96036089;Gunnerud skola;EDA KOMMUN
52904254;Bergsnässkolan;AVESTA KOMMUN
77815944;Fredrika Bremergymnasiet Fredrik;HANINGE KOMMUN
28750488;Rätans skola;BERGS KOMMUN
90462401;Klövsjö skola;BERGS KOMMUN
10035236;Söderbymalmsskolan;HANINGE KOMMUN
68169402;Kyrkskolan F-6;HÄSSLEHOLMS KOMMUN
26959521;Ljungdalaskolan sär;HÄSSLEHOLMS KOMMUN
57850353;Sverigefinska skolan, Botkyrka;SVERIGEFINSKA SKOLAN I BOTKYRKA AKTIEBOLAG
35035671;Åkrahällskolan Akra01;NYBRO KOMMUN
69136482;Finningeskolan;STRÄNGNÄS KOMMUN
40423210;Hultsbergsskolan 9-9;KARLSTADS KOMMUN
15037421;Hultsbergsskolan F-4;KARLSTADS KOMMUN
22807677;Näsbydalskolan;TÄBY KOMMUN
26734780;Hersby gymnasium NATEIM;LIDINGÖ KOMMUN
82593738;Annelundsskolan;KÄVLINGE KOMMUN
24502019;Fridhemsgymnasiet SI;UMEÅ KOMMUN
27489137;Elteknikbranschens gymnasium;Elteknikbranschens Gymnasium i Nyköping AB
89876778;Augustenborgsskolan;MALMÖ KOMMUN
89860200;Öreryds skola;GISLAVEDS KOMMUN
94555983;Särgrundskola;VILHELMINA KOMMUN
53175499;Tyska skolan;TYSKA SKOLFÖRENINGEN
97922212;Korsavadsskolan 4-6;SIMRISHAMNS KOMMUN
47450374;Herrängs skola;NORRTÄLJE KOMMUN
40374839;Närtuna skola;NORRTÄLJE KOMMUN
21035388;Singö skola;NORRTÄLJE KOMMUN
98041227;Per Olsskolan;FAGERSTA KOMMUN
82471875;Älvdalsskolan;HÖRBY KOMMUN
67661912;Gyttorps skola;NORA KOMMUN
63261847;KomVux Nora;NORA KOMMUN
79268061;KomVux Nora, SFI;NORA KOMMUN
17172958;KomVux Nora, särvux;NORA KOMMUN
33979629;Lärkesskolan;NORA KOMMUN
56858061;Söderby friskola;SÖDERBY FRISKOLA EKONOMISK FÖRENING
43549980;Näsums skola;BROMÖLLA KOMMUN
96156589;Framtidsgymnasiet i Västerås;Praktiska Utbildning AB
75565366;Myrstugubergets Friskola;Mybe AB
77379848;Årjängs gymnasieskola;ÅRJÄNGS KOMMUN
32148182;Årjängs gymnasieskola vuxenutb;ÅRJÄNGS KOMMUN
53479006;Årjängs gymnasieskola, SFI;ÅRJÄNGS KOMMUN
55163663;Alvikenskolan;BROMÖLLA KOMMUN
35773667;Fjällsta skola;BRÄCKE KOMMUN
71472793;Bryggeriets Gymnasium;BRYGGERIETS BILDNINGS BYRÅ (BBB)
29262102;Södra Skolan;GRUMS KOMMUN
82183259;Nya Läroverket;Nya läroverket Luleå AB
25110768;Östervåla skola F-6;HEBY KOMMUN
95046058;Mega Musik gymnasium;MEGA MUSIK GYMNASIESKOLA AB
60281362;Fränstaskolan;ÅNGE KOMMUN
63682476;Grantomta Montessoriskola;GRANTOMTA MONTESSORISTIFTELSE
36374693;Heby skola 7-9;HEBY KOMMUN
10455110;Knippla skola;ÖCKERÖ KOMMUN
96138660;Grytnäs friskola;Avesta-Grytnäs pastorat
31894674;Haganässkolan;ÅSTORPS KOMMUN
73867676;Rågenskolan;ÅSTORPS KOMMUN
28184857;Lundaskolan;SÖDER TRIADEN SKOLOR AKTIEBOLAG
28438233;Nya Rydsskolan 7-9;LINKÖPINGS KOMMUN
69901106;Kungsbergsskolan 7-9;LINKÖPINGS KOMMUN
41720926;Sjöstadens Friskola;Förskolan i Gertrudsvik AB
79048710;Erlaskolan i Katrineholm;Lärande i Sverige AB
66644468;Hjortmosseskolan 7-9;TROLLHÄTTANS KOMMUN
77954455;Skogshöjdens skola 3-9;TROLLHÄTTANS KOMMUN
88608081;Dalkjusan F-2;TROLLHÄTTANS KOMMUN
41183880;Näslundskolan;HALLSTAHAMMARS KOMMUN
83875884;Resursskola, Häverö;NORRTÄLJE KOMMUN
50223700;Brunnsboskolan F-3;GÖTEBORGS KOMMUN
49916815;Brunnsboskolan 4-6;GÖTEBORGS KOMMUN
49569682;Brunnsboskolan 6-9;GÖTEBORGS KOMMUN
19837528;Grundskolan Landningsbanan;VÄXJÖ KOMMUN
92965381;Slottegymnasiet 2;LJUSDALS KOMMUN
25017223;Extern sfi;LINKÖPINGS KOMMUN
29942638;Almaskolan Syd;Almaskolan AB
30503822;KLöxhultsskolan 1;ÄLMHULTS KOMMUN
28627819;Hvitfeldtska gymnasiet 4;GÖTEBORGS KOMMUN
55545825;Granbergsskolan 7-9;BOLLNÄS KOMMUN
16690891;Adolfsbergssk. spec.enhet F-6;ÖREBRO KOMMUN
73709415;Närkes Kils skola;ÖREBRO KOMMUN
28504550;Sävsjö kristna skola;STIFTELSEN GUDS KRAFT
39936461;Realgymnasiet Eskilstuna;Lärande i Sverige AB
69686851;Realgymnasiet Gävle;Lärande i Sverige AB
11185244;Realgymnasiet i Lund;Lärande i Sverige AB
92489953;Realgymnasiet i Sundsvall;Lärande i Sverige AB
39178171;Realgymnasiet Malmö;Lärande i Sverige AB
56460425;Realgymnasiet Jönköping;Lärande i Sverige AB
83612128;Plönningegymnasiet;REGION HALLAND
77370320;Ytterbyskolan;TÄBY KOMMUN
96588511;Tannbergsskolan 5;LYCKSELE KOMMUN
35027506;Internationella Engelska Skolan Luleå;Internationella Engelska Skolan i Sverige AB
34276805;Matteusskolans grundsärskola;NORRKÖPINGS KOMMUN
85749199;Rodens högskoleförberedande gy;NORRTÄLJE KOMMUN
40520688;Rodens Yrkesgymnasium;NORRTÄLJE KOMMUN
49522845;ABF Vux,SFI;JÖNKÖPINGS KOMMUN
33076536;Njudungsgymnasiet 6;VETLANDA KOMMUN
99356671;Krokslättsgymnasiet Skolenhet 2;MÖLNDALS KOMMUN
60299288;Central Insamlingsenhet Enskild verksamhet;GÄVLE KOMMUN
38257627;LKC F-6;KARLSKRONA KOMMUN
64081877;Snättringeskolan;HUDDINGE KOMMUN
64252040;Central Insamlingsenhet Enskild verksamhet;VETLANDA KOMMUN
87253745;Team Munkhättan;MALMÖ KOMMUN
94444264;Barn 1;MALMÖ KOMMUN
40730198;BUP skolan;MALMÖ KOMMUN
92847964;Scengymnasiet S:t Erik 92847964;STOCKHOLMS KOMMUN
12745593;Kärrtorps gymnasium 12745593;STOCKHOLMS KOMMUN
51684798;Tensta gymnasium 51684798;STOCKHOLMS KOMMUN
91740395;Fridhemsgymnasiet Lärling;UMEÅ KOMMUN
94225429;Snättringeskolan   mellan;HUDDINGE KOMMUN
38919078;Thorildsplans gymnasium 38919078, ferieundervisning;STOCKHOLMS KOMMUN
63666520;Central Insamlingsenhet;VALDEMARSVIKS KOMMUN
71519276;Bäckebo skola;NYBRO KOMMUN
10222974;Hjärtumsskolan;LILLA EDETS KOMMUN
17617405;Nygårdsskolan;LILLA EDETS KOMMUN
87543071;Central Insamlingsenhet;SMEDJEBACKENS KOMMUN
57623522;Vårö fritidshem;HÄRNÖSANDS KOMMUN
10827828;Central Insamlingsenhet;ARJEPLOGS KOMMUN
80905160;Ro integrerade särskoleelever;LJUSDALS KOMMUN
48239840;Oscarsgymnasiet E;OSKARSHAMNS KOMMUN
71782201;Sundsvalls Gymn. Hedbergska 1;SUNDSVALLS KOMMUN
77986149;Katedralskolan Skara Ro A;SKARA KOMMUN
27834840;Central Insamlingsenhet Enskild verksamhet;LJUSDALS KOMMUN
18172412;Vuxenutbildningen;KARLSKRONA KOMMUN
83406153;Integrerade särskoleelever;SVEDALA KOMMUN
90104030;Slottsjordsskolan sär1;HALMSTADS KOMMUN
14310650;Klockebacksskolan F-3;KARLSHAMNS KOMMUN
74001260;Örnaskolan 2;HYLTE KOMMUN
52201227;Fågelmaraskolan F-6;KARLSKRONA KOMMUN
55709634;Lyckeby kunskapscentrum F-9;KARLSKRONA KOMMUN
51415031;Ramdalaskolan F-6;KARLSKRONA KOMMUN
77026516;Särvux, Vuxenutb. Karlskrona;KARLSKRONA KOMMUN
95695515;Verköskolan F-2;KARLSKRONA KOMMUN
47360905;Esplanadskolan;KALMAR KOMMUN
52293921;Bällstabergsskolan;VALLENTUNA KOMMUN
46148350;Sundlergymnasiet;VÅRGÅRDA KOMMUN
31569356;Campus förskola;ÖSTERSUNDS KOMMUN
98593933;Lövsta förskola;ÖSTERSUNDS KOMMUN
68263602;Sunnadlskolan F-9;KARLSKRONA KOMMUN
18150817;Almåsgymnasiet A Sär;BORÅS KOMMUN
71196727;Almåsgymnasiet B Sär;BORÅS KOMMUN
39817178;Grundsärskola inriktning träningsskola;OSBY KOMMUN
90120742;Förberedelsegrupp;TIBRO KOMMUN
93141175;Vårkullen Sikgården;VÅRKULLEN AB
42835515;Kvarnbackskolan Hissmoskolan;KROKOMS KOMMUN
87871635;Bolandgymnasiet;UPPSALA KOMMUN
17088475;Grafiskt utbildningscenter GUC;UPPSALA KOMMUN
10317430;Bäckadalsgymnasiet RO 1;JÖNKÖPINGS KOMMUN
62147240;Bäckadalsgymnasiet Ro 2;JÖNKÖPINGS KOMMUN
99948872;Bäckadalsgymnasiet RO 3;JÖNKÖPINGS KOMMUN
36789655;Smedby skola;UPPLANDS VÄSBY KOMMUN
76485705;Hagagymnasiet skolenhet grön;NORRKÖPINGS KOMMUN
40549870;De Geergymnasiet 2;NORRKÖPINGS KOMMUN
76530329;Hagaskolan 2;NORRKÖPINGS KOMMUN
33000808;Fågelviksgymnasiet, enhet 3;TIBRO KOMMUN
16746272;Ljuraskolans grundsärskola;NORRKÖPINGS KOMMUN
56272240;Silverdansens grundsärskola;NORRKÖPINGS KOMMUN
88233389;Skarphagsskolans grundsärskola;NORRKÖPINGS KOMMUN
31309320;Söderportens grundsärskola;NORRKÖPINGS KOMMUN
20545871;Smedbergsskolan 4-9;VANSBRO KOMMUN
40988215;Smedbergsskolan 4-6;VANSBRO KOMMUN
52314089;Söderås skola;RÄTTVIKS KOMMUN
24650116;P A Fogelströms gymnasium 24650116;STOCKHOLMS KOMMUN
17275630;Växjö Internationella Grundskola F-6;Lacko Internationella Grundskola AB
38278821;Alneskolan 5-9;ÖRNSKÖLDSVIKS KOMMUN
42897421;Sörlidenskolan F-6;ÖRNSKÖLDSVIKS KOMMUN
58852846;Kommunal vuxenutbildning;FORSHAGA KOMMUN
45593337;Staffangymnasiet RO6;Hälsinglands Utbildningsförbund
23772893;Långekärr skola;TJÖRNS KOMMUN
98714145;Mjölnergymnasiet 1;KALMARSUNDS GYMNASIEFÖRBUND
96564358;Vuxenlärande;AVESTA KOMMUN
14961641;Sthlm Transp&Fordon Lindvreten;STOCKHOLMS KOMMUN
90147683;Vuxenutbildning;KARLSHAMNS KOMMUN
97025014;Vuxenlärande SFI;AVESTA KOMMUN
21568934;Frykenskolan;TORSBY KOMMUN
66984600;Galären Hälsa och Idrott;AcadeMedia fria grundskolor AB
87873190;Komvux, SFI;SÖDERTÄLJE KOMMUN
79999748;Komvux;SÖDERTÄLJE KOMMUN
17929513;Solskiftesskolan gymnasiesär;ÖSTERÅKERS KOMMUN
25619350;Flisby skola;NÄSSJÖ KOMMUN
