Skolenhetskod;Skolenhetsnamn;Huvudman_Namn
28515244;JENSEN grundskola Helsingborg;JENSEN EDUCATION COLLEGE AB
21871265;Sollentuna musikklasser;SOLLENTUNA KOMMUN
88403889;Lindboskolan;HALLSTAHAMMARS KOMMUN
87856368;Gerestaskolan åk F-6;HÄRNÖSANDS KOMMUN
74594499;Modersmålsundervisningen;HALLSTAHAMMARS KOMMUN
36800413;Anpassad grundskola;ARBOGA KOMMUN
69739484;Rytmus Göteborg;Rytmus AB
69018222;LBS Kreativa Gymnasiet Borås;LJUD & BILDSKOLAN LBS AB
41337445;Kvalitet och utveckling;JÄRFÄLLA KOMMUN
18594470;LBS Kreativa Gymnasiet Jönköping;LJUD & BILDSKOLAN LBS AB
24561124;Centralskolan 4-9;PERSTORPS KOMMUN
79516949;KLARA Teoretiska Gymnasium Karlstad;KLARA Gymnasium Kunskap AB
23836342;Duveholmsgymnasiet 1;KATRINEHOLMS KOMMUN
79471219;Duveholmsgymnasiet 4;KATRINEHOLMS KOMMUN
10413471;Duveholmsgymnasiet 2;KATRINEHOLMS KOMMUN
37569310;Forssjö skola;KATRINEHOLMS KOMMUN
11567405;Järven anpassad skola;KATRINEHOLMS KOMMUN
14906764;Nordic International School Lerum;Nordic International School AB
63791419;Katrineholms Tekniska College 1;KATRINEHOLMS KOMMUN
63089564;Nordic International School Linköping;Nordic International School AB
73233718;Nya Raketskolan 4-6;KIRUNA KOMMUN
39805497;Katrineholms Tekniska College 2;KATRINEHOLMS KOMMUN
93539584;Specialped. Verksamh.;KIRUNA KOMMUN
42275230;Nävertorp anpassad skola;KATRINEHOLMS KOMMUN
42053960;JENSEN gymnasium Nacka strand;JENSEN EDUCATION COLLEGE AB
84967178;Sköldinge skola;KATRINEHOLMS KOMMUN
43632318;Enbacksskolan;STOCKHOLMS KOMMUN
38758770;Farsta grundskola;STOCKHOLMS KOMMUN
19353396;Fruängens skola;STOCKHOLMS KOMMUN
52461444;Älghults Friskola;Fria 48:an Ekonomisk förening
71069295;Backa Friskola;Nyed Friskola Ekonomisk förening
97745425;Anpassad särskola, särvux;HAPARANDA KOMMUN
11294673;Tornedalsskolan;HAPARANDA KOMMUN
84781774;Aneby Lärcentrum;ANEBY KOMMUN
24709894;Oscarsgymnasiet;OSKARSHAMNS KOMMUN
39997144;Resursverksamheter;ÄLMHULTS KOMMUN
60286462;Älmhults Montessoriskola;ÄLMHULTS KOMMUN
56811236;Anpassad grundskola;ÄLMHULTS KOMMUN
63124979;Haganässkolan 3;ÄLMHULTS KOMMUN
89357497;Anders Ljungstedts gymnasium 10;LINKÖPINGS KOMMUN
30539167;Komvux som anpassad utbildning;ÄLMHULTS KOMMUN
82501985;Höghammargymnasiet RO2;Hälsinglands Utbildningsförbund
37658022;Edenryds skola;BROMÖLLA KOMMUN
67942007;Gualövs skola;BROMÖLLA KOMMUN
83627088;Ede skola;HUDIKSVALLS KOMMUN
